"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Continent
North America,"722,202","+29,644","36,603","+2,312","70,020","615,579","14,460",,,,,North America
Europe,"1,014,238","+43,481","92,224","+3,905","275,293","646,721","27,806",,,,,Europe
Asia,"344,692","+11,449","12,389",+321,"165,451","166,852","6,452",,,,,Asia
South America,"67,219","+3,917","3,027",+230,"25,957","38,235","7,603",,,,,South America
Oceania,"7,966",+42,72,,"4,518","3,376",71,,,,,Australia/Oceania
Africa,"18,988","+1,161",968,+55,"4,554","13,466",180,,,,,Africa
,721,,14,,644,63,7,,,,,
World,"2,176,026","+89,694","145,297","+6,823","546,437","1,484,292","56,579",279,18.6,,,All
USA,"675,389","+27,386","34,515","+2,072","57,271","583,603","13,369","2,040",104,"3,387,242","10,233",North America
Spain,"184,948","+4,289","19,315",+503,"74,797","90,836","7,371","3,956",413,"930,230","19,896",Europe
Italy,"168,941","+3,786","22,170",+525,"40,164","106,607","2,936","2,794",367,"1,178,403","19,490",Europe
France,"165,027","+17,164","17,920",+753,"32,812","114,295","6,248","2,528",275,"333,807","5,114",Europe
Germany,"136,569","+1,816","4,052",+248,"77,000","55,517","4,288","1,630",48,"1,728,357","20,629",Europe
UK,"103,093","+4,617","13,729",+861,N/A,"89,020","1,559","1,519",202,"417,649","6,152",Europe
Iran,"77,995","+1,606","4,869",+92,"52,229","20,897","3,594",929,58,"310,340","3,695",Asia
Turkey,"74,193","+4,801","1,643",+125,"7,089","65,461","1,854",880,19,"518,143","6,144",Asia
Belgium,"34,809","+1,236","4,857",+417,"7,562","22,390","1,182","3,003",419,"134,303","11,588",Europe
Brazil,"30,425","+1,815","1,924",+167,"14,026","14,475","6,634",143,9,"62,985",296,South America
Canada,"29,929","+1,550","1,191",+181,"9,674","19,064",557,793,32,"487,625","12,920",North America
Netherlands,"29,214","+1,061","3,315",+181,250,"25,649","1,279","1,705",193,"147,948","8,634",Europe
Russia,"27,938","+3,448",232,+34,"2,304","25,402",8,191,2,"1,613,413","11,056",Europe
Switzerland,"26,732",+396,"1,281",+42,"15,900","9,551",386,"3,089",148,"206,400","23,849",Europe
Portugal,"18,841",+750,629,+30,493,"17,719",229,"1,848",62,"208,314","20,430",Europe
Austria,"14,476",+126,410,+17,"8,986","5,080",238,"1,607",46,"162,816","18,078",Europe
Ireland,"13,271",+724,486,+42,77,"12,708",156,"2,688",98,"90,646","18,358",Europe
India,"12,759",+389,423,+1,"1,514","10,822",,9,0.3,"302,956",220,Asia
Israel,"12,758",+257,142,+12,"2,818","9,798",181,"1,474",16,"187,250","21,634",Asia
Sweden,"12,540",+613,"1,333",+130,550,"10,657",522,"1,242",132,"74,600","7,387",Europe
Peru,"12,491","+1,016",274,+20,"6,120","6,097",169,379,8,"121,468","3,684",South America
S. Korea,"10,613",+22,229,+4,"7,757","2,627",55,207,4,"538,775","10,509",Asia
Chile,"8,807",+534,105,+11,"3,299","5,403",384,461,5,"98,424","5,149",South America
Japan,"8,626",,178,,901,"7,547",168,68,1,"94,236",745,Asia
Ecuador,"8,225",+367,403,+15,838,"6,984",168,466,23,"27,868","1,580",South America
Poland,"7,918",+336,314,+28,774,"6,830",160,209,8,"169,071","4,467",Europe
Romania,"7,707",+491,392,+20,"1,357","5,958",243,401,20,"79,629","4,139",Europe
Pakistan,"6,919",+536,128,+17,"1,645","5,146",46,31,0.6,"78,979",358,Asia
Denmark,"6,879",+198,321,+12,"3,023","3,535",92,"1,188",55,"82,380","14,223",Europe
Norway,"6,848",+51,152,+2,32,"6,664",64,"1,263",28,"133,707","24,664",Europe
Australia,"6,468",+21,63,,"3,747","2,658",66,254,2,"380,003","14,902",Australia/Oceania
Saudi Arabia,"6,380",+518,83,+4,990,"5,307",71,183,2,"150,000","4,309",Asia
Czechia,"6,359",+58,169,+3,972,"5,218",75,594,16,"146,004","13,634",Europe
Mexico,"5,847",+448,449,+43,"2,125","3,273",207,45,3,"40,091",311,North America
UAE,"5,825",+460,35,+2,"1,095","4,695",1,589,4,"767,000","77,550",Asia
Philippines,"5,660",+207,362,+13,435,"4,863",1,52,3,"48,171",440,Asia
Indonesia,"5,516",+380,496,+27,548,"4,472",,20,2,"36,000",132,Asia
Serbia,"5,318",+445,103,+4,443,"4,772",120,609,12,"29,472","3,373",Europe
Malaysia,"5,182",+110,84,+1,"2,766","2,332",56,160,3,"87,183","2,694",Asia
Singapore,"4,427",+728,10,,683,"3,734",29,757,2,"72,680","12,423",Asia
Belarus,"4,204",+476,40,+4,203,"3,961",65,445,4,"81,246","8,598",Europe
Ukraine,"4,161",+397,116,+8,186,"3,859",45,95,3,"42,823",979,Europe
Qatar,"4,103",+392,7,,415,"3,681",37,"1,424",2,"56,381","19,570",Asia
Dominican Republic,"3,755",+141,196,+7,215,"3,344",121,346,18,"12,229","1,127",North America
Panama,"3,751",,103,,75,"3,573",106,869,24,"16,854","3,906",North America
Luxembourg,"3,444",+71,69,,552,"2,823",35,"5,502",110,"31,660","50,577",Europe
