Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-12,3,3,0,0,,,,0.265,0.0,0.0,
2020-03-14,4,1,0,0,,,,0.353,0.0,0.0,
2020-03-15,4,0,0,0,,,,0.353,0.0,0.0,
2020-03-18,7,3,0,0,,,,0.618,0.0,0.0,
2020-03-19,11,4,1,1,,,,0.971,0.08800000000000001,0.08800000000000001,
2020-03-20,16,5,1,0,,,,1.413,0.08800000000000001,0.0,
2020-03-21,21,5,1,0,,,,1.854,0.08800000000000001,0.0,
2020-03-22,25,4,1,0,,,,2.207,0.08800000000000001,0.0,518.0
2020-03-23,35,10,1,0,,,,3.09,0.08800000000000001,0.0,625.0
2020-03-24,40,5,1,0,,,,3.532,0.08800000000000001,0.0,738.0
2020-03-25,48,8,1,0,,,,4.238,0.08800000000000001,0.0,893.0
2020-03-26,57,9,1,0,,,,5.032,0.08800000000000001,0.0,1039.0
2020-03-27,67,10,2,1,,,,5.915,0.177,0.08800000000000001,1368.0
2020-03-28,80,13,2,0,,,,7.063,0.177,0.0,1665.0
2020-03-29,119,39,3,1,,,,10.505999999999998,0.265,0.08800000000000001,2007.0
2020-03-30,139,20,3,0,,,,12.272,0.265,0.0,2322.0
2020-03-31,170,31,4,1,,,,15.009,0.353,0.08800000000000001,2766.0
2020-04-01,186,16,6,2,,,,16.421,0.53,0.177,3342.0
2020-04-02,212,26,6,0,,,,18.717,0.53,0.0,4145.0
2020-04-03,233,21,6,0,,,,20.570999999999998,0.53,0.0,5202.0
2020-04-04,269,36,6,0,,,,23.749000000000002,0.53,0.0,6403.0
2020-04-05,288,19,6,0,,,,25.427,0.53,0.0,7167.0
2020-04-06,320,32,8,2,,,,28.252,0.706,0.177,8223.0
2020-04-07,350,30,9,1,,,,30.901,0.795,0.08800000000000001,9410.0
2020-04-08,396,46,11,2,,,,34.961999999999996,0.971,0.177,10725.0
2020-04-09,457,61,12,1,,,,40.347,1.0590000000000002,0.08800000000000001,12023.0
2020-04-10,515,58,15,3,,,,45.468,1.324,0.265,13162.0
2020-04-11,564,49,15,0,,,,49.794,1.324,0.0,15057.0
2020-04-12,620,56,16,1,,,,54.738,1.413,0.08800000000000001,17133.0
2020-04-13,669,49,18,2,,,,59.06399999999999,1.589,0.177,18767.0
2020-04-14,726,57,21,3,,,,64.097,1.854,0.265,20451.0
2020-04-15,766,40,21,0,,,,67.628,1.854,0.0,21837.0
2020-04-16,814,48,24,3,,,,71.866,2.119,0.265,23317.0
2020-04-17,862,48,27,3,,,,76.104,2.384,0.265,25212.0
2020-04-18,923,61,31,4,,,,81.48899999999999,2.737,0.353,26982.0
2020-04-19,986,63,32,1,,,,87.052,2.825,0.08800000000000001,28598.0
2020-04-20,1035,49,34,2,,,,91.37799999999999,3.002,0.177,30416.0
2020-04-21,1087,52,36,2,,,,95.969,3.178,0.177,32276.0
2020-04-22,1137,50,38,2,,,,100.383,3.355,0.177,34243.0
2020-04-23,1189,52,40,2,,,,104.97399999999999,3.532,0.177,36134.0
2020-04-24,1235,46,43,3,,,,109.035,3.7960000000000003,0.265,37991.0
2020-04-25,1285,50,49,6,,,,113.45,4.3260000000000005,0.53,39828.0
2020-04-26,1337,52,51,2,,,,118.041,4.503,0.177,41651.0
2020-04-27,1369,32,54,3,,,,120.866,4.768,0.265,43508.0
2020-04-28,1389,20,56,2,,,,122.632,4.944,0.177,45344.0
2020-04-29,1437,48,58,2,,,,126.869,5.121,0.177,
