Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-13,Curacao,1,1,0,0,,,,6.093999999999999,0.0,0.0,,
2020-03-20,Curacao,3,2,0,0,,,,18.282,0.0,0.0,,
2020-03-24,Curacao,6,3,0,0,,,,36.563,0.0,0.0,,
2020-03-26,Curacao,6,0,1,1,,,,36.563,6.093999999999999,6.093999999999999,,
2020-03-27,Curacao,7,1,1,0,,,,42.657,6.093999999999999,0.0,,
2020-03-28,Curacao,8,1,1,0,,,,48.751000000000005,6.093999999999999,0.0,,
2020-03-29,Curacao,8,0,1,0,,,,48.751000000000005,6.093999999999999,0.0,,
2020-03-30,Curacao,9,1,1,0,,,,54.845,6.093999999999999,0.0,,
2020-04-01,Curacao,11,2,1,0,,,,67.032,6.093999999999999,0.0,,
2020-04-02,Curacao,11,0,1,0,,,,67.032,6.093999999999999,0.0,,
2020-04-03,Curacao,11,0,1,0,,,,67.032,6.093999999999999,0.0,,
2020-04-04,Curacao,11,0,1,0,,,,67.032,6.093999999999999,0.0,,
2020-04-05,Curacao,11,0,1,0,,,,67.032,6.093999999999999,0.0,,
2020-04-06,Curacao,11,0,1,0,,,,67.032,6.093999999999999,0.0,,
2020-04-07,Curacao,13,2,1,0,,,,79.22,6.093999999999999,0.0,,
2020-04-08,Curacao,13,0,1,0,,,,79.22,6.093999999999999,0.0,,
2020-04-09,Curacao,14,1,1,0,,,,85.314,6.093999999999999,0.0,,
2020-04-10,Curacao,14,0,1,0,,,,85.314,6.093999999999999,0.0,,
2020-04-11,Curacao,14,0,1,0,,,,85.314,6.093999999999999,0.0,,
2020-04-12,Curacao,14,0,1,0,,,,85.314,6.093999999999999,0.0,,
2020-04-13,Curacao,14,0,1,0,,,,85.314,6.093999999999999,0.0,,
2020-04-14,Curacao,14,0,1,0,,,,85.314,6.093999999999999,0.0,,
2020-04-15,Curacao,14,0,1,0,,,,85.314,6.093999999999999,0.0,,
2020-04-16,Curacao,14,0,1,0,,,,85.314,6.093999999999999,0.0,,
2020-04-17,Curacao,14,0,1,0,,,,85.314,6.093999999999999,0.0,,
2020-04-18,Curacao,14,0,1,0,,,,85.314,6.093999999999999,0.0,,
2020-04-19,Curacao,14,0,1,0,,,,85.314,6.093999999999999,0.0,,
2020-04-20,Curacao,14,0,1,0,,,,85.314,6.093999999999999,0.0,,
2020-04-21,Curacao,14,0,1,0,,,,85.314,6.093999999999999,0.0,,
