Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-13,1,1,0,0,,,,6.093999999999999,0.0,0.0,
2020-03-20,3,2,0,0,,,,18.282,0.0,0.0,
2020-03-24,6,3,0,0,,,,36.563,0.0,0.0,
2020-03-26,6,0,1,1,,,,36.563,6.093999999999999,6.093999999999999,
2020-03-27,7,1,1,0,,,,42.657,6.093999999999999,0.0,
2020-03-28,8,1,1,0,,,,48.751000000000005,6.093999999999999,0.0,
2020-03-29,8,0,1,0,,,,48.751000000000005,6.093999999999999,0.0,
2020-03-30,9,1,1,0,,,,54.845,6.093999999999999,0.0,
2020-04-01,11,2,1,0,,,,67.032,6.093999999999999,0.0,
2020-04-02,11,0,1,0,,,,67.032,6.093999999999999,0.0,
2020-04-03,11,0,1,0,,,,67.032,6.093999999999999,0.0,
2020-04-04,11,0,1,0,,,,67.032,6.093999999999999,0.0,
2020-04-05,11,0,1,0,,,,67.032,6.093999999999999,0.0,
2020-04-06,11,0,1,0,,,,67.032,6.093999999999999,0.0,
2020-04-07,13,2,1,0,,,,79.22,6.093999999999999,0.0,
2020-04-08,13,0,1,0,,,,79.22,6.093999999999999,0.0,
2020-04-09,14,1,1,0,,,,85.314,6.093999999999999,0.0,
2020-04-10,14,0,1,0,,,,85.314,6.093999999999999,0.0,
2020-04-11,14,0,1,0,,,,85.314,6.093999999999999,0.0,
2020-04-12,14,0,1,0,,,,85.314,6.093999999999999,0.0,
2020-04-13,14,0,1,0,,,,85.314,6.093999999999999,0.0,
2020-04-14,14,0,1,0,,,,85.314,6.093999999999999,0.0,
2020-04-15,14,0,1,0,,,,85.314,6.093999999999999,0.0,
2020-04-16,14,0,1,0,,,,85.314,6.093999999999999,0.0,
2020-04-17,14,0,1,0,,,,85.314,6.093999999999999,0.0,
2020-04-18,14,0,1,0,,,,85.314,6.093999999999999,0.0,
2020-04-19,14,0,1,0,,,,85.314,6.093999999999999,0.0,
2020-04-20,14,0,1,0,,,,85.314,6.093999999999999,0.0,
2020-04-21,14,0,1,0,,,,85.314,6.093999999999999,0.0,
2020-04-22,14,0,1,0,,,,85.314,6.093999999999999,0.0,
2020-04-23,14,0,1,0,,,,85.314,6.093999999999999,0.0,
2020-04-24,14,0,1,0,,,,85.314,6.093999999999999,0.0,
2020-04-25,16,2,1,0,,,,97.50200000000001,6.093999999999999,0.0,
2020-04-26,16,0,1,0,,,,97.50200000000001,6.093999999999999,0.0,
2020-04-27,16,0,1,0,,,,97.50200000000001,6.093999999999999,0.0,
2020-04-28,16,0,1,0,,,,97.50200000000001,6.093999999999999,0.0,
2020-04-29,16,0,1,0,,,,97.50200000000001,6.093999999999999,0.0,
