Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-10,2,2,0,0,,,,2.283,0.0,0.0,
2020-03-12,6,4,0,0,,,,6.85,0.0,0.0,
2020-03-14,14,8,0,0,,,,15.984000000000002,0.0,0.0,
2020-03-15,21,7,0,0,,,,23.975,0.0,0.0,
2020-03-16,30,9,0,0,,,,34.251,0.0,0.0,
2020-03-17,40,10,0,0,,,,45.667,0.0,0.0,
2020-03-18,40,0,0,0,,,,45.667,0.0,0.0,
2020-03-19,58,18,0,0,,,,66.218,0.0,0.0,
2020-03-20,58,0,0,0,,,,66.218,0.0,0.0,
2020-03-21,67,9,0,0,,,,76.493,0.0,0.0,
2020-03-22,84,17,0,0,,,,95.90100000000001,0.0,0.0,
2020-03-23,95,11,0,0,,,,108.46,0.0,0.0,
2020-03-24,116,21,0,0,,,,132.435,0.0,0.0,
2020-03-25,124,8,3,3,,,,141.569,3.425,3.425,
2020-03-26,132,8,3,0,,,,150.702,3.425,0.0,
2020-03-27,146,14,3,0,,,,166.68599999999998,3.425,0.0,
2020-03-28,162,16,5,2,,,,184.953,5.707999999999999,2.283,
2020-03-29,179,17,5,0,,,,204.361,5.707999999999999,0.0,
2020-03-30,214,35,6,1,,,,244.32,6.85,1.1420000000000001,
2020-03-31,230,16,7,1,,,,262.587,7.992000000000001,1.1420000000000001,
2020-04-01,262,32,8,1,,,,299.121,9.133,1.1420000000000001,
2020-04-02,320,58,9,1,,,,365.339,10.275,1.1420000000000001,
2020-04-03,356,36,9,0,,,,406.44,10.275,0.0,
2020-04-04,396,40,11,2,,,,452.10699999999997,12.559000000000001,2.283,
2020-04-05,426,30,11,0,,,,486.35699999999997,12.559000000000001,0.0,
2020-04-06,446,20,14,3,,,,509.191,15.984000000000002,3.425,
2020-04-07,465,19,14,0,,,,530.883,15.984000000000002,0.0,
2020-04-08,494,29,14,0,,,,563.992,15.984000000000002,0.0,
2020-04-09,526,32,14,0,,,,600.526,15.984000000000002,0.0,
2020-04-10,564,38,15,1,,,,643.91,17.125,1.1420000000000001,
2020-04-11,595,31,15,0,,,,679.302,17.125,0.0,
2020-04-12,616,21,15,0,,,,703.2769999999999,17.125,0.0,
2020-04-13,633,17,16,1,,,,722.686,18.267,1.1420000000000001,
2020-04-14,662,29,17,1,,,,755.795,19.409000000000002,1.1420000000000001,
2020-04-15,695,33,17,0,,,,793.47,19.409000000000002,0.0,
2020-04-16,715,20,17,0,,,,816.304,19.409000000000002,0.0,
2020-04-17,735,20,17,0,,,,839.138,19.409000000000002,0.0,
2020-04-18,735,0,17,0,,,,839.138,19.409000000000002,0.0,
2020-04-19,761,26,17,0,,,,868.822,19.409000000000002,0.0,
2020-04-20,767,6,17,0,,,,875.672,19.409000000000002,0.0,
2020-04-21,772,5,17,0,,,,881.38,19.409000000000002,0.0,
2020-04-22,784,12,17,0,,,,895.08,19.409000000000002,0.0,
2020-04-23,790,6,17,0,,,,901.93,19.409000000000002,0.0,
2020-04-24,795,5,17,0,,,,907.6389999999999,19.409000000000002,0.0,
2020-04-25,804,9,17,0,,,,917.914,19.409000000000002,0.0,
2020-04-26,810,6,17,0,,,,924.7639999999999,19.409000000000002,0.0,
2020-04-27,817,7,17,0,,,,932.7560000000001,19.409000000000002,0.0,
2020-04-28,822,5,20,3,,,,938.4639999999999,22.834,3.425,
2020-04-29,837,15,20,0,,,,955.59,22.834,0.0,
