Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-10,Cyprus,2,2,0,0,,,,1.6569999999999998,0.0,0.0,,
2020-03-12,Cyprus,6,4,0,0,,,,4.97,0.0,0.0,,
2020-03-14,Cyprus,14,8,0,0,,,,11.595999999999998,0.0,0.0,,
2020-03-15,Cyprus,21,7,0,0,,,,17.393,0.0,0.0,,
2020-03-16,Cyprus,30,9,0,0,,,,24.848000000000003,0.0,0.0,,
2020-03-17,Cyprus,40,10,0,0,,,,33.13,0.0,0.0,,
2020-03-18,Cyprus,40,0,0,0,,,,33.13,0.0,0.0,,
2020-03-19,Cyprus,58,18,0,0,,,,48.038999999999994,0.0,0.0,,
2020-03-20,Cyprus,58,0,0,0,,,,48.038999999999994,0.0,0.0,,
2020-03-21,Cyprus,67,9,0,0,,,,55.493,0.0,0.0,,
2020-03-22,Cyprus,84,17,0,0,,,,69.57300000000001,0.0,0.0,,
2020-03-23,Cyprus,95,11,0,0,,,,78.684,0.0,0.0,,
2020-03-24,Cyprus,116,21,0,0,,,,96.07700000000001,0.0,0.0,,
2020-03-25,Cyprus,124,8,3,3,,,,102.70299999999999,2.485,2.485,,
2020-03-26,Cyprus,132,8,3,0,,,,109.329,2.485,0.0,,
2020-03-27,Cyprus,146,14,3,0,,,,120.925,2.485,0.0,,
2020-03-28,Cyprus,162,16,5,2,,,,134.17700000000002,4.141,1.6569999999999998,,
2020-03-29,Cyprus,179,17,5,0,,,,148.257,4.141,0.0,,
2020-03-30,Cyprus,214,35,6,1,,,,177.24599999999998,4.97,0.828,,
2020-03-31,Cyprus,230,16,7,1,,,,190.498,5.797999999999999,0.828,,
2020-04-01,Cyprus,262,32,8,1,,,,217.002,6.626,0.828,,
2020-04-02,Cyprus,320,58,9,1,,,,265.041,7.454,0.828,,
2020-04-03,Cyprus,356,36,9,0,,,,294.858,7.454,0.0,,
2020-04-04,Cyprus,396,40,11,2,,,,327.98800000000006,9.111,1.6569999999999998,,
2020-04-05,Cyprus,426,30,11,0,,,,352.836,9.111,0.0,,
2020-04-06,Cyprus,446,20,14,3,,,,369.401,11.595999999999998,2.485,,
2020-04-07,Cyprus,465,19,14,0,,,,385.13800000000003,11.595999999999998,0.0,,
2020-04-08,Cyprus,494,29,14,0,,,,409.157,11.595999999999998,0.0,,
2020-04-09,Cyprus,526,32,14,0,,,,435.661,11.595999999999998,0.0,,
2020-04-10,Cyprus,564,38,15,1,,,,467.135,12.424000000000001,0.828,,
2020-04-11,Cyprus,595,31,15,0,,,,492.81,12.424000000000001,0.0,,
2020-04-12,Cyprus,616,21,15,0,,,,510.204,12.424000000000001,0.0,,
2020-04-13,Cyprus,633,17,16,1,,,,524.284,13.252,0.828,,
2020-04-14,Cyprus,662,29,17,1,,,,548.303,14.08,0.828,,
2020-04-15,Cyprus,695,33,17,0,,,,575.636,14.08,0.0,,
2020-04-16,Cyprus,715,20,17,0,,,,592.201,14.08,0.0,,
2020-04-17,Cyprus,735,20,17,0,,,,608.766,14.08,0.0,,
2020-04-18,Cyprus,735,0,17,0,,,,608.766,14.08,0.0,,
2020-04-19,Cyprus,761,26,17,0,,,,630.3,14.08,0.0,,
2020-04-20,Cyprus,767,6,17,0,,,,635.27,14.08,0.0,,
2020-04-21,Cyprus,772,5,17,0,,,,639.411,14.08,0.0,,
