Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,20.0
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,28.0
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,33.0
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,34.0
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,37.0
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,38.0
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,43.0
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,48.0
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,53.0
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,56.0
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,62.0
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,64.0
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,72.0
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,74.0
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,75.0
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,76.0
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,77.0
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,78.0
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,80.0
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,82.0
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,0,0,0,0,,,,0.0,0.0,0.0,83.0
2020-02-23,0,0,0,0,,,,0.0,0.0,0.0,86.0
2020-02-24,0,0,0,0,,,,0.0,0.0,0.0,98.0
2020-02-25,0,0,0,0,,,,0.0,0.0,0.0,112.0
2020-02-26,0,0,0,0,,,,0.0,0.0,0.0,135.0
2020-02-27,0,0,0,0,,,,0.0,0.0,0.0,170.0
2020-02-28,0,0,0,0,,,,0.0,0.0,0.0,193.0
2020-02-29,0,0,0,0,,,,0.0,0.0,0.0,200.0
2020-03-01,0,0,0,0,,,,0.0,0.0,0.0,211.0
2020-03-02,3,3,0,0,,,,0.28,0.0,0.0,262.0
2020-03-03,5,2,0,0,,,,0.467,0.0,0.0,340.0
2020-03-04,5,0,0,0,,,,0.467,0.0,0.0,407.0
2020-03-05,8,3,0,0,,,,0.747,0.0,0.0,483.0
2020-03-06,12,4,0,0,,,,1.121,0.0,0.0,594.0
2020-03-07,19,7,0,0,,,,1.774,0.0,0.0,787.0
2020-03-08,26,7,0,0,,,,2.428,0.0,0.0,928.0
2020-03-09,32,6,0,0,,,,2.988,0.0,0.0,1193.0
2020-03-10,40,8,0,0,,,,3.735,0.0,0.0,1358.0
2020-03-11,63,23,0,0,,,,5.882999999999999,0.0,0.0,1816.0
2020-03-12,94,31,0,0,,,,8.777999999999999,0.0,0.0,2353.0
2020-03-13,116,22,0,0,,,,10.832,0.0,0.0,3094.0
2020-03-14,150,34,0,0,,,,14.007,0.0,0.0,4065.0
2020-03-15,214,64,0,0,,,,19.983,0.0,0.0,5068.0
2020-03-16,298,84,0,0,,,,27.826999999999998,0.0,0.0,6302.0
2020-03-17,344,46,0,0,,,,32.123000000000005,0.0,0.0,7664.0
2020-03-18,434,90,0,0,,,,40.527,0.0,0.0,9402.0
2020-03-19,522,88,0,0,,,,48.744,0.0,0.0,11619.0
2020-03-20,694,172,0,0,,,,64.805,0.0,0.0,13704.0
2020-03-21,904,210,0,0,,,,84.415,0.0,0.0,15584.0
2020-03-22,995,91,0,0,,,,92.913,0.0,0.0,17377.0
2020-03-23,1165,170,1,1,,,,108.787,0.09300000000000001,0.09300000000000001,19624.0
2020-03-24,1236,71,1,0,,,,115.417,0.09300000000000001,0.0,22600.0
