Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-11,1,1,0,0,,,,0.011000000000000001,0.0,0.0,
2020-03-14,2,1,0,0,,,,0.022000000000000002,0.0,0.0,
2020-03-15,2,0,0,0,,,,0.022000000000000002,0.0,0.0,
2020-03-16,2,0,0,0,,,,0.022000000000000002,0.0,0.0,
2020-03-17,3,1,0,0,,,,0.033,0.0,0.0,
2020-03-18,3,0,0,0,,,,0.033,0.0,0.0,
2020-03-19,14,11,0,0,,,,0.156,0.0,0.0,
2020-03-20,14,0,0,0,,,,0.156,0.0,0.0,
2020-03-21,14,0,0,0,,,,0.156,0.0,0.0,
2020-03-22,23,9,1,1,,,,0.257,0.011000000000000001,0.011000000000000001,
2020-03-23,26,3,2,1,,,,0.29,0.022000000000000002,0.011000000000000001,
2020-03-24,26,0,2,0,,,,0.29,0.022000000000000002,0.0,
2020-03-25,45,19,3,1,,,,0.502,0.033,0.011000000000000001,
2020-03-26,45,0,3,0,,,,0.502,0.033,0.0,
2020-03-27,54,9,4,1,,,,0.603,0.045,0.011000000000000001,
2020-03-28,58,4,4,0,,,,0.648,0.045,0.0,
2020-03-29,58,0,6,2,,,,0.648,0.067,0.022000000000000002,
2020-03-30,81,23,8,2,,,,0.904,0.08900000000000001,0.022000000000000002,
2020-03-31,98,17,8,0,,,,1.094,0.08900000000000001,0.0,
2020-04-01,98,0,8,0,,,,1.094,0.08900000000000001,0.0,
2020-04-02,123,25,11,3,,,,1.3730000000000002,0.12300000000000001,0.033,
2020-04-03,123,0,11,0,,,,1.3730000000000002,0.12300000000000001,0.0,
2020-04-04,134,11,13,2,,,,1.496,0.145,0.022000000000000002,
2020-04-05,154,20,18,5,,,,1.719,0.201,0.055999999999999994,
2020-04-06,154,0,18,0,,,,1.719,0.201,0.0,
2020-04-07,161,7,18,0,,,,1.798,0.201,0.0,
2020-04-08,180,19,18,0,,,,2.01,0.201,0.0,
2020-04-09,183,3,20,2,,,,2.043,0.223,0.022000000000000002,
2020-04-10,215,32,20,0,,,,2.401,0.223,0.0,
2020-04-11,223,8,20,0,,,,2.49,0.223,0.0,
2020-04-12,234,11,20,0,,,,2.613,0.223,0.0,
2020-04-13,234,0,20,0,,,,2.613,0.223,0.0,
2020-04-14,235,1,20,0,,,,2.6239999999999997,0.223,0.0,
2020-04-15,254,19,21,1,,,,2.8360000000000003,0.23399999999999999,0.011000000000000001,
2020-04-16,267,13,22,1,,,,2.9810000000000003,0.24600000000000002,0.011000000000000001,
2020-04-17,287,20,23,1,,,,3.205,0.257,0.011000000000000001,
2020-04-18,307,20,25,2,,,,3.428,0.27899999999999997,0.022000000000000002,
2020-04-19,327,20,25,0,,,,3.6510000000000002,0.27899999999999997,0.0,
2020-04-20,332,5,25,0,,,,3.707,0.27899999999999997,0.0,
2020-04-21,350,18,25,0,,,,3.908,0.27899999999999997,0.0,
2020-04-22,359,9,25,0,,,,4.008,0.27899999999999997,0.0,
2020-04-23,377,18,25,0,,,,4.209,0.27899999999999997,0.0,
2020-04-24,394,17,25,0,,,,4.399,0.27899999999999997,0.0,
2020-04-25,416,22,28,3,,,,4.645,0.313,0.033,
2020-04-26,442,26,28,0,,,,4.935,0.313,0.0,
2020-04-27,459,17,28,0,,,,5.125,0.313,0.0,
2020-04-28,471,12,30,2,,,,5.2589999999999995,0.335,0.022000000000000002,
2020-04-29,491,20,30,0,,,,5.482,0.335,0.0,
