Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-19,1,1,0,0,,,,1.012,0.0,0.0,
2020-03-20,1,0,0,0,,,,1.012,0.0,0.0,
2020-03-21,1,0,0,0,,,,1.012,0.0,0.0,
2020-03-22,1,0,0,0,,,,1.012,0.0,0.0,
2020-03-23,1,0,0,0,,,,1.012,0.0,0.0,
2020-03-24,3,2,0,0,,,,3.036,0.0,0.0,
2020-03-25,3,0,0,0,,,,3.036,0.0,0.0,
2020-03-26,12,9,0,0,,,,12.145999999999999,0.0,0.0,
2020-03-27,12,0,0,0,,,,12.145999999999999,0.0,0.0,
2020-03-28,13,1,0,0,,,,13.158,0.0,0.0,
2020-03-29,15,2,0,0,,,,15.182,0.0,0.0,
2020-03-30,19,4,0,0,,,,19.230999999999998,0.0,0.0,
2020-03-31,26,7,0,0,,,,26.316,0.0,0.0,
2020-04-01,31,5,0,0,,,,31.375999999999998,0.0,0.0,
2020-04-02,34,3,0,0,,,,34.413000000000004,0.0,0.0,
2020-04-03,41,7,0,0,,,,41.498000000000005,0.0,0.0,
2020-04-04,41,0,0,0,,,,41.498000000000005,0.0,0.0,
2020-04-05,51,10,0,0,,,,51.619,0.0,0.0,
2020-04-06,59,8,0,0,,,,59.716,0.0,0.0,
2020-04-07,90,31,0,0,,,,91.09299999999999,0.0,0.0,
2020-04-08,121,31,0,0,,,,122.469,0.0,0.0,
2020-04-09,135,14,0,0,,,,136.639,0.0,0.0,
2020-04-10,140,5,1,1,,,,141.7,1.012,1.012,
2020-04-11,150,10,1,0,,,,151.822,1.012,0.0,
2020-04-12,187,37,2,1,,,,189.271,2.024,1.012,
2020-04-13,214,27,2,0,,,,216.59900000000002,2.024,0.0,
2020-04-14,298,84,2,0,,,,301.619,2.024,0.0,
2020-04-15,363,65,2,0,,,,367.408,2.024,0.0,
2020-04-16,435,72,2,0,,,,440.283,2.024,0.0,
2020-04-17,591,156,2,0,,,,598.177,2.024,0.0,
2020-04-18,732,141,2,0,,,,740.8889999999999,2.024,0.0,
2020-04-19,732,0,2,0,,,,740.8889999999999,2.024,0.0,
2020-04-20,846,114,2,0,,,,856.2739999999999,2.024,0.0,
2020-04-21,846,0,2,0,,,,856.2739999999999,2.024,0.0,
2020-04-22,945,99,2,0,,,,956.4760000000001,2.024,0.0,
2020-04-23,974,29,2,0,,,,985.828,2.024,0.0,
2020-04-24,986,12,2,0,,,,997.9739999999999,2.024,0.0,
2020-04-25,999,13,2,0,,,,1011.132,2.024,0.0,
2020-04-26,1008,9,2,0,,,,1020.2410000000001,2.024,0.0,
2020-04-27,1023,15,2,0,,,,1035.423,2.024,0.0,
2020-04-28,1035,12,2,0,,,,1047.569,2.024,0.0,
2020-04-29,1072,37,2,0,,,,1085.018,2.024,0.0,
