Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-19,Djibouti,1,1,0,0,,,,1.012,0.0,0.0,,
2020-03-20,Djibouti,1,0,0,0,,,,1.012,0.0,0.0,,
2020-03-21,Djibouti,1,0,0,0,,,,1.012,0.0,0.0,,
2020-03-22,Djibouti,1,0,0,0,,,,1.012,0.0,0.0,,
2020-03-23,Djibouti,1,0,0,0,,,,1.012,0.0,0.0,,
2020-03-24,Djibouti,3,2,0,0,,,,3.036,0.0,0.0,,
2020-03-25,Djibouti,3,0,0,0,,,,3.036,0.0,0.0,,
2020-03-26,Djibouti,12,9,0,0,,,,12.145999999999999,0.0,0.0,,
2020-03-27,Djibouti,12,0,0,0,,,,12.145999999999999,0.0,0.0,,
2020-03-28,Djibouti,13,1,0,0,,,,13.158,0.0,0.0,,
2020-03-29,Djibouti,15,2,0,0,,,,15.182,0.0,0.0,,
2020-03-30,Djibouti,19,4,0,0,,,,19.230999999999998,0.0,0.0,,
2020-03-31,Djibouti,26,7,0,0,,,,26.316,0.0,0.0,,
2020-04-01,Djibouti,31,5,0,0,,,,31.375999999999998,0.0,0.0,,
2020-04-02,Djibouti,34,3,0,0,,,,34.413000000000004,0.0,0.0,,
2020-04-03,Djibouti,41,7,0,0,,,,41.498000000000005,0.0,0.0,,
2020-04-04,Djibouti,41,0,0,0,,,,41.498000000000005,0.0,0.0,,
2020-04-05,Djibouti,51,10,0,0,,,,51.619,0.0,0.0,,
2020-04-06,Djibouti,59,8,0,0,,,,59.716,0.0,0.0,,
2020-04-07,Djibouti,90,31,0,0,,,,91.09299999999999,0.0,0.0,,
2020-04-08,Djibouti,121,31,0,0,,,,122.469,0.0,0.0,,
2020-04-09,Djibouti,135,14,0,0,,,,136.639,0.0,0.0,,
2020-04-10,Djibouti,140,5,1,1,,,,141.7,1.012,1.012,,
2020-04-11,Djibouti,150,10,1,0,,,,151.822,1.012,0.0,,
2020-04-12,Djibouti,187,37,2,1,,,,189.271,2.024,1.012,,
2020-04-13,Djibouti,214,27,2,0,,,,216.59900000000002,2.024,0.0,,
2020-04-14,Djibouti,298,84,2,0,,,,301.619,2.024,0.0,,
2020-04-15,Djibouti,363,65,2,0,,,,367.408,2.024,0.0,,
2020-04-16,Djibouti,435,72,2,0,,,,440.283,2.024,0.0,,
2020-04-17,Djibouti,591,156,2,0,,,,598.177,2.024,0.0,,
2020-04-18,Djibouti,732,141,2,0,,,,740.8889999999999,2.024,0.0,,
2020-04-19,Djibouti,732,0,2,0,,,,740.8889999999999,2.024,0.0,,
2020-04-20,Djibouti,846,114,2,0,,,,856.2739999999999,2.024,0.0,,
2020-04-21,Djibouti,846,0,2,0,,,,856.2739999999999,2.024,0.0,,
