Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-23,1,1,0,0,,,,13.890999999999998,0.0,0.0,
2020-03-24,1,0,0,0,,,,13.890999999999998,0.0,0.0,
2020-03-25,2,1,0,0,,,,27.781,0.0,0.0,
2020-03-26,7,5,0,0,,,,97.234,0.0,0.0,
2020-03-27,11,4,0,0,,,,152.797,0.0,0.0,
2020-03-28,11,0,0,0,,,,152.797,0.0,0.0,
2020-03-29,11,0,0,0,,,,152.797,0.0,0.0,
2020-03-30,11,0,0,0,,,,152.797,0.0,0.0,
2020-03-31,11,0,0,0,,,,152.797,0.0,0.0,
2020-04-01,11,0,0,0,,,,152.797,0.0,0.0,
2020-04-02,12,1,0,0,,,,166.688,0.0,0.0,
2020-04-03,12,0,0,0,,,,166.688,0.0,0.0,
2020-04-04,14,2,0,0,,,,194.46900000000002,0.0,0.0,
2020-04-05,14,0,0,0,,,,194.46900000000002,0.0,0.0,
2020-04-06,14,0,0,0,,,,194.46900000000002,0.0,0.0,
2020-04-07,15,1,0,0,,,,208.359,0.0,0.0,
2020-04-08,15,0,0,0,,,,208.359,0.0,0.0,
2020-04-09,15,0,0,0,,,,208.359,0.0,0.0,
2020-04-10,16,1,0,0,,,,222.25,0.0,0.0,
2020-04-11,16,0,0,0,,,,222.25,0.0,0.0,
2020-04-12,16,0,0,0,,,,222.25,0.0,0.0,
2020-04-13,16,0,0,0,,,,222.25,0.0,0.0,
2020-04-14,16,0,0,0,,,,222.25,0.0,0.0,
2020-04-15,16,0,0,0,,,,222.25,0.0,0.0,
2020-04-16,16,0,0,0,,,,222.25,0.0,0.0,
2020-04-17,16,0,0,0,,,,222.25,0.0,0.0,
2020-04-18,16,0,0,0,,,,222.25,0.0,0.0,
2020-04-19,16,0,0,0,,,,222.25,0.0,0.0,
2020-04-20,16,0,0,0,,,,222.25,0.0,0.0,
2020-04-21,16,0,0,0,,,,222.25,0.0,0.0,
2020-04-22,16,0,0,0,,,,222.25,0.0,0.0,
2020-04-23,16,0,0,0,,,,222.25,0.0,0.0,
2020-04-24,16,0,0,0,,,,222.25,0.0,0.0,
2020-04-25,16,0,0,0,,,,222.25,0.0,0.0,
2020-04-26,16,0,0,0,,,,222.25,0.0,0.0,
2020-04-27,16,0,0,0,,,,222.25,0.0,0.0,
2020-04-28,16,0,0,0,,,,222.25,0.0,0.0,
2020-04-29,16,0,0,0,,,,222.25,0.0,0.0,
