Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-23,Dominica,1,1,0,0,,,,13.890999999999998,0.0,0.0,,
2020-03-24,Dominica,1,0,0,0,,,,13.890999999999998,0.0,0.0,,
2020-03-25,Dominica,2,1,0,0,,,,27.781,0.0,0.0,,
2020-03-26,Dominica,7,5,0,0,,,,97.234,0.0,0.0,,
2020-03-27,Dominica,11,4,0,0,,,,152.797,0.0,0.0,,
2020-03-28,Dominica,11,0,0,0,,,,152.797,0.0,0.0,,
2020-03-29,Dominica,11,0,0,0,,,,152.797,0.0,0.0,,
2020-03-30,Dominica,11,0,0,0,,,,152.797,0.0,0.0,,
2020-03-31,Dominica,11,0,0,0,,,,152.797,0.0,0.0,,
2020-04-01,Dominica,11,0,0,0,,,,152.797,0.0,0.0,,
2020-04-02,Dominica,12,1,0,0,,,,166.688,0.0,0.0,,
2020-04-03,Dominica,12,0,0,0,,,,166.688,0.0,0.0,,
2020-04-04,Dominica,14,2,0,0,,,,194.46900000000002,0.0,0.0,,
2020-04-05,Dominica,14,0,0,0,,,,194.46900000000002,0.0,0.0,,
2020-04-06,Dominica,14,0,0,0,,,,194.46900000000002,0.0,0.0,,
2020-04-07,Dominica,15,1,0,0,,,,208.359,0.0,0.0,,
2020-04-08,Dominica,15,0,0,0,,,,208.359,0.0,0.0,,
2020-04-09,Dominica,15,0,0,0,,,,208.359,0.0,0.0,,
2020-04-10,Dominica,16,1,0,0,,,,222.25,0.0,0.0,,
2020-04-11,Dominica,16,0,0,0,,,,222.25,0.0,0.0,,
2020-04-12,Dominica,16,0,0,0,,,,222.25,0.0,0.0,,
2020-04-13,Dominica,16,0,0,0,,,,222.25,0.0,0.0,,
2020-04-14,Dominica,16,0,0,0,,,,222.25,0.0,0.0,,
2020-04-15,Dominica,16,0,0,0,,,,222.25,0.0,0.0,,
2020-04-16,Dominica,16,0,0,0,,,,222.25,0.0,0.0,,
2020-04-17,Dominica,16,0,0,0,,,,222.25,0.0,0.0,,
2020-04-18,Dominica,16,0,0,0,,,,222.25,0.0,0.0,,
2020-04-19,Dominica,16,0,0,0,,,,222.25,0.0,0.0,,
2020-04-20,Dominica,16,0,0,0,,,,222.25,0.0,0.0,,
2020-04-21,Dominica,16,0,0,0,,,,222.25,0.0,0.0,,
