Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-03-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-03-02,1,1,0,0,,,,0.092,0.0,0.0,
2020-03-07,2,1,0,0,,,,0.184,0.0,0.0,
2020-03-10,5,3,0,0,,,,0.461,0.0,0.0,
2020-03-14,11,6,0,0,,,,1.014,0.0,0.0,
2020-03-15,11,0,0,0,,,,1.014,0.0,0.0,
2020-03-16,11,0,0,0,,,,1.014,0.0,0.0,
2020-03-17,11,0,0,0,,,,1.014,0.0,0.0,
2020-03-18,11,0,0,0,,,,1.014,0.0,0.0,
2020-03-19,21,10,0,0,,,,1.936,0.0,0.0,
2020-03-20,21,0,0,0,,,,1.936,0.0,0.0,
2020-03-21,34,13,2,2,,,,3.134,0.184,0.184,
2020-03-22,112,78,3,1,,,,10.325,0.27699999999999997,0.092,
2020-03-23,202,90,3,0,,,,18.621,0.27699999999999997,0.0,
2020-03-24,245,43,3,0,,,,22.585,0.27699999999999997,0.0,
2020-03-25,312,67,6,3,,,,28.761,0.5529999999999999,0.27699999999999997,
2020-03-26,392,80,10,4,,,,36.135999999999996,0.922,0.369,
2020-03-27,488,96,10,0,,,,44.986000000000004,0.922,0.0,
2020-03-28,581,93,20,10,,,,53.559,1.844,0.922,
2020-03-29,719,138,28,8,,,,66.28,2.5810000000000004,0.737,
2020-03-30,859,140,39,11,,,,79.186,3.595,1.014,
2020-03-31,901,42,42,3,,,,83.05799999999999,3.872,0.27699999999999997,
2020-04-01,1109,208,51,9,,,,102.23200000000001,4.7010000000000005,0.83,
2020-04-02,1284,175,57,6,,,,118.36399999999999,5.254,0.5529999999999999,
2020-04-03,1380,96,60,3,,,,127.214,5.531000000000001,0.27699999999999997,
2020-04-04,1488,108,68,8,,,,137.16899999999998,6.268,0.737,
2020-04-05,1578,90,77,9,,,,145.466,7.098,0.83,
2020-04-06,1745,167,82,5,,,,160.861,7.559,0.461,
