Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-02,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-03,Dominican Republic,0,0,0,0,,,,0.0,0.0,0.0,,
