Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-02,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-03,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-04,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-05,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-06,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-07,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-08,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-09,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-10,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-11,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-12,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-13,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-14,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-15,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-16,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-17,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-18,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-19,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-20,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-21,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-22,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-23,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-24,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-25,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-26,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-27,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-28,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-29,Ecuador,0,0,0,0,,,,0.0,0.0,0.0,,
2020-03-01,Ecuador,1,1,0,0,,,,0.057,0.0,0.0,,
2020-03-02,Ecuador,6,5,0,0,,,,0.34,0.0,0.0,,
2020-03-03,Ecuador,7,1,0,0,,,,0.397,0.0,0.0,,
2020-03-05,Ecuador,10,3,0,0,,,,0.5670000000000001,0.0,0.0,,
2020-03-06,Ecuador,13,3,0,0,,,,0.737,0.0,0.0,,
2020-03-09,Ecuador,14,1,0,0,,,,0.794,0.0,0.0,,
2020-03-10,Ecuador,15,1,0,0,,,,0.85,0.0,0.0,,
2020-03-11,Ecuador,17,2,0,0,,,,0.9640000000000001,0.0,0.0,,
2020-03-14,Ecuador,23,6,1,1,,,,1.304,0.057,0.057,,
2020-03-15,Ecuador,28,5,2,1,,,,1.587,0.113,0.057,,
2020-03-16,Ecuador,37,9,2,0,,,,2.097,0.113,0.0,,
