Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,1,1,0,0,,,,0.01,0.0,0.0,
2020-02-16,1,0,0,0,,,,0.01,0.0,0.0,
2020-02-17,1,0,0,0,,,,0.01,0.0,0.0,
2020-02-18,1,0,0,0,,,,0.01,0.0,0.0,
2020-02-19,1,0,0,0,,,,0.01,0.0,0.0,
2020-02-20,1,0,0,0,,,,0.01,0.0,0.0,
2020-02-21,1,0,0,0,,,,0.01,0.0,0.0,
2020-02-22,1,0,0,0,,,,0.01,0.0,0.0,
2020-02-23,1,0,0,0,,,,0.01,0.0,0.0,
2020-02-24,1,0,0,0,,,,0.01,0.0,0.0,
2020-02-25,1,0,0,0,,,,0.01,0.0,0.0,
2020-02-26,1,0,0,0,,,,0.01,0.0,0.0,
2020-02-27,1,0,0,0,,,,0.01,0.0,0.0,
2020-02-28,1,0,0,0,,,,0.01,0.0,0.0,
2020-02-29,1,0,0,0,,,,0.01,0.0,0.0,
2020-03-01,1,0,0,0,,,,0.01,0.0,0.0,
2020-03-02,2,1,0,0,,,,0.02,0.0,0.0,
2020-03-06,3,1,0,0,,,,0.028999999999999998,0.0,0.0,
2020-03-07,15,12,0,0,,,,0.147,0.0,0.0,
2020-03-09,49,34,1,1,,,,0.479,0.01,0.01,
2020-03-10,55,6,1,0,,,,0.537,0.01,0.0,
2020-03-11,59,4,1,0,,,,0.5770000000000001,0.01,0.0,
2020-03-12,60,1,1,0,,,,0.586,0.01,0.0,
2020-03-13,80,20,2,1,,,,0.782,0.02,0.01,
2020-03-14,93,13,2,0,,,,0.909,0.02,0.0,
2020-03-15,93,0,2,0,,,,0.909,0.02,0.0,
2020-03-16,110,17,2,0,,,,1.075,0.02,0.0,
2020-03-17,126,16,2,0,,,,1.2309999999999999,0.02,0.0,
2020-03-18,166,40,4,2,,,,1.6219999999999999,0.039,0.02,
2020-03-19,196,30,6,2,,,,1.915,0.059000000000000004,0.02,
2020-03-20,210,14,6,0,,,,2.052,0.059000000000000004,0.0,
2020-03-21,256,46,7,1,,,,2.502,0.068,0.01,
2020-03-22,285,29,8,1,,,,2.785,0.078,0.01,
2020-03-23,294,9,10,2,,,,2.873,0.098,0.02,
2020-03-24,327,33,14,4,,,,3.195,0.13699999999999998,0.039,
2020-03-25,366,39,19,5,,,,3.577,0.18600000000000003,0.049,
2020-03-26,442,76,21,2,,,,4.319,0.205,0.02,
2020-03-27,456,14,21,0,,,,4.456,0.205,0.0,
2020-03-28,495,39,24,3,,,,4.837,0.235,0.028999999999999998,
2020-03-29,536,41,30,6,,,,5.2379999999999995,0.293,0.059000000000000004,
2020-03-30,576,40,36,6,,,,5.629,0.35200000000000004,0.059000000000000004,
2020-03-31,609,33,40,4,,,,5.9510000000000005,0.391,0.039,
2020-04-01,656,47,41,1,,,,6.41,0.401,0.01,
2020-04-02,710,54,46,5,,,,6.938,0.45,0.049,
