Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-02,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-03,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-04,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-05,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-06,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-07,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-08,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-09,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-10,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-11,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-12,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-13,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-14,Egypt,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-15,Egypt,1,1,0,0,,,,0.01,0.0,0.0,,
2020-02-16,Egypt,1,0,0,0,,,,0.01,0.0,0.0,,
2020-02-17,Egypt,1,0,0,0,,,,0.01,0.0,0.0,,
2020-02-18,Egypt,1,0,0,0,,,,0.01,0.0,0.0,,
2020-02-19,Egypt,1,0,0,0,,,,0.01,0.0,0.0,,
2020-02-20,Egypt,1,0,0,0,,,,0.01,0.0,0.0,,
2020-02-21,Egypt,1,0,0,0,,,,0.01,0.0,0.0,,
2020-02-22,Egypt,1,0,0,0,,,,0.01,0.0,0.0,,
2020-02-23,Egypt,1,0,0,0,,,,0.01,0.0,0.0,,
2020-02-24,Egypt,1,0,0,0,,,,0.01,0.0,0.0,,
2020-02-25,Egypt,1,0,0,0,,,,0.01,0.0,0.0,,
2020-02-26,Egypt,1,0,0,0,,,,0.01,0.0,0.0,,
2020-02-27,Egypt,1,0,0,0,,,,0.01,0.0,0.0,,
2020-02-28,Egypt,1,0,0,0,,,,0.01,0.0,0.0,,
2020-02-29,Egypt,1,0,0,0,,,,0.01,0.0,0.0,,
2020-03-01,Egypt,1,0,0,0,,,,0.01,0.0,0.0,,
2020-03-02,Egypt,2,1,0,0,,,,0.02,0.0,0.0,,
2020-03-06,Egypt,3,1,0,0,,,,0.028999999999999998,0.0,0.0,,
2020-03-07,Egypt,15,12,0,0,,,,0.147,0.0,0.0,,
2020-03-09,Egypt,49,34,1,1,,,,0.479,0.01,0.01,,
2020-03-10,Egypt,55,6,1,0,,,,0.537,0.01,0.0,,
2020-03-11,Egypt,59,4,1,0,,,,0.5770000000000001,0.01,0.0,,
2020-03-12,Egypt,60,1,1,0,,,,0.586,0.01,0.0,,
2020-03-13,Egypt,80,20,2,1,,,,0.782,0.02,0.01,,
2020-03-14,Egypt,93,13,2,0,,,,0.909,0.02,0.0,,
2020-03-15,Egypt,93,0,2,0,,,,0.909,0.02,0.0,,
2020-03-16,Egypt,110,17,2,0,,,,1.075,0.02,0.0,,
2020-03-17,Egypt,126,16,2,0,,,,1.2309999999999999,0.02,0.0,,
2020-03-18,Egypt,166,40,4,2,,,,1.6219999999999999,0.039,0.02,,
2020-03-19,Egypt,196,30,6,2,,,,1.915,0.059000000000000004,0.02,,
2020-03-20,Egypt,210,14,6,0,,,,2.052,0.059000000000000004,0.0,,
2020-03-21,Egypt,256,46,7,1,,,,2.502,0.068,0.01,,
2020-03-22,Egypt,285,29,8,1,,,,2.785,0.078,0.01,,
2020-03-23,Egypt,294,9,10,2,,,,2.873,0.098,0.02,,
2020-03-24,Egypt,327,33,14,4,,,,3.195,0.13699999999999998,0.039,,
2020-03-25,Egypt,366,39,19,5,,,,3.577,0.18600000000000003,0.049,,
2020-03-26,Egypt,442,76,21,2,,,,4.319,0.205,0.02,,
2020-03-27,Egypt,456,14,21,0,,,,4.456,0.205,0.0,,
2020-03-28,Egypt,495,39,24,3,,,,4.837,0.235,0.028999999999999998,,
2020-03-29,Egypt,536,41,30,6,,,,5.2379999999999995,0.293,0.059000000000000004,,
2020-03-30,Egypt,576,40,36,6,,,,5.629,0.35200000000000004,0.059000000000000004,,
2020-03-31,Egypt,609,33,40,4,,,,5.9510000000000005,0.391,0.039,,
2020-04-01,Egypt,656,47,41,1,,,,6.41,0.401,0.01,,
2020-04-02,Egypt,710,54,46,5,,,,6.938,0.45,0.049,,
2020-04-03,Egypt,779,69,52,6,,,,7.612,0.508,0.059000000000000004,,
2020-04-04,Egypt,779,0,52,0,,,,7.612,0.508,0.0,,
2020-04-05,Egypt,985,206,66,14,,,,9.625,0.645,0.13699999999999998,,
2020-04-06,Egypt,1070,85,71,5,,,,10.456,0.6940000000000001,0.049,,
2020-04-07,Egypt,1073,3,78,7,,,,10.485,0.762,0.068,,
2020-04-08,Egypt,1322,249,85,7,,,,12.918,0.831,0.068,,
2020-04-09,Egypt,1560,238,103,18,,,,15.244000000000002,1.0070000000000001,0.17600000000000002,,
2020-04-10,Egypt,1699,139,118,15,,,,16.602,1.153,0.147,,
2020-04-11,Egypt,1794,95,135,17,,,,17.531,1.319,0.166,,
2020-04-12,Egypt,1939,145,146,11,,,,18.948,1.4269999999999998,0.107,,
2020-04-13,Egypt,2065,126,159,13,,,,20.179000000000002,1.554,0.127,,
2020-04-14,Egypt,2190,125,164,5,,,,21.4,1.6030000000000002,0.049,,
2020-04-15,Egypt,2350,160,178,14,,,,22.964000000000002,1.739,0.13699999999999998,,
2020-04-16,Egypt,2505,155,183,5,,,,24.479,1.788,0.049,,
2020-04-17,Egypt,2673,168,196,13,,,,26.12,1.915,0.127,,
2020-04-18,Egypt,2844,171,205,9,,,,27.791,2.003,0.08800000000000001,,
2020-04-19,Egypt,3032,188,224,19,,,,29.628,2.189,0.18600000000000003,,
2020-04-20,Egypt,3144,112,239,15,,,,30.723000000000003,2.335,0.147,,
2020-04-21,Egypt,3333,189,250,11,,,,32.57,2.443,0.107,,
