Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-19,1,1,0,0,,,,0.154,0.0,0.0,
2020-03-20,1,0,0,0,,,,0.154,0.0,0.0,
2020-03-21,3,2,0,0,,,,0.46299999999999997,0.0,0.0,
2020-03-22,3,0,0,0,,,,0.46299999999999997,0.0,0.0,
2020-03-23,3,0,0,0,,,,0.46299999999999997,0.0,0.0,
2020-03-24,5,2,0,0,,,,0.7709999999999999,0.0,0.0,
2020-03-25,9,4,0,0,,,,1.3880000000000001,0.0,0.0,
2020-03-26,13,4,0,0,,,,2.004,0.0,0.0,
2020-03-27,13,0,0,0,,,,2.004,0.0,0.0,
2020-03-28,13,0,0,0,,,,2.004,0.0,0.0,
2020-03-29,19,6,0,0,,,,2.929,0.0,0.0,
2020-03-30,30,11,0,0,,,,4.625,0.0,0.0,
2020-03-31,32,2,0,0,,,,4.934,0.0,0.0,
2020-04-01,32,0,1,1,,,,4.934,0.154,0.154,
2020-04-02,41,9,2,1,,,,6.321000000000001,0.308,0.154,
2020-04-03,46,5,2,0,,,,7.0920000000000005,0.308,0.0,
2020-04-04,56,10,3,1,,,,8.634,0.46299999999999997,0.154,
2020-04-05,62,6,3,0,,,,9.559,0.46299999999999997,0.0,
2020-04-06,69,7,3,0,,,,10.638,0.46299999999999997,0.0,
2020-04-07,78,9,4,1,,,,12.026,0.617,0.154,
2020-04-08,78,0,4,0,,,,12.026,0.617,0.0,
2020-04-09,103,25,5,1,,,,15.88,0.7709999999999999,0.154,
2020-04-10,117,14,6,1,,,,18.038,0.925,0.154,
2020-04-11,118,1,6,0,,,,18.192,0.925,0.0,
2020-04-12,118,0,6,0,,,,18.192,0.925,0.0,6729.0
2020-04-13,125,7,6,0,,,,19.272000000000002,0.925,0.0,
2020-04-14,149,24,6,0,,,,22.971999999999998,0.925,0.0,7785.0
2020-04-15,159,10,6,0,,,,24.514,0.925,0.0,8333.0
2020-04-16,159,0,6,0,,,,24.514,0.925,0.0,9267.0
2020-04-17,164,5,6,0,,,,25.284000000000002,0.925,0.0,10191.0
2020-04-18,177,13,7,1,,,,27.289,1.079,0.154,11160.0
2020-04-19,190,13,7,0,,,,29.293000000000003,1.079,0.0,12210.0
2020-04-20,201,11,7,0,,,,30.989,1.079,0.0,13352.0
2020-04-21,218,17,7,0,,,,33.61,1.079,0.0,14375.0
2020-04-22,225,7,7,0,,,,34.689,1.079,0.0,15385.0
2020-04-23,237,12,8,1,,,,36.539,1.2329999999999999,0.154,16418.0
2020-04-24,250,13,8,0,,,,38.543,1.2329999999999999,0.0,
2020-04-25,261,11,8,0,,,,40.239000000000004,1.2329999999999999,0.0,17423.0
2020-04-26,298,37,8,0,,,,45.943999999999996,1.2329999999999999,0.0,20109.0
2020-04-27,298,0,8,0,,,,45.943999999999996,1.2329999999999999,0.0,21364.0
2020-04-28,323,25,8,0,,,,49.798,1.2329999999999999,0.0,
2020-04-29,345,22,9,1,,,,53.19,1.3880000000000001,0.154,22593.0
