Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-19,El Salvador,1,1,0,0,,,,0.154,0.0,0.0,,
2020-03-20,El Salvador,1,0,0,0,,,,0.154,0.0,0.0,,
2020-03-21,El Salvador,3,2,0,0,,,,0.46299999999999997,0.0,0.0,,
2020-03-22,El Salvador,3,0,0,0,,,,0.46299999999999997,0.0,0.0,,
2020-03-23,El Salvador,3,0,0,0,,,,0.46299999999999997,0.0,0.0,,
2020-03-24,El Salvador,5,2,0,0,,,,0.7709999999999999,0.0,0.0,,
2020-03-25,El Salvador,9,4,0,0,,,,1.3880000000000001,0.0,0.0,,
2020-03-26,El Salvador,13,4,0,0,,,,2.004,0.0,0.0,,
2020-03-27,El Salvador,13,0,0,0,,,,2.004,0.0,0.0,,
2020-03-28,El Salvador,13,0,0,0,,,,2.004,0.0,0.0,,
2020-03-29,El Salvador,19,6,0,0,,,,2.929,0.0,0.0,,
2020-03-30,El Salvador,30,11,0,0,,,,4.625,0.0,0.0,,
2020-03-31,El Salvador,32,2,0,0,,,,4.934,0.0,0.0,,
2020-04-01,El Salvador,32,0,1,1,,,,4.934,0.154,0.154,,
2020-04-02,El Salvador,41,9,2,1,,,,6.321000000000001,0.308,0.154,,
2020-04-03,El Salvador,46,5,2,0,,,,7.0920000000000005,0.308,0.0,,
2020-04-04,El Salvador,56,10,3,1,,,,8.634,0.46299999999999997,0.154,,
2020-04-05,El Salvador,62,6,3,0,,,,9.559,0.46299999999999997,0.0,,
2020-04-06,El Salvador,69,7,3,0,,,,10.638,0.46299999999999997,0.0,,
2020-04-07,El Salvador,78,9,4,1,,,,12.026,0.617,0.154,,
2020-04-08,El Salvador,78,0,4,0,,,,12.026,0.617,0.0,,
2020-04-09,El Salvador,103,25,5,1,,,,15.88,0.7709999999999999,0.154,,
2020-04-10,El Salvador,117,14,6,1,,,,18.038,0.925,0.154,,
2020-04-11,El Salvador,118,1,6,0,,,,18.192,0.925,0.0,,
2020-04-12,El Salvador,118,0,6,0,,,,18.192,0.925,0.0,6729.0,
2020-04-13,El Salvador,125,7,6,0,,,,19.272000000000002,0.925,0.0,,
2020-04-14,El Salvador,149,24,6,0,,,,22.971999999999998,0.925,0.0,7785.0,
2020-04-15,El Salvador,159,10,6,0,,,,24.514,0.925,0.0,8333.0,
2020-04-16,El Salvador,159,0,6,0,,,,24.514,0.925,0.0,9267.0,
2020-04-17,El Salvador,164,5,6,0,,,,25.284000000000002,0.925,0.0,10191.0,
2020-04-18,El Salvador,177,13,7,1,,,,27.289,1.079,0.154,11160.0,
2020-04-19,El Salvador,190,13,7,0,,,,29.293000000000003,1.079,0.0,12210.0,
2020-04-20,El Salvador,201,11,7,0,,,,30.989,1.079,0.0,,
2020-04-21,El Salvador,218,17,7,0,,,,33.61,1.079,0.0,,
