Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-15,1,1,0,0,,,,0.713,0.0,0.0,
2020-03-16,1,0,0,0,,,,0.713,0.0,0.0,
2020-03-17,1,0,0,0,,,,0.713,0.0,0.0,
2020-03-18,1,0,0,0,,,,0.713,0.0,0.0,
2020-03-19,3,2,0,0,,,,2.138,0.0,0.0,
2020-03-20,4,1,0,0,,,,2.8510000000000004,0.0,0.0,
2020-03-21,4,0,0,0,,,,2.8510000000000004,0.0,0.0,
2020-03-22,6,2,0,0,,,,4.277,0.0,0.0,
2020-03-23,6,0,0,0,,,,4.277,0.0,0.0,
2020-03-24,9,3,0,0,,,,6.415,0.0,0.0,
2020-03-25,9,0,0,0,,,,6.415,0.0,0.0,
2020-03-26,11,2,0,0,,,,7.84,0.0,0.0,
2020-03-27,12,1,0,0,,,,8.552999999999999,0.0,0.0,
2020-03-28,13,1,0,0,,,,9.266,0.0,0.0,
2020-03-29,13,0,0,0,,,,9.266,0.0,0.0,
2020-03-30,14,1,0,0,,,,9.979,0.0,0.0,
2020-03-31,14,0,0,0,,,,9.979,0.0,0.0,
2020-04-01,15,1,0,0,,,,10.690999999999999,0.0,0.0,
2020-04-02,15,0,0,0,,,,10.690999999999999,0.0,0.0,
2020-04-03,15,0,0,0,,,,10.690999999999999,0.0,0.0,
2020-04-04,16,1,0,0,,,,11.404000000000002,0.0,0.0,
2020-04-05,16,0,0,0,,,,11.404000000000002,0.0,0.0,
2020-04-06,16,0,0,0,,,,11.404000000000002,0.0,0.0,
2020-04-07,16,0,0,0,,,,11.404000000000002,0.0,0.0,
2020-04-08,16,0,0,0,,,,11.404000000000002,0.0,0.0,
2020-04-09,18,2,0,0,,,,12.83,0.0,0.0,
2020-04-10,18,0,0,0,,,,12.83,0.0,0.0,
2020-04-11,18,0,0,0,,,,12.83,0.0,0.0,
2020-04-12,18,0,0,0,,,,12.83,0.0,0.0,
2020-04-13,21,3,0,0,,,,14.968,0.0,0.0,
2020-04-14,21,0,0,0,,,,14.968,0.0,0.0,
2020-04-15,41,20,0,0,,,,29.223000000000003,0.0,0.0,
2020-04-16,51,10,0,0,,,,36.351,0.0,0.0,
2020-04-17,51,0,0,0,,,,36.351,0.0,0.0,
2020-04-18,79,28,0,0,,,,56.309,0.0,0.0,
2020-04-19,79,0,0,0,,,,56.309,0.0,0.0,
2020-04-20,79,0,0,0,,,,56.309,0.0,0.0,
2020-04-21,79,0,0,0,,,,56.309,0.0,0.0,
2020-04-22,79,0,0,0,,,,56.309,0.0,0.0,
2020-04-23,83,4,0,0,,,,59.16,0.0,0.0,
2020-04-24,84,1,1,1,,,,59.872,0.713,0.713,
2020-04-25,212,128,1,0,,,,151.106,0.713,0.0,
2020-04-26,214,2,1,0,,,,152.532,0.713,0.0,
2020-04-27,258,44,1,0,,,,183.894,0.713,0.0,
2020-04-28,258,0,1,0,,,,183.894,0.713,0.0,
2020-04-29,315,57,1,0,,,,224.521,0.713,0.0,
