Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-15,Equatorial Guinea,1,1,0,0,,,,0.713,0.0,0.0,,
2020-03-16,Equatorial Guinea,1,0,0,0,,,,0.713,0.0,0.0,,
2020-03-17,Equatorial Guinea,1,0,0,0,,,,0.713,0.0,0.0,,
2020-03-18,Equatorial Guinea,1,0,0,0,,,,0.713,0.0,0.0,,
2020-03-19,Equatorial Guinea,3,2,0,0,,,,2.138,0.0,0.0,,
2020-03-20,Equatorial Guinea,4,1,0,0,,,,2.8510000000000004,0.0,0.0,,
2020-03-21,Equatorial Guinea,4,0,0,0,,,,2.8510000000000004,0.0,0.0,,
2020-03-22,Equatorial Guinea,6,2,0,0,,,,4.277,0.0,0.0,,
2020-03-23,Equatorial Guinea,6,0,0,0,,,,4.277,0.0,0.0,,
2020-03-24,Equatorial Guinea,9,3,0,0,,,,6.415,0.0,0.0,,
2020-03-25,Equatorial Guinea,9,0,0,0,,,,6.415,0.0,0.0,,
2020-03-26,Equatorial Guinea,11,2,0,0,,,,7.84,0.0,0.0,,
2020-03-27,Equatorial Guinea,12,1,0,0,,,,8.552999999999999,0.0,0.0,,
2020-03-28,Equatorial Guinea,13,1,0,0,,,,9.266,0.0,0.0,,
2020-03-29,Equatorial Guinea,13,0,0,0,,,,9.266,0.0,0.0,,
2020-03-30,Equatorial Guinea,14,1,0,0,,,,9.979,0.0,0.0,,
2020-03-31,Equatorial Guinea,14,0,0,0,,,,9.979,0.0,0.0,,
2020-04-01,Equatorial Guinea,15,1,0,0,,,,10.690999999999999,0.0,0.0,,
2020-04-02,Equatorial Guinea,15,0,0,0,,,,10.690999999999999,0.0,0.0,,
2020-04-03,Equatorial Guinea,15,0,0,0,,,,10.690999999999999,0.0,0.0,,
2020-04-04,Equatorial Guinea,16,1,0,0,,,,11.404000000000002,0.0,0.0,,
2020-04-05,Equatorial Guinea,16,0,0,0,,,,11.404000000000002,0.0,0.0,,
2020-04-06,Equatorial Guinea,16,0,0,0,,,,11.404000000000002,0.0,0.0,,
2020-04-07,Equatorial Guinea,16,0,0,0,,,,11.404000000000002,0.0,0.0,,
2020-04-08,Equatorial Guinea,16,0,0,0,,,,11.404000000000002,0.0,0.0,,
2020-04-09,Equatorial Guinea,18,2,0,0,,,,12.83,0.0,0.0,,
2020-04-10,Equatorial Guinea,18,0,0,0,,,,12.83,0.0,0.0,,
2020-04-11,Equatorial Guinea,18,0,0,0,,,,12.83,0.0,0.0,,
2020-04-12,Equatorial Guinea,18,0,0,0,,,,12.83,0.0,0.0,,
2020-04-13,Equatorial Guinea,21,3,0,0,,,,14.968,0.0,0.0,,
2020-04-14,Equatorial Guinea,21,0,0,0,,,,14.968,0.0,0.0,,
2020-04-15,Equatorial Guinea,41,20,0,0,,,,29.223000000000003,0.0,0.0,,
2020-04-16,Equatorial Guinea,51,10,0,0,,,,36.351,0.0,0.0,,
2020-04-17,Equatorial Guinea,51,0,0,0,,,,36.351,0.0,0.0,,
2020-04-18,Equatorial Guinea,79,28,0,0,,,,56.309,0.0,0.0,,
2020-04-19,Equatorial Guinea,79,0,0,0,,,,56.309,0.0,0.0,,
2020-04-20,Equatorial Guinea,79,0,0,0,,,,56.309,0.0,0.0,,
2020-04-21,Equatorial Guinea,79,0,0,0,,,,56.309,0.0,0.0,,
