Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-22,1,1,0,0,,,,0.282,0.0,0.0,
2020-03-23,1,0,0,0,,,,0.282,0.0,0.0,
2020-03-24,1,0,0,0,,,,0.282,0.0,0.0,
2020-03-25,1,0,0,0,,,,0.282,0.0,0.0,
2020-03-26,4,3,0,0,,,,1.128,0.0,0.0,
2020-03-27,6,2,0,0,,,,1.692,0.0,0.0,
2020-03-28,6,0,0,0,,,,1.692,0.0,0.0,
2020-03-29,6,0,0,0,,,,1.692,0.0,0.0,
2020-03-30,12,6,0,0,,,,3.384,0.0,0.0,
2020-03-31,12,0,0,0,,,,3.384,0.0,0.0,
2020-04-01,15,3,0,0,,,,4.23,0.0,0.0,
2020-04-02,18,3,0,0,,,,5.0760000000000005,0.0,0.0,
2020-04-03,22,4,0,0,,,,6.202999999999999,0.0,0.0,
2020-04-04,22,0,0,0,,,,6.202999999999999,0.0,0.0,
2020-04-05,29,7,0,0,,,,8.177,0.0,0.0,
2020-04-06,29,0,0,0,,,,8.177,0.0,0.0,
2020-04-07,31,2,0,0,,,,8.741,0.0,0.0,
2020-04-08,31,0,0,0,,,,8.741,0.0,0.0,
2020-04-09,33,2,0,0,,,,9.305,0.0,0.0,
2020-04-10,33,0,0,0,,,,9.305,0.0,0.0,
2020-04-11,34,1,0,0,,,,9.587,0.0,0.0,
2020-04-12,34,0,0,0,,,,9.587,0.0,0.0,
2020-04-13,34,0,0,0,,,,9.587,0.0,0.0,
2020-04-14,34,0,0,0,,,,9.587,0.0,0.0,
2020-04-15,35,1,0,0,,,,9.869,0.0,0.0,
2020-04-16,35,0,0,0,,,,9.869,0.0,0.0,
2020-04-17,35,0,0,0,,,,9.869,0.0,0.0,
2020-04-18,35,0,0,0,,,,9.869,0.0,0.0,
2020-04-19,35,0,0,0,,,,9.869,0.0,0.0,
2020-04-20,39,4,0,0,,,,10.997,0.0,0.0,
2020-04-21,39,0,0,0,,,,10.997,0.0,0.0,
2020-04-22,39,0,0,0,,,,10.997,0.0,0.0,
2020-04-23,39,0,0,0,,,,10.997,0.0,0.0,
2020-04-24,39,0,0,0,,,,10.997,0.0,0.0,
2020-04-25,39,0,0,0,,,,10.997,0.0,0.0,
2020-04-26,39,0,0,0,,,,10.997,0.0,0.0,
2020-04-27,39,0,0,0,,,,10.997,0.0,0.0,
2020-04-28,39,0,0,0,,,,10.997,0.0,0.0,
2020-04-29,39,0,0,0,,,,10.997,0.0,0.0,
