Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-22,Eritrea,1,1,0,0,,,,0.282,0.0,0.0,,
2020-03-23,Eritrea,1,0,0,0,,,,0.282,0.0,0.0,,
2020-03-24,Eritrea,1,0,0,0,,,,0.282,0.0,0.0,,
2020-03-25,Eritrea,1,0,0,0,,,,0.282,0.0,0.0,,
2020-03-26,Eritrea,4,3,0,0,,,,1.128,0.0,0.0,,
2020-03-27,Eritrea,6,2,0,0,,,,1.692,0.0,0.0,,
2020-03-28,Eritrea,6,0,0,0,,,,1.692,0.0,0.0,,
2020-03-29,Eritrea,6,0,0,0,,,,1.692,0.0,0.0,,
2020-03-30,Eritrea,12,6,0,0,,,,3.384,0.0,0.0,,
2020-03-31,Eritrea,12,0,0,0,,,,3.384,0.0,0.0,,
2020-04-01,Eritrea,15,3,0,0,,,,4.23,0.0,0.0,,
2020-04-02,Eritrea,18,3,0,0,,,,5.0760000000000005,0.0,0.0,,
2020-04-03,Eritrea,22,4,0,0,,,,6.202999999999999,0.0,0.0,,
2020-04-04,Eritrea,22,0,0,0,,,,6.202999999999999,0.0,0.0,,
2020-04-05,Eritrea,29,7,0,0,,,,8.177,0.0,0.0,,
2020-04-06,Eritrea,29,0,0,0,,,,8.177,0.0,0.0,,
2020-04-07,Eritrea,31,2,0,0,,,,8.741,0.0,0.0,,
2020-04-08,Eritrea,31,0,0,0,,,,8.741,0.0,0.0,,
2020-04-09,Eritrea,33,2,0,0,,,,9.305,0.0,0.0,,
2020-04-10,Eritrea,33,0,0,0,,,,9.305,0.0,0.0,,
2020-04-11,Eritrea,34,1,0,0,,,,9.587,0.0,0.0,,
2020-04-12,Eritrea,34,0,0,0,,,,9.587,0.0,0.0,,
2020-04-13,Eritrea,34,0,0,0,,,,9.587,0.0,0.0,,
2020-04-14,Eritrea,34,0,0,0,,,,9.587,0.0,0.0,,
2020-04-15,Eritrea,35,1,0,0,,,,9.869,0.0,0.0,,
2020-04-16,Eritrea,35,0,0,0,,,,9.869,0.0,0.0,,
2020-04-17,Eritrea,35,0,0,0,,,,9.869,0.0,0.0,,
2020-04-18,Eritrea,35,0,0,0,,,,9.869,0.0,0.0,,
2020-04-19,Eritrea,35,0,0,0,,,,9.869,0.0,0.0,,
2020-04-20,Eritrea,39,4,0,0,,,,10.997,0.0,0.0,,
2020-04-21,Eritrea,39,0,0,0,,,,10.997,0.0,0.0,,
