Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-25,0,0,0,0,,,,0.0,0.0,0.0,5.0
2020-02-26,0,0,0,0,,,,0.0,0.0,0.0,13.0
2020-02-27,0,0,0,0,,,,0.0,0.0,0.0,23.0
2020-02-28,1,1,0,0,,,,0.754,0.0,0.0,36.0
2020-02-29,1,0,0,0,,,,0.754,0.0,0.0,44.0
2020-03-01,1,0,0,0,,,,0.754,0.0,0.0,62.0
2020-03-02,1,0,0,0,,,,0.754,0.0,0.0,84.0
2020-03-03,0,0,0,0,,,,,,,113.0
2020-03-04,2,1,0,0,,,,1.508,0.0,0.0,149.0
2020-03-05,0,0,0,0,,,,,,,184.0
2020-03-06,5,3,0,0,,,,3.7689999999999997,0.0,0.0,255.0
2020-03-07,10,5,0,0,,,,7.537999999999999,0.0,0.0,284.0
2020-03-08,0,0,0,0,,,,,,,304.0
2020-03-09,0,0,0,0,,,,,,,368.0
2020-03-10,0,0,0,0,,,,,,,425.0
2020-03-11,13,3,0,0,,,,9.8,0.0,0.0,490.0
2020-03-12,16,3,0,0,,,,12.061,0.0,0.0,621.0
2020-03-13,27,11,0,0,,,,20.354,0.0,0.0,804.0
2020-03-14,79,52,0,0,,,,59.553000000000004,0.0,0.0,967.0
2020-03-15,115,36,0,0,,,,86.69200000000001,0.0,0.0,1462.0
2020-03-16,171,56,0,0,,,,128.907,0.0,0.0,1767.0
2020-03-17,205,34,0,0,,,,154.537,0.0,0.0,1958.0
2020-03-18,225,20,0,0,,,,169.614,0.0,0.0,2497.0
2020-03-19,258,33,0,0,,,,194.49099999999999,0.0,0.0,2848.0
2020-03-20,267,9,0,0,,,,201.27599999999998,0.0,0.0,3240.0
2020-03-21,283,16,0,0,,,,213.33700000000002,0.0,0.0,3877.0
2020-03-22,306,23,0,0,,,,230.675,0.0,0.0,4037.0
2020-03-23,326,20,0,0,,,,245.752,0.0,0.0,4532.0
2020-03-24,352,26,0,0,,,,265.35200000000003,0.0,0.0,5935.0
2020-03-25,369,17,0,0,,,,278.16700000000003,0.0,0.0,6982.0
2020-03-26,404,35,1,1,,,,304.552,0.754,0.754,8121.0
2020-03-27,538,134,1,0,,,,405.56699999999995,0.754,0.0,9374.0
2020-03-28,575,37,1,0,,,,433.459,0.754,0.0,10409.0
