Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-20,Faeroe Islands,72,72,0,0,,,,1473.4470000000001,0.0,0.0,,
2020-03-21,Faeroe Islands,80,8,0,0,,,,1637.164,0.0,0.0,,
2020-03-22,Faeroe Islands,92,12,0,0,,,,1882.7379999999998,0.0,0.0,,
2020-03-23,Faeroe Islands,115,23,0,0,,,,2353.423,0.0,0.0,,
2020-03-24,Faeroe Islands,118,3,0,0,,,,2414.8160000000003,0.0,0.0,,
2020-03-25,Faeroe Islands,122,4,0,0,,,,2496.675,0.0,0.0,,
2020-03-26,Faeroe Islands,132,10,0,0,,,,2701.32,0.0,0.0,,
2020-03-27,Faeroe Islands,140,8,0,0,,,,2865.0359999999996,0.0,0.0,,
2020-03-28,Faeroe Islands,144,4,0,0,,,,2946.895,0.0,0.0,,
2020-03-29,Faeroe Islands,155,11,0,0,,,,3172.005,0.0,0.0,,
2020-03-30,Faeroe Islands,159,4,0,0,,,,3253.863,0.0,0.0,,
2020-03-31,Faeroe Islands,168,9,0,0,,,,3438.0440000000003,0.0,0.0,,
2020-04-01,Faeroe Islands,169,1,0,0,,,,3458.508,0.0,0.0,,
2020-04-02,Faeroe Islands,173,4,0,0,,,,3540.366,0.0,0.0,,
2020-04-03,Faeroe Islands,177,4,0,0,,,,3622.224,0.0,0.0,,
2020-04-04,Faeroe Islands,179,2,0,0,,,,3663.1540000000005,0.0,0.0,,
2020-04-05,Faeroe Islands,181,2,0,0,,,,3704.083,0.0,0.0,,
2020-04-06,Faeroe Islands,181,0,0,0,,,,3704.083,0.0,0.0,,
2020-04-07,Faeroe Islands,183,2,0,0,,,,3745.012,0.0,0.0,,
2020-04-08,Faeroe Islands,184,1,0,0,,,,3765.4759999999997,0.0,0.0,,
2020-04-09,Faeroe Islands,184,0,0,0,,,,3765.4759999999997,0.0,0.0,,
2020-04-10,Faeroe Islands,184,0,0,0,,,,3765.4759999999997,0.0,0.0,,
2020-04-11,Faeroe Islands,184,0,0,0,,,,3765.4759999999997,0.0,0.0,,
2020-04-12,Faeroe Islands,184,0,0,0,,,,3765.4759999999997,0.0,0.0,,
2020-04-13,Faeroe Islands,184,0,0,0,,,,3765.4759999999997,0.0,0.0,,
2020-04-14,Faeroe Islands,184,0,0,0,,,,3765.4759999999997,0.0,0.0,,
2020-04-15,Faeroe Islands,184,0,0,0,,,,3765.4759999999997,0.0,0.0,,
2020-04-16,Faeroe Islands,184,0,0,0,,,,3765.4759999999997,0.0,0.0,,
2020-04-17,Faeroe Islands,184,0,0,0,,,,3765.4759999999997,0.0,0.0,,
2020-04-18,Faeroe Islands,184,0,0,0,,,,3765.4759999999997,0.0,0.0,,
2020-04-19,Faeroe Islands,184,0,0,0,,,,3765.4759999999997,0.0,0.0,,
2020-04-20,Faeroe Islands,185,1,0,0,,,,3785.941,0.0,0.0,,
2020-04-21,Faeroe Islands,185,0,0,0,,,,3785.941,0.0,0.0,,
