Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-04-04,1,1,0,0,,,,287.10900000000004,0.0,0.0,
2020-04-05,1,0,0,0,,,,287.10900000000004,0.0,0.0,
2020-04-06,2,1,0,0,,,,574.2180000000001,0.0,0.0,
2020-04-07,2,0,0,0,,,,574.2180000000001,0.0,0.0,
2020-04-08,5,3,0,0,,,,1435.5439999999999,0.0,0.0,
2020-04-09,5,0,0,0,,,,1435.5439999999999,0.0,0.0,
2020-04-10,5,0,0,0,,,,1435.5439999999999,0.0,0.0,
2020-04-11,5,0,0,0,,,,1435.5439999999999,0.0,0.0,
2020-04-12,5,0,0,0,,,,1435.5439999999999,0.0,0.0,
2020-04-13,5,0,0,0,,,,1435.5439999999999,0.0,0.0,
2020-04-14,5,0,0,0,,,,1435.5439999999999,0.0,0.0,
2020-04-15,11,6,0,0,,,,3158.197,0.0,0.0,
2020-04-16,11,0,0,0,,,,3158.197,0.0,0.0,
2020-04-17,11,0,0,0,,,,3158.197,0.0,0.0,
2020-04-18,11,0,0,0,,,,3158.197,0.0,0.0,
2020-04-19,11,0,0,0,,,,3158.197,0.0,0.0,
2020-04-20,11,0,0,0,,,,3158.197,0.0,0.0,
2020-04-21,11,0,0,0,,,,3158.197,0.0,0.0,
2020-04-22,12,1,0,0,,,,3445.3059999999996,0.0,0.0,
2020-04-23,12,0,0,0,,,,3445.3059999999996,0.0,0.0,
2020-04-24,12,0,0,0,,,,3445.3059999999996,0.0,0.0,
2020-04-25,12,0,0,0,,,,3445.3059999999996,0.0,0.0,
2020-04-26,13,1,0,0,,,,3732.415,0.0,0.0,
2020-04-27,13,0,0,0,,,,3732.415,0.0,0.0,
2020-04-28,13,0,0,0,,,,3732.415,0.0,0.0,
2020-04-29,13,0,0,0,,,,3732.415,0.0,0.0,
