Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-20,Fiji,1,1,0,0,,,,1.1159999999999999,0.0,0.0,,
2020-03-21,Fiji,1,0,0,0,,,,1.1159999999999999,0.0,0.0,,
2020-03-22,Fiji,2,1,0,0,,,,2.231,0.0,0.0,,
2020-03-23,Fiji,3,1,0,0,,,,3.347,0.0,0.0,,
2020-03-24,Fiji,4,1,0,0,,,,4.462,0.0,0.0,,
2020-03-25,Fiji,5,1,0,0,,,,5.577999999999999,0.0,0.0,,
2020-03-26,Fiji,5,0,0,0,,,,5.577999999999999,0.0,0.0,,
2020-03-27,Fiji,5,0,0,0,,,,5.577999999999999,0.0,0.0,,
2020-03-28,Fiji,5,0,0,0,,,,5.577999999999999,0.0,0.0,,
2020-03-29,Fiji,5,0,0,0,,,,5.577999999999999,0.0,0.0,,
2020-03-30,Fiji,5,0,0,0,,,,5.577999999999999,0.0,0.0,,
2020-03-31,Fiji,5,0,0,0,,,,5.577999999999999,0.0,0.0,,
2020-04-01,Fiji,5,0,0,0,,,,5.577999999999999,0.0,0.0,,
2020-04-02,Fiji,7,2,0,0,,,,7.809,0.0,0.0,,
2020-04-03,Fiji,7,0,0,0,,,,7.809,0.0,0.0,,
2020-04-04,Fiji,12,5,0,0,,,,13.386,0.0,0.0,,
2020-04-05,Fiji,12,0,0,0,,,,13.386,0.0,0.0,,
2020-04-06,Fiji,14,2,0,0,,,,15.617,0.0,0.0,,
2020-04-07,Fiji,14,0,0,0,,,,15.617,0.0,0.0,,
2020-04-08,Fiji,15,1,0,0,,,,16.733,0.0,0.0,,
2020-04-09,Fiji,15,0,0,0,,,,16.733,0.0,0.0,,
2020-04-10,Fiji,15,0,0,0,,,,16.733,0.0,0.0,,
2020-04-11,Fiji,16,1,0,0,,,,17.848,0.0,0.0,,
2020-04-12,Fiji,16,0,0,0,,,,17.848,0.0,0.0,,
2020-04-13,Fiji,16,0,0,0,,,,17.848,0.0,0.0,,
2020-04-14,Fiji,16,0,0,0,,,,17.848,0.0,0.0,,
2020-04-15,Fiji,16,0,0,0,,,,17.848,0.0,0.0,,
2020-04-16,Fiji,16,0,0,0,,,,17.848,0.0,0.0,,
2020-04-17,Fiji,17,1,0,0,,,,18.964000000000002,0.0,0.0,,
2020-04-18,Fiji,17,0,0,0,,,,18.964000000000002,0.0,0.0,,
2020-04-19,Fiji,17,0,0,0,,,,18.964000000000002,0.0,0.0,,
2020-04-20,Fiji,17,0,0,0,,,,18.964000000000002,0.0,0.0,,
2020-04-21,Fiji,18,1,0,0,,,,20.079,0.0,0.0,,
