Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,1,1,0,0,,,,0.18,0.0,0.0,
2020-01-31,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-01,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-02,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-03,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-04,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-05,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-06,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-07,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-08,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-09,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-10,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-11,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-12,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-13,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-14,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-15,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-16,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-17,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-18,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-19,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-20,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-21,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-22,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-23,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-24,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-25,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-26,1,0,0,0,,,,0.18,0.0,0.0,
2020-02-27,2,1,0,0,,,,0.361,0.0,0.0,
2020-02-28,2,0,0,0,,,,0.361,0.0,0.0,
2020-02-29,3,1,0,0,,,,0.541,0.0,0.0,
2020-03-01,3,0,0,0,,,,0.541,0.0,0.0,
2020-03-02,6,3,0,0,,,,1.083,0.0,0.0,
2020-03-04,7,1,0,0,,,,1.263,0.0,0.0,
2020-03-06,12,5,0,0,,,,2.166,0.0,0.0,
2020-03-07,19,7,0,0,,,,3.429,0.0,0.0,
2020-03-09,30,11,0,0,,,,5.414,0.0,0.0,
2020-03-10,40,10,0,0,,,,7.218999999999999,0.0,0.0,
2020-03-12,59,19,0,0,,,,10.648,0.0,0.0,1393.0
2020-03-13,155,96,0,0,,,,27.975,0.0,0.0,1802.0
2020-03-14,183,28,0,0,,,,33.028,0.0,0.0,2388.0
2020-03-15,210,27,0,0,,,,37.900999999999996,0.0,0.0,3058.0
2020-03-16,267,57,0,0,,,,48.18899999999999,0.0,0.0,3870.0
2020-03-17,272,5,0,0,,,,49.091,0.0,0.0,4987.0
2020-03-18,319,47,0,0,,,,57.574,0.0,0.0,6002.0
2020-03-19,369,50,0,0,,,,66.598,0.0,0.0,6778.0
2020-03-20,400,31,0,0,,,,72.193,0.0,0.0,8046.0
2020-03-21,450,50,0,0,,,,81.217,0.0,0.0,9641.0
2020-03-22,521,71,1,1,,,,94.031,0.18,0.18,10693.0
2020-03-23,626,105,1,0,,,,112.98200000000001,0.18,0.0,12012.0
2020-03-24,700,74,1,0,,,,126.337,0.18,0.0,13591.0
2020-03-25,792,92,1,0,,,,142.942,0.18,0.0,14554.0
2020-03-26,880,88,3,2,,,,158.82399999999998,0.541,0.361,16391.0
2020-03-27,958,78,4,1,,,,172.90200000000002,0.722,0.18,18846.0
2020-03-28,1025,67,7,3,,,,184.99400000000003,1.263,0.541,20237.0
2020-03-29,1218,193,9,2,,,,219.827,1.624,0.361,20820.0
2020-03-30,1218,0,11,2,,,,219.827,1.985,0.361,21901.0
2020-03-31,1313,95,13,2,,,,236.97299999999998,2.346,0.361,22986.0
