Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Finland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Finland,1,1,0,0,,,,0.18,0.0,0.0,,
2020-01-31,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-01,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-02,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-03,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-04,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-05,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-06,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-07,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-08,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-09,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-10,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-11,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-12,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-13,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-14,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-15,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-16,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-17,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-18,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-19,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-20,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-21,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-22,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-23,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-24,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-25,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-26,Finland,1,0,0,0,,,,0.18,0.0,0.0,,
2020-02-27,Finland,2,1,0,0,,,,0.361,0.0,0.0,,
2020-02-28,Finland,2,0,0,0,,,,0.361,0.0,0.0,,
2020-02-29,Finland,3,1,0,0,,,,0.541,0.0,0.0,,
2020-03-01,Finland,3,0,0,0,,,,0.541,0.0,0.0,,
2020-03-02,Finland,6,3,0,0,,,,1.083,0.0,0.0,,
2020-03-04,Finland,7,1,0,0,,,,1.263,0.0,0.0,,
2020-03-06,Finland,12,5,0,0,,,,2.166,0.0,0.0,,
2020-03-07,Finland,19,7,0,0,,,,3.429,0.0,0.0,,
2020-03-09,Finland,30,11,0,0,,,,5.414,0.0,0.0,,
2020-03-10,Finland,40,10,0,0,,,,7.218999999999999,0.0,0.0,,
2020-03-12,Finland,59,19,0,0,,,,10.648,0.0,0.0,1393.0,
2020-03-13,Finland,155,96,0,0,,,,27.975,0.0,0.0,1802.0,
2020-03-14,Finland,183,28,0,0,,,,33.028,0.0,0.0,2388.0,
2020-03-15,Finland,210,27,0,0,,,,37.900999999999996,0.0,0.0,3058.0,
2020-03-16,Finland,267,57,0,0,,,,48.18899999999999,0.0,0.0,3870.0,
2020-03-17,Finland,272,5,0,0,,,,49.091,0.0,0.0,4987.0,
2020-03-18,Finland,319,47,0,0,,,,57.574,0.0,0.0,6002.0,
2020-03-19,Finland,369,50,0,0,,,,66.598,0.0,0.0,6778.0,
2020-03-20,Finland,400,31,0,0,,,,72.193,0.0,0.0,8046.0,
2020-03-21,Finland,450,50,0,0,,,,81.217,0.0,0.0,9641.0,
2020-03-22,Finland,521,71,1,1,,,,94.031,0.18,0.18,10693.0,
2020-03-23,Finland,626,105,1,0,,,,112.98200000000001,0.18,0.0,12012.0,
2020-03-24,Finland,700,74,1,0,,,,126.337,0.18,0.0,13591.0,
2020-03-25,Finland,792,92,1,0,,,,142.942,0.18,0.0,14554.0,
2020-03-26,Finland,880,88,3,2,,,,158.82399999999998,0.541,0.361,16391.0,
2020-03-27,Finland,958,78,4,1,,,,172.90200000000002,0.722,0.18,18846.0,
2020-03-28,Finland,1025,67,7,3,,,,184.99400000000003,1.263,0.541,20053.0,
2020-03-29,Finland,1218,193,9,2,,,,219.827,1.624,0.361,20636.0,
2020-03-30,Finland,1218,0,11,2,,,,219.827,1.985,0.361,21869.0,
2020-03-31,Finland,1313,95,13,2,,,,236.97299999999998,2.346,0.361,22998.0,
2020-04-01,Finland,1384,71,17,4,,,,249.787,3.068,0.722,24905.0,
2020-04-02,Finland,1446,62,17,0,,,,260.97700000000003,3.068,0.0,26874.0,
2020-04-03,Finland,1518,72,19,2,,,,273.972,3.429,0.361,28541.0,
2020-04-04,Finland,1615,97,20,1,,,,291.478,3.61,0.18,31132.0,
2020-04-05,Finland,1882,267,25,5,,,,339.667,4.512,0.902,32758.0,
2020-04-06,Finland,1927,45,27,2,,,,347.789,4.873,0.361,34682.0,
2020-04-07,Finland,2176,249,27,0,,,,392.72900000000004,4.873,0.0,36753.0,
2020-04-08,Finland,2308,132,34,7,,,,416.55300000000005,6.136,1.263,39060.0,
2020-04-09,Finland,2487,179,40,6,,,,448.85900000000004,7.218999999999999,1.083,41501.0,
2020-04-10,Finland,2605,118,42,2,,,,470.156,7.58,0.361,43998.0,
2020-04-11,Finland,2769,164,48,6,,,,499.755,8.663,1.083,45298.0,
2020-04-12,Finland,2905,136,49,1,,,,524.3,8.844,0.18,46818.0,
2020-04-13,Finland,2974,69,56,7,,,,536.754,10.107000000000001,1.263,47716.0,
2020-04-14,Finland,3064,90,59,3,,,,552.997,10.648,0.541,48864.0,
2020-04-15,Finland,3161,97,64,5,,,,570.504,11.550999999999998,0.902,51248.0,
2020-04-16,Finland,3237,76,72,8,,,,584.22,12.995,1.444,53890.0,
2020-04-17,Finland,3369,132,75,3,,,,608.044,13.536,0.541,56497.0,
2020-04-18,Finland,3489,120,82,7,,,,629.702,14.8,1.263,58689.0,
2020-04-19,Finland,3681,192,90,8,,,,664.3539999999999,16.243,1.444,60786.0,
2020-04-20,Finland,3783,102,94,4,,,,682.763,16.965,0.722,61447.0,
2020-04-21,Finland,3868,85,98,4,,,,698.1039999999999,17.687,0.722,,
