Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,3,3,0,0,,,,0.046,0.0,0.0,
2020-01-26,3,0,0,0,,,,0.046,0.0,0.0,
2020-01-27,3,0,0,0,,,,0.046,0.0,0.0,
2020-01-28,3,0,0,0,,,,0.046,0.0,0.0,
2020-01-29,4,1,0,0,,,,0.061,0.0,0.0,
2020-01-30,5,1,0,0,,,,0.077,0.0,0.0,
2020-01-31,6,1,0,0,,,,0.092,0.0,0.0,
2020-02-01,6,0,0,0,,,,0.092,0.0,0.0,
2020-02-02,6,0,0,0,,,,0.092,0.0,0.0,
2020-02-03,6,0,0,0,,,,0.092,0.0,0.0,
2020-02-04,6,0,0,0,,,,0.092,0.0,0.0,
2020-02-05,6,0,0,0,,,,0.092,0.0,0.0,
2020-02-06,6,0,0,0,,,,0.092,0.0,0.0,
2020-02-07,6,0,0,0,,,,0.092,0.0,0.0,
2020-02-08,11,5,0,0,,,,0.16899999999999998,0.0,0.0,
2020-02-09,11,0,0,0,,,,0.16899999999999998,0.0,0.0,
2020-02-10,11,0,0,0,,,,0.16899999999999998,0.0,0.0,
2020-02-11,11,0,0,0,,,,0.16899999999999998,0.0,0.0,
2020-02-12,11,0,0,0,,,,0.16899999999999998,0.0,0.0,
2020-02-13,11,0,0,0,,,,0.16899999999999998,0.0,0.0,
2020-02-14,11,0,0,0,,,,0.16899999999999998,0.0,0.0,
2020-02-15,11,0,1,1,,,,0.16899999999999998,0.015,0.015,
2020-02-16,11,0,1,0,,,,0.16899999999999998,0.015,0.0,
2020-02-17,12,1,1,0,,,,0.184,0.015,0.0,
2020-02-18,12,0,1,0,,,,0.184,0.015,0.0,
2020-02-19,12,0,1,0,,,,0.184,0.015,0.0,
2020-02-20,12,0,1,0,,,,0.184,0.015,0.0,
2020-02-21,12,0,1,0,,,,0.184,0.015,0.0,
2020-02-22,12,0,1,0,,,,0.184,0.015,0.0,
2020-02-23,12,0,1,0,,,,0.184,0.015,0.0,
2020-02-24,12,0,1,0,,,,0.184,0.015,0.0,31.0
2020-02-25,12,0,1,0,,,,0.184,0.015,0.0,146.0
2020-02-26,14,2,1,0,,,,0.214,0.015,0.0,412.0
2020-02-27,17,3,2,1,,,,0.26,0.031,0.015,851.0
2020-02-28,38,21,2,0,,,,0.5820000000000001,0.031,0.0,1316.0
2020-02-29,57,19,2,0,,,,0.873,0.031,0.0,1902.0
2020-03-01,100,43,2,0,,,,1.5319999999999998,0.031,0.0,2451.0
2020-03-02,130,30,2,0,,,,1.992,0.031,0.0,2887.0
2020-03-03,178,48,3,1,,,,2.727,0.046,0.015,3594.0
2020-03-04,212,34,4,1,,,,3.248,0.061,0.015,4803.0
2020-03-05,285,73,4,0,,,,4.3660000000000005,0.061,0.0,6046.0
2020-03-06,423,138,7,3,,,,6.48,0.107,0.046,7695.0
2020-03-07,613,190,9,2,,,,9.391,0.138,0.031,9495.0
2020-03-08,716,103,10,1,,,,10.969000000000001,0.153,0.015,11071.0
2020-03-09,1126,410,19,9,,,,17.25,0.29100000000000004,0.138,12667.0
2020-03-10,1412,286,30,11,,,,21.631999999999998,0.46,0.16899999999999998,15018.0
2020-03-11,1784,372,33,3,,,,27.331,0.506,0.046,
2020-03-12,2281,497,48,15,,,,34.945,0.735,0.23,
2020-03-13,2876,595,61,13,,,,44.06100000000001,0.935,0.19899999999999998,
2020-03-14,3661,785,79,18,,,,56.086999999999996,1.21,0.276,
2020-03-15,4499,838,91,12,,,,68.925,1.3940000000000001,0.184,36747.0
2020-03-16,5423,924,127,36,,,,83.081,1.946,0.552,
2020-03-17,6633,1210,148,21,,,,101.619,2.267,0.322,
2020-03-18,7730,1097,175,27,,,,118.425,2.681,0.414,
2020-03-19,9134,1404,244,69,,,,139.934,3.738,1.057,
2020-03-20,10995,1861,372,128,,,,168.445,5.699,1.9609999999999999,
2020-03-21,12612,1617,450,78,,,,193.218,6.894,1.195,
2020-03-22,14459,1847,562,112,,,,221.514,8.61,1.716,
2020-03-23,16018,1559,674,112,,,,245.398,10.325999999999999,1.716,
2020-03-24,19856,3838,860,186,,,,304.197,13.175,2.85,107546.0
2020-03-25,22302,2446,1100,240,,,,341.67,16.852,3.677,
