Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,France,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,France,3,3,0,0,,,,0.046,0.0,0.0,,
2020-01-26,France,3,0,0,0,,,,0.046,0.0,0.0,,
2020-01-27,France,3,0,0,0,,,,0.046,0.0,0.0,,
2020-01-28,France,3,0,0,0,,,,0.046,0.0,0.0,,
2020-01-29,France,4,1,0,0,,,,0.061,0.0,0.0,,
2020-01-30,France,5,1,0,0,,,,0.077,0.0,0.0,,
2020-01-31,France,6,1,0,0,,,,0.092,0.0,0.0,,
2020-02-01,France,6,0,0,0,,,,0.092,0.0,0.0,,
2020-02-02,France,6,0,0,0,,,,0.092,0.0,0.0,,
2020-02-03,France,6,0,0,0,,,,0.092,0.0,0.0,,
2020-02-04,France,6,0,0,0,,,,0.092,0.0,0.0,,
2020-02-05,France,6,0,0,0,,,,0.092,0.0,0.0,,
2020-02-06,France,6,0,0,0,,,,0.092,0.0,0.0,,
2020-02-07,France,6,0,0,0,,,,0.092,0.0,0.0,,
2020-02-08,France,11,5,0,0,,,,0.16899999999999998,0.0,0.0,,
2020-02-09,France,11,0,0,0,,,,0.16899999999999998,0.0,0.0,,
2020-02-10,France,11,0,0,0,,,,0.16899999999999998,0.0,0.0,,
2020-02-11,France,11,0,0,0,,,,0.16899999999999998,0.0,0.0,,
2020-02-12,France,11,0,0,0,,,,0.16899999999999998,0.0,0.0,,
2020-02-13,France,11,0,0,0,,,,0.16899999999999998,0.0,0.0,,
2020-02-14,France,11,0,0,0,,,,0.16899999999999998,0.0,0.0,,
2020-02-15,France,11,0,1,1,,,,0.16899999999999998,0.015,0.015,,
