Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-19,French Polynesia,3,3,0,0,,,,10.68,0.0,0.0,,
2020-03-20,French Polynesia,3,0,0,0,,,,10.68,0.0,0.0,,
2020-03-21,French Polynesia,15,12,0,0,,,,53.398999999999994,0.0,0.0,,
2020-03-22,French Polynesia,17,2,0,0,,,,60.519,0.0,0.0,,
2020-03-23,French Polynesia,18,1,0,0,,,,64.079,0.0,0.0,,
2020-03-24,French Polynesia,23,5,0,0,,,,81.87899999999999,0.0,0.0,,
2020-03-25,French Polynesia,25,2,0,0,,,,88.99799999999999,0.0,0.0,,
2020-03-26,French Polynesia,25,0,0,0,,,,88.99799999999999,0.0,0.0,,
2020-03-27,French Polynesia,30,5,0,0,,,,106.79799999999999,0.0,0.0,,
2020-03-28,French Polynesia,30,0,0,0,,,,106.79799999999999,0.0,0.0,,
2020-03-29,French Polynesia,34,4,0,0,,,,121.038,0.0,0.0,,
2020-03-30,French Polynesia,35,1,0,0,,,,124.598,0.0,0.0,,
2020-03-31,French Polynesia,36,1,0,0,,,,128.158,0.0,0.0,,
2020-04-01,French Polynesia,37,1,0,0,,,,131.718,0.0,0.0,,
2020-04-02,French Polynesia,37,0,0,0,,,,131.718,0.0,0.0,,
2020-04-03,French Polynesia,37,0,0,0,,,,131.718,0.0,0.0,,
2020-04-04,French Polynesia,39,2,0,0,,,,138.83700000000002,0.0,0.0,,
2020-04-05,French Polynesia,40,1,0,0,,,,142.39700000000002,0.0,0.0,,
2020-04-06,French Polynesia,41,1,0,0,,,,145.957,0.0,0.0,,
2020-04-07,French Polynesia,41,0,0,0,,,,145.957,0.0,0.0,,
2020-04-08,French Polynesia,47,6,0,0,,,,167.317,0.0,0.0,,
2020-04-09,French Polynesia,51,4,0,0,,,,181.55700000000002,0.0,0.0,,
2020-04-10,French Polynesia,51,0,0,0,,,,181.55700000000002,0.0,0.0,,
2020-04-11,French Polynesia,51,0,0,0,,,,181.55700000000002,0.0,0.0,,
2020-04-12,French Polynesia,51,0,0,0,,,,181.55700000000002,0.0,0.0,,
2020-04-13,French Polynesia,53,2,0,0,,,,188.67700000000002,0.0,0.0,,
2020-04-14,French Polynesia,55,2,0,0,,,,195.796,0.0,0.0,,
2020-04-15,French Polynesia,55,0,0,0,,,,195.796,0.0,0.0,,
2020-04-16,French Polynesia,55,0,0,0,,,,195.796,0.0,0.0,,
2020-04-17,French Polynesia,55,0,0,0,,,,195.796,0.0,0.0,,
2020-04-18,French Polynesia,55,0,0,0,,,,195.796,0.0,0.0,,
2020-04-19,French Polynesia,55,0,0,0,,,,195.796,0.0,0.0,,
2020-04-20,French Polynesia,55,0,0,0,,,,195.796,0.0,0.0,,
2020-04-21,French Polynesia,56,1,0,0,,,,199.356,0.0,0.0,,
