Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-13,Gabon,1,1,0,0,,,,0.449,0.0,0.0,,
2020-03-15,Gabon,1,0,0,0,,,,0.449,0.0,0.0,,
2020-03-16,Gabon,1,0,0,0,,,,0.449,0.0,0.0,,
2020-03-17,Gabon,1,0,0,0,,,,0.449,0.0,0.0,,
2020-03-18,Gabon,1,0,0,0,,,,0.449,0.0,0.0,,
2020-03-19,Gabon,3,2,0,0,,,,1.348,0.0,0.0,,
2020-03-20,Gabon,3,0,0,0,,,,1.348,0.0,0.0,,
2020-03-21,Gabon,3,0,1,1,,,,1.348,0.449,0.449,,
2020-03-22,Gabon,3,0,1,0,,,,1.348,0.449,0.0,,
2020-03-23,Gabon,6,3,1,0,,,,2.696,0.449,0.0,,
2020-03-24,Gabon,6,0,1,0,,,,2.696,0.449,0.0,,
2020-03-25,Gabon,6,0,1,0,,,,2.696,0.449,0.0,,
2020-03-26,Gabon,6,0,1,0,,,,2.696,0.449,0.0,,
2020-03-27,Gabon,7,1,1,0,,,,3.145,0.449,0.0,,
2020-03-28,Gabon,7,0,1,0,,,,3.145,0.449,0.0,,
2020-03-29,Gabon,7,0,1,0,,,,3.145,0.449,0.0,,
2020-03-30,Gabon,7,0,1,0,,,,3.145,0.449,0.0,,
2020-03-31,Gabon,7,0,1,0,,,,3.145,0.449,0.0,,
2020-04-01,Gabon,16,9,1,0,,,,7.189,0.449,0.0,,
2020-04-02,Gabon,18,2,1,0,,,,8.087,0.449,0.0,,
2020-04-03,Gabon,18,0,1,0,,,,8.087,0.449,0.0,,
2020-04-04,Gabon,21,3,1,0,,,,9.435,0.449,0.0,,
2020-04-05,Gabon,21,0,1,0,,,,9.435,0.449,0.0,,
2020-04-06,Gabon,21,0,1,0,,,,9.435,0.449,0.0,,
2020-04-07,Gabon,21,0,1,0,,,,9.435,0.449,0.0,,
2020-04-08,Gabon,30,9,1,0,,,,13.479000000000001,0.449,0.0,,
2020-04-09,Gabon,33,3,1,0,,,,14.827,0.449,0.0,,
2020-04-10,Gabon,44,11,1,0,,,,19.769000000000002,0.449,0.0,,
2020-04-11,Gabon,46,2,1,0,,,,20.666999999999998,0.449,0.0,,
2020-04-12,Gabon,49,3,1,0,,,,22.015,0.449,0.0,,
2020-04-13,Gabon,57,8,1,0,,,,25.61,0.449,0.0,,
2020-04-14,Gabon,57,0,1,0,,,,25.61,0.449,0.0,,
2020-04-15,Gabon,75,18,1,0,,,,33.696999999999996,0.449,0.0,,
2020-04-16,Gabon,87,12,1,0,,,,39.088,0.449,0.0,,
2020-04-17,Gabon,95,8,1,0,,,,42.683,0.449,0.0,,
2020-04-18,Gabon,108,13,1,0,,,,48.523,0.449,0.0,,
2020-04-19,Gabon,109,1,1,0,,,,48.973,0.449,0.0,,
2020-04-20,Gabon,109,0,1,0,,,,48.973,0.449,0.0,,
2020-04-21,Gabon,120,11,1,0,,,,53.915,0.449,0.0,,
