Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-18,1,1,0,0,,,,0.414,0.0,0.0,
2020-03-19,1,0,0,0,,,,0.414,0.0,0.0,
2020-03-20,1,0,0,0,,,,0.414,0.0,0.0,
2020-03-21,1,0,0,0,,,,0.414,0.0,0.0,
2020-03-22,1,0,0,0,,,,0.414,0.0,0.0,
2020-03-23,1,0,0,0,,,,0.414,0.0,0.0,
2020-03-24,2,1,1,1,,,,0.828,0.414,0.414,
2020-03-25,3,1,1,0,,,,1.2409999999999999,0.414,0.0,
2020-03-26,3,0,1,0,,,,1.2409999999999999,0.414,0.0,
2020-03-27,3,0,1,0,,,,1.2409999999999999,0.414,0.0,
2020-03-28,3,0,1,0,,,,1.2409999999999999,0.414,0.0,
2020-03-29,3,0,1,0,,,,1.2409999999999999,0.414,0.0,
2020-03-30,3,0,1,0,,,,1.2409999999999999,0.414,0.0,
2020-03-31,4,1,1,0,,,,1.655,0.414,0.0,
2020-04-01,4,0,1,0,,,,1.655,0.414,0.0,
2020-04-02,4,0,1,0,,,,1.655,0.414,0.0,
2020-04-03,4,0,1,0,,,,1.655,0.414,0.0,
2020-04-04,4,0,1,0,,,,1.655,0.414,0.0,
2020-04-05,4,0,1,0,,,,1.655,0.414,0.0,
2020-04-06,4,0,1,0,,,,1.655,0.414,0.0,
2020-04-07,4,0,1,0,,,,1.655,0.414,0.0,
2020-04-08,4,0,1,0,,,,1.655,0.414,0.0,
2020-04-09,4,0,1,0,,,,1.655,0.414,0.0,
2020-04-10,4,0,1,0,,,,1.655,0.414,0.0,
2020-04-11,4,0,1,0,,,,1.655,0.414,0.0,
2020-04-12,9,5,1,0,,,,3.7239999999999998,0.414,0.0,
2020-04-13,9,0,1,0,,,,3.7239999999999998,0.414,0.0,
2020-04-14,9,0,1,0,,,,3.7239999999999998,0.414,0.0,
2020-04-15,9,0,1,0,,,,3.7239999999999998,0.414,0.0,
2020-04-16,9,0,1,0,,,,3.7239999999999998,0.414,0.0,
2020-04-17,9,0,1,0,,,,3.7239999999999998,0.414,0.0,
2020-04-18,9,0,1,0,,,,3.7239999999999998,0.414,0.0,
2020-04-19,9,0,1,0,,,,3.7239999999999998,0.414,0.0,
2020-04-20,10,1,1,0,,,,4.138,0.414,0.0,
2020-04-21,10,0,1,0,,,,4.138,0.414,0.0,
2020-04-22,10,0,1,0,,,,4.138,0.414,0.0,
2020-04-23,10,0,1,0,,,,4.138,0.414,0.0,
2020-04-24,10,0,1,0,,,,4.138,0.414,0.0,
2020-04-25,10,0,1,0,,,,4.138,0.414,0.0,
2020-04-26,10,0,1,0,,,,4.138,0.414,0.0,
2020-04-27,10,0,1,0,,,,4.138,0.414,0.0,
2020-04-28,10,0,1,0,,,,4.138,0.414,0.0,
2020-04-29,10,0,1,0,,,,4.138,0.414,0.0,
