Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-18,Gambia,1,1,0,0,,,,0.414,0.0,0.0,,
2020-03-19,Gambia,1,0,0,0,,,,0.414,0.0,0.0,,
2020-03-20,Gambia,1,0,0,0,,,,0.414,0.0,0.0,,
2020-03-21,Gambia,1,0,0,0,,,,0.414,0.0,0.0,,
2020-03-22,Gambia,1,0,0,0,,,,0.414,0.0,0.0,,
2020-03-23,Gambia,1,0,0,0,,,,0.414,0.0,0.0,,
2020-03-24,Gambia,2,1,1,1,,,,0.828,0.414,0.414,,
2020-03-25,Gambia,3,1,1,0,,,,1.2409999999999999,0.414,0.0,,
2020-03-26,Gambia,3,0,1,0,,,,1.2409999999999999,0.414,0.0,,
2020-03-27,Gambia,3,0,1,0,,,,1.2409999999999999,0.414,0.0,,
2020-03-28,Gambia,3,0,1,0,,,,1.2409999999999999,0.414,0.0,,
2020-03-29,Gambia,3,0,1,0,,,,1.2409999999999999,0.414,0.0,,
2020-03-30,Gambia,3,0,1,0,,,,1.2409999999999999,0.414,0.0,,
2020-03-31,Gambia,4,1,1,0,,,,1.655,0.414,0.0,,
2020-04-01,Gambia,4,0,1,0,,,,1.655,0.414,0.0,,
2020-04-02,Gambia,4,0,1,0,,,,1.655,0.414,0.0,,
2020-04-03,Gambia,4,0,1,0,,,,1.655,0.414,0.0,,
2020-04-04,Gambia,4,0,1,0,,,,1.655,0.414,0.0,,
2020-04-05,Gambia,4,0,1,0,,,,1.655,0.414,0.0,,
2020-04-06,Gambia,4,0,1,0,,,,1.655,0.414,0.0,,
2020-04-07,Gambia,4,0,1,0,,,,1.655,0.414,0.0,,
2020-04-08,Gambia,4,0,1,0,,,,1.655,0.414,0.0,,
2020-04-09,Gambia,4,0,1,0,,,,1.655,0.414,0.0,,
2020-04-10,Gambia,4,0,1,0,,,,1.655,0.414,0.0,,
2020-04-11,Gambia,4,0,1,0,,,,1.655,0.414,0.0,,
2020-04-12,Gambia,9,5,1,0,,,,3.7239999999999998,0.414,0.0,,
2020-04-13,Gambia,9,0,1,0,,,,3.7239999999999998,0.414,0.0,,
2020-04-14,Gambia,9,0,1,0,,,,3.7239999999999998,0.414,0.0,,
2020-04-15,Gambia,9,0,1,0,,,,3.7239999999999998,0.414,0.0,,
2020-04-16,Gambia,9,0,1,0,,,,3.7239999999999998,0.414,0.0,,
2020-04-17,Gambia,9,0,1,0,,,,3.7239999999999998,0.414,0.0,,
2020-04-18,Gambia,9,0,1,0,,,,3.7239999999999998,0.414,0.0,,
2020-04-19,Gambia,9,0,1,0,,,,3.7239999999999998,0.414,0.0,,
2020-04-20,Gambia,10,1,1,0,,,,4.138,0.414,0.0,,
2020-04-21,Gambia,10,0,1,0,,,,4.138,0.414,0.0,,
