Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-02,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-03,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-04,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-05,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-06,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-07,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-08,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-09,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-10,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-11,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-12,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-13,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-14,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-15,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-16,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-17,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-18,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-19,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-20,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-21,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-22,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-23,Georgia,0,0,0,0,,,,0.0,0.0,0.0,,
