Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,1,1,0,0,,,,0.012,0.0,0.0,
2020-01-29,4,3,0,0,,,,0.048,0.0,0.0,
2020-01-30,4,0,0,0,,,,0.048,0.0,0.0,
2020-01-31,5,1,0,0,,,,0.06,0.0,0.0,
2020-02-01,7,2,0,0,,,,0.084,0.0,0.0,
2020-02-02,8,1,0,0,,,,0.095,0.0,0.0,
2020-02-03,9,1,0,0,,,,0.107,0.0,0.0,
2020-02-04,11,2,0,0,,,,0.131,0.0,0.0,
2020-02-05,11,0,0,0,,,,0.131,0.0,0.0,
2020-02-06,11,0,0,0,,,,0.131,0.0,0.0,
2020-02-07,12,1,0,0,,,,0.14300000000000002,0.0,0.0,
2020-02-08,13,1,0,0,,,,0.155,0.0,0.0,
2020-02-09,13,0,0,0,,,,0.155,0.0,0.0,
2020-02-10,13,0,0,0,,,,0.155,0.0,0.0,
2020-02-11,13,0,0,0,,,,0.155,0.0,0.0,
2020-02-12,15,2,0,0,,,,0.179,0.0,0.0,
2020-02-13,15,0,0,0,,,,0.179,0.0,0.0,
2020-02-14,15,0,0,0,,,,0.179,0.0,0.0,
2020-02-15,15,0,0,0,,,,0.179,0.0,0.0,
2020-02-16,15,0,0,0,,,,0.179,0.0,0.0,
2020-02-17,15,0,0,0,,,,0.179,0.0,0.0,
2020-02-18,15,0,0,0,,,,0.179,0.0,0.0,
2020-02-19,15,0,0,0,,,,0.179,0.0,0.0,
2020-02-20,15,0,0,0,,,,0.179,0.0,0.0,
2020-02-21,15,0,0,0,,,,0.179,0.0,0.0,
2020-02-22,15,0,0,0,,,,0.179,0.0,0.0,
2020-02-23,15,0,0,0,,,,0.179,0.0,0.0,
2020-02-24,15,0,0,0,,,,0.179,0.0,0.0,
2020-02-25,15,0,0,0,,,,0.179,0.0,0.0,
2020-02-26,17,2,0,0,,,,0.203,0.0,0.0,
2020-02-27,21,4,0,0,,,,0.251,0.0,0.0,
2020-02-28,47,26,0,0,,,,0.561,0.0,0.0,
2020-02-29,57,10,0,0,,,,0.68,0.0,0.0,
2020-03-01,111,54,0,0,,,,1.325,0.0,0.0,
2020-03-02,129,18,0,0,,,,1.54,0.0,0.0,
2020-03-03,157,28,0,0,,,,1.874,0.0,0.0,
2020-03-04,196,39,0,0,,,,2.339,0.0,0.0,
2020-03-05,262,66,0,0,,,,3.127,0.0,0.0,
2020-03-06,400,138,0,0,,,,4.774,0.0,0.0,
2020-03-07,684,284,0,0,,,,8.164,0.0,0.0,
2020-03-08,847,163,0,0,,,,10.109,0.0,0.0,124716.0
2020-03-09,902,55,0,0,,,,10.765999999999998,0.0,0.0,
2020-03-10,1139,237,2,2,,,,13.594000000000001,0.024,0.024,
2020-03-11,1296,157,2,0,,,,15.468,0.024,0.0,
2020-03-12,1567,271,3,1,,,,18.703,0.036000000000000004,0.012,
2020-03-13,2369,802,5,2,,,,28.275,0.06,0.024,
2020-03-14,3062,693,5,0,,,,36.546,0.06,0.0,
2020-03-15,3795,733,8,3,,,,45.295,0.095,0.036000000000000004,252173.0
2020-03-16,4838,1043,12,4,,,,57.744,0.14300000000000002,0.048,
2020-03-17,6012,1174,13,1,,,,71.756,0.155,0.012,
2020-03-18,7156,1144,13,0,,,,85.41,0.155,0.0,
2020-03-19,8198,1042,13,0,,,,97.84700000000001,0.155,0.0,
2020-03-20,14138,5940,43,30,,,,168.74400000000003,0.513,0.358,
2020-03-21,18187,4049,45,2,,,,217.07,0.537,0.024,
2020-03-22,21463,3276,67,22,,,,256.171,0.8,0.263,600792.0
2020-03-23,24774,3311,94,27,,,,295.689,1.122,0.322,
2020-03-24,29212,4438,126,32,,,,348.659,1.504,0.382,
2020-03-25,31554,2342,149,23,,,,376.61199999999997,1.778,0.275,
2020-03-26,36508,4954,198,49,,,,435.74,2.363,0.585,
2020-03-27,42288,5780,253,55,,,,504.727,3.02,0.6559999999999999,
2020-03-28,48582,6294,325,72,,,,579.849,3.8789999999999996,0.8590000000000001,
