Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-13,2,2,0,0,,,,0.064,0.0,0.0,
2020-03-15,2,0,0,0,,,,0.064,0.0,0.0,
2020-03-16,2,0,0,0,,,,0.064,0.0,0.0,
2020-03-17,6,4,0,0,,,,0.193,0.0,0.0,
2020-03-18,6,0,0,0,,,,0.193,0.0,0.0,
2020-03-19,7,1,0,0,,,,0.225,0.0,0.0,
2020-03-20,11,4,0,0,,,,0.354,0.0,0.0,
2020-03-21,16,5,0,0,,,,0.515,0.0,0.0,
2020-03-22,21,5,1,1,,,,0.6759999999999999,0.032,0.032,
2020-03-23,24,3,1,0,,,,0.772,0.032,0.0,
2020-03-24,27,3,2,1,,,,0.8690000000000001,0.064,0.032,
2020-03-25,53,26,2,0,,,,1.706,0.064,0.0,
2020-03-26,68,15,3,1,,,,2.188,0.09699999999999999,0.032,
2020-03-27,132,64,3,0,,,,4.248,0.09699999999999999,0.0,
2020-03-28,137,5,3,0,,,,4.409,0.09699999999999999,0.0,2519.0
2020-03-29,141,4,5,2,,,,4.538,0.161,0.064,
2020-03-30,152,11,5,0,,,,4.8919999999999995,0.161,0.0,
2020-03-31,152,0,5,0,,,,4.8919999999999995,0.161,0.0,
2020-04-01,152,0,5,0,,,,4.8919999999999995,0.161,0.0,
2020-04-02,195,43,5,0,,,,6.276,0.161,0.0,
2020-04-03,204,9,5,0,,,,6.565,0.161,0.0,
2020-04-04,205,1,5,0,,,,6.597,0.161,0.0,
2020-04-05,214,9,5,0,,,,6.8870000000000005,0.161,0.0,
2020-04-06,214,0,5,0,,,,6.8870000000000005,0.161,0.0,
2020-04-07,287,73,5,0,,,,9.236,0.161,0.0,
2020-04-08,287,0,5,0,,,,9.236,0.161,0.0,
2020-04-09,313,26,6,1,,,,10.073,0.193,0.032,
2020-04-10,378,65,6,0,,,,12.165,0.193,0.0,27346.0
2020-04-11,378,0,6,0,,,,12.165,0.193,0.0,37954.0
2020-04-12,408,30,8,2,,,,13.13,0.257,0.064,
2020-04-13,566,158,8,0,,,,18.215,0.257,0.0,44421.0
2020-04-14,566,0,8,0,,,,18.215,0.257,0.0,50719.0
2020-04-15,636,70,8,0,,,,20.468,0.257,0.0,
2020-04-16,641,5,8,0,,,,20.629,0.257,0.0,
2020-04-17,641,0,8,0,,,,20.629,0.257,0.0,
2020-04-18,641,0,8,0,,,,20.629,0.257,0.0,60916.0
2020-04-19,834,193,9,1,,,,26.84,0.29,0.032,68591.0
2020-04-20,1042,208,9,0,,,,33.534,0.29,0.0,
2020-04-21,1042,0,9,0,,,,33.534,0.29,0.0,
2020-04-22,1042,0,9,0,,,,33.534,0.29,0.0,
2020-04-23,1154,112,9,0,,,,37.138000000000005,0.29,0.0,
2020-04-24,1154,0,9,0,,,,37.138000000000005,0.29,0.0,
2020-04-25,1279,125,10,1,,,,41.161,0.322,0.032,
2020-04-26,1279,0,10,0,,,,41.161,0.322,0.0,
2020-04-27,1550,271,11,1,,,,49.883,0.354,0.032,
2020-04-28,1550,0,11,0,,,,49.883,0.354,0.0,
2020-04-29,1671,121,16,5,,,,53.777,0.515,0.161,
