Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-13,Ghana,2,2,0,0,,,,0.064,0.0,0.0,,
2020-03-15,Ghana,2,0,0,0,,,,0.064,0.0,0.0,,
2020-03-16,Ghana,2,0,0,0,,,,0.064,0.0,0.0,,
2020-03-17,Ghana,6,4,0,0,,,,0.193,0.0,0.0,,
2020-03-18,Ghana,6,0,0,0,,,,0.193,0.0,0.0,,
2020-03-19,Ghana,7,1,0,0,,,,0.225,0.0,0.0,,
2020-03-20,Ghana,11,4,0,0,,,,0.354,0.0,0.0,,
2020-03-21,Ghana,16,5,0,0,,,,0.515,0.0,0.0,,
2020-03-22,Ghana,21,5,1,1,,,,0.6759999999999999,0.032,0.032,,
2020-03-23,Ghana,24,3,1,0,,,,0.772,0.032,0.0,,
2020-03-24,Ghana,27,3,2,1,,,,0.8690000000000001,0.064,0.032,,
2020-03-25,Ghana,53,26,2,0,,,,1.706,0.064,0.0,,
2020-03-26,Ghana,68,15,3,1,,,,2.188,0.09699999999999999,0.032,,
2020-03-27,Ghana,132,64,3,0,,,,4.248,0.09699999999999999,0.0,,
2020-03-28,Ghana,137,5,3,0,,,,4.409,0.09699999999999999,0.0,2519.0,
2020-03-29,Ghana,141,4,5,2,,,,4.538,0.161,0.064,,
2020-03-30,Ghana,152,11,5,0,,,,4.8919999999999995,0.161,0.0,,
2020-03-31,Ghana,152,0,5,0,,,,4.8919999999999995,0.161,0.0,,
2020-04-01,Ghana,152,0,5,0,,,,4.8919999999999995,0.161,0.0,,
2020-04-02,Ghana,195,43,5,0,,,,6.276,0.161,0.0,,
2020-04-03,Ghana,204,9,5,0,,,,6.565,0.161,0.0,,
2020-04-04,Ghana,205,1,5,0,,,,6.597,0.161,0.0,,
2020-04-05,Ghana,214,9,5,0,,,,6.8870000000000005,0.161,0.0,,
2020-04-06,Ghana,214,0,5,0,,,,6.8870000000000005,0.161,0.0,,
2020-04-07,Ghana,287,73,5,0,,,,9.236,0.161,0.0,,
2020-04-08,Ghana,287,0,5,0,,,,9.236,0.161,0.0,,
2020-04-09,Ghana,313,26,6,1,,,,10.073,0.193,0.032,,
2020-04-10,Ghana,378,65,6,0,,,,12.165,0.193,0.0,27346.0,
2020-04-11,Ghana,378,0,6,0,,,,12.165,0.193,0.0,37954.0,
2020-04-12,Ghana,408,30,8,2,,,,13.13,0.257,0.064,,
2020-04-13,Ghana,566,158,8,0,,,,18.215,0.257,0.0,44421.0,
2020-04-14,Ghana,566,0,8,0,,,,18.215,0.257,0.0,50719.0,
2020-04-15,Ghana,636,70,8,0,,,,20.468,0.257,0.0,,
2020-04-16,Ghana,641,5,8,0,,,,20.629,0.257,0.0,,
2020-04-17,Ghana,641,0,8,0,,,,20.629,0.257,0.0,,
2020-04-18,Ghana,641,0,8,0,,,,20.629,0.257,0.0,60916.0,
2020-04-19,Ghana,834,193,9,1,,,,26.84,0.29,0.032,68591.0,
2020-04-20,Ghana,1042,208,9,0,,,,33.534,0.29,0.0,,
2020-04-21,Ghana,1042,0,9,0,,,,33.534,0.29,0.0,,
