Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-20,10,10,0,0,,,,296.815,0.0,0.0,
2020-03-21,10,0,0,0,,,,296.815,0.0,0.0,
2020-03-22,10,0,0,0,,,,296.815,0.0,0.0,
2020-03-23,15,5,0,0,,,,445.223,0.0,0.0,
2020-03-24,15,0,0,0,,,,445.223,0.0,0.0,
2020-03-25,15,0,0,0,,,,445.223,0.0,0.0,
2020-03-26,26,11,0,0,,,,771.7189999999999,0.0,0.0,
2020-03-27,35,9,0,0,,,,1038.853,0.0,0.0,
2020-03-28,55,20,0,0,,,,1632.483,0.0,0.0,
2020-03-29,56,1,0,0,,,,1662.165,0.0,0.0,
2020-03-30,65,9,0,0,,,,1929.299,0.0,0.0,
2020-03-31,69,4,0,0,,,,2048.025,0.0,0.0,
2020-04-01,69,0,0,0,,,,2048.025,0.0,0.0,
2020-04-02,69,0,0,0,,,,2048.025,0.0,0.0,
2020-04-03,88,19,0,0,,,,2611.974,0.0,0.0,
2020-04-04,95,7,0,0,,,,2819.744,0.0,0.0,
2020-04-05,98,3,0,0,,,,2908.789,0.0,0.0,
2020-04-06,103,5,0,0,,,,3057.196,0.0,0.0,
2020-04-07,109,6,0,0,,,,3235.285,0.0,0.0,
2020-04-08,113,4,0,0,,,,3354.011,0.0,0.0,
2020-04-09,120,7,0,0,,,,3561.782,0.0,0.0,
2020-04-10,123,3,0,0,,,,3650.827,0.0,0.0,
2020-04-11,127,4,0,0,,,,3769.553,0.0,0.0,
2020-04-12,129,2,0,0,,,,3828.9159999999997,0.0,0.0,
2020-04-13,129,0,0,0,,,,3828.9159999999997,0.0,0.0,
2020-04-14,129,0,0,0,,,,3828.9159999999997,0.0,0.0,
2020-04-15,129,0,0,0,,,,3828.9159999999997,0.0,0.0,
2020-04-16,131,2,0,0,,,,3888.2790000000005,0.0,0.0,
2020-04-17,133,2,0,0,,,,3947.6420000000003,0.0,0.0,
2020-04-18,133,0,0,0,,,,3947.6420000000003,0.0,0.0,
2020-04-19,133,0,0,0,,,,3947.6420000000003,0.0,0.0,
2020-04-20,133,0,0,0,,,,3947.6420000000003,0.0,0.0,
2020-04-21,133,0,0,0,,,,3947.6420000000003,0.0,0.0,
2020-04-22,133,0,0,0,,,,3947.6420000000003,0.0,0.0,
2020-04-23,133,0,0,0,,,,3947.6420000000003,0.0,0.0,
2020-04-24,133,0,0,0,,,,3947.6420000000003,0.0,0.0,
2020-04-25,133,0,0,0,,,,3947.6420000000003,0.0,0.0,
2020-04-26,136,3,0,0,,,,4036.6859999999997,0.0,0.0,
2020-04-27,141,5,0,0,,,,4185.094,0.0,0.0,
2020-04-28,141,0,0,0,,,,4185.094,0.0,0.0,
2020-04-29,141,0,0,0,,,,4185.094,0.0,0.0,
