Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-20,Gibraltar,10,10,0,0,,,,296.815,0.0,0.0,,
2020-03-21,Gibraltar,10,0,0,0,,,,296.815,0.0,0.0,,
2020-03-22,Gibraltar,10,0,0,0,,,,296.815,0.0,0.0,,
2020-03-23,Gibraltar,15,5,0,0,,,,445.223,0.0,0.0,,
2020-03-24,Gibraltar,15,0,0,0,,,,445.223,0.0,0.0,,
2020-03-25,Gibraltar,15,0,0,0,,,,445.223,0.0,0.0,,
2020-03-26,Gibraltar,26,11,0,0,,,,771.7189999999999,0.0,0.0,,
2020-03-27,Gibraltar,35,9,0,0,,,,1038.853,0.0,0.0,,
2020-03-28,Gibraltar,55,20,0,0,,,,1632.483,0.0,0.0,,
2020-03-29,Gibraltar,56,1,0,0,,,,1662.165,0.0,0.0,,
2020-03-30,Gibraltar,65,9,0,0,,,,1929.299,0.0,0.0,,
2020-03-31,Gibraltar,69,4,0,0,,,,2048.025,0.0,0.0,,
2020-04-01,Gibraltar,69,0,0,0,,,,2048.025,0.0,0.0,,
2020-04-02,Gibraltar,69,0,0,0,,,,2048.025,0.0,0.0,,
2020-04-03,Gibraltar,88,19,0,0,,,,2611.974,0.0,0.0,,
2020-04-04,Gibraltar,95,7,0,0,,,,2819.744,0.0,0.0,,
2020-04-05,Gibraltar,98,3,0,0,,,,2908.789,0.0,0.0,,
2020-04-06,Gibraltar,103,5,0,0,,,,3057.196,0.0,0.0,,
2020-04-07,Gibraltar,109,6,0,0,,,,3235.285,0.0,0.0,,
2020-04-08,Gibraltar,113,4,0,0,,,,3354.011,0.0,0.0,,
2020-04-09,Gibraltar,120,7,0,0,,,,3561.782,0.0,0.0,,
2020-04-10,Gibraltar,123,3,0,0,,,,3650.827,0.0,0.0,,
2020-04-11,Gibraltar,127,4,0,0,,,,3769.553,0.0,0.0,,
2020-04-12,Gibraltar,129,2,0,0,,,,3828.9159999999997,0.0,0.0,,
2020-04-13,Gibraltar,129,0,4,4,,,,3828.9159999999997,118.726,118.726,,
2020-04-14,Gibraltar,129,0,4,0,,,,3828.9159999999997,118.726,0.0,,
2020-04-15,Gibraltar,129,0,4,0,,,,3828.9159999999997,118.726,0.0,,
2020-04-16,Gibraltar,131,2,4,0,,,,3888.2790000000005,118.726,0.0,,
2020-04-17,Gibraltar,133,2,4,0,,,,3947.6420000000003,118.726,0.0,,
2020-04-18,Gibraltar,133,0,4,0,,,,3947.6420000000003,118.726,0.0,,
2020-04-19,Gibraltar,133,0,4,0,,,,3947.6420000000003,118.726,0.0,,
2020-04-20,Gibraltar,133,0,4,0,,,,3947.6420000000003,118.726,0.0,,
2020-04-21,Gibraltar,133,0,4,0,,,,3947.6420000000003,118.726,0.0,,
