Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-02,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-03,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-04,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-05,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-06,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-07,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-08,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-09,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-10,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-11,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-12,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-13,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-14,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-15,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-16,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-17,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-18,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-19,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-20,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-21,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-22,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-23,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-24,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-25,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-26,Greece,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-27,Greece,1,1,0,0,,,,0.096,0.0,0.0,,
2020-02-28,Greece,3,2,0,0,,,,0.28800000000000003,0.0,0.0,,
2020-02-29,Greece,4,1,0,0,,,,0.384,0.0,0.0,,
2020-03-01,Greece,7,3,0,0,,,,0.672,0.0,0.0,,
2020-03-02,Greece,7,0,0,0,,,,0.672,0.0,0.0,,
2020-03-05,Greece,10,3,0,0,,,,0.9590000000000001,0.0,0.0,,
2020-03-06,Greece,32,22,0,0,,,,3.07,0.0,0.0,,
2020-03-07,Greece,45,13,0,0,,,,4.317,0.0,0.0,,
2020-03-08,Greece,66,21,0,0,,,,6.332000000000001,0.0,0.0,,
