Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-20,Greenland,2,2,0,0,,,,35.229,0.0,0.0,,
2020-03-21,Greenland,2,0,0,0,,,,35.229,0.0,0.0,,
2020-03-22,Greenland,2,0,0,0,,,,35.229,0.0,0.0,,
2020-03-23,Greenland,2,0,0,0,,,,35.229,0.0,0.0,,
2020-03-24,Greenland,4,2,0,0,,,,70.457,0.0,0.0,,
2020-03-25,Greenland,4,0,0,0,,,,70.457,0.0,0.0,,
2020-03-26,Greenland,5,1,0,0,,,,88.072,0.0,0.0,,
2020-03-27,Greenland,6,1,0,0,,,,105.686,0.0,0.0,,
2020-03-28,Greenland,9,3,0,0,,,,158.529,0.0,0.0,,
2020-03-29,Greenland,10,1,0,0,,,,176.143,0.0,0.0,,
2020-03-30,Greenland,10,0,0,0,,,,176.143,0.0,0.0,,
2020-03-31,Greenland,10,0,0,0,,,,176.143,0.0,0.0,,
2020-04-01,Greenland,10,0,0,0,,,,176.143,0.0,0.0,,
2020-04-02,Greenland,10,0,0,0,,,,176.143,0.0,0.0,,
2020-04-03,Greenland,10,0,0,0,,,,176.143,0.0,0.0,,
2020-04-04,Greenland,10,0,0,0,,,,176.143,0.0,0.0,,
2020-04-05,Greenland,10,0,0,0,,,,176.143,0.0,0.0,,
2020-04-06,Greenland,11,1,0,0,,,,193.757,0.0,0.0,,
2020-04-07,Greenland,11,0,0,0,,,,193.757,0.0,0.0,,
2020-04-08,Greenland,11,0,0,0,,,,193.757,0.0,0.0,,
2020-04-09,Greenland,11,0,0,0,,,,193.757,0.0,0.0,,
2020-04-10,Greenland,11,0,0,0,,,,193.757,0.0,0.0,,
2020-04-11,Greenland,11,0,0,0,,,,193.757,0.0,0.0,,
2020-04-12,Greenland,11,0,0,0,,,,193.757,0.0,0.0,,
2020-04-13,Greenland,11,0,0,0,,,,193.757,0.0,0.0,,
2020-04-14,Greenland,11,0,0,0,,,,193.757,0.0,0.0,,
2020-04-15,Greenland,11,0,0,0,,,,193.757,0.0,0.0,,
2020-04-16,Greenland,11,0,0,0,,,,193.757,0.0,0.0,,
2020-04-17,Greenland,11,0,0,0,,,,193.757,0.0,0.0,,
2020-04-18,Greenland,11,0,0,0,,,,193.757,0.0,0.0,,
2020-04-19,Greenland,11,0,0,0,,,,193.757,0.0,0.0,,
2020-04-20,Greenland,11,0,0,0,,,,193.757,0.0,0.0,,
2020-04-21,Greenland,11,0,0,0,,,,193.757,0.0,0.0,,
