Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-19,Guam,3,3,0,0,,,,17.774,0.0,0.0,,
2020-03-20,Guam,12,9,0,0,,,,71.097,0.0,0.0,,
2020-03-21,Guam,14,2,0,0,,,,82.947,0.0,0.0,,
2020-03-22,Guam,15,1,1,1,,,,88.87200000000001,5.925,5.925,,
2020-03-23,Guam,27,12,1,0,,,,159.969,5.925,0.0,,
2020-03-24,Guam,29,2,1,0,,,,171.81799999999998,5.925,0.0,,
2020-03-25,Guam,32,3,1,0,,,,189.593,5.925,0.0,,
2020-03-26,Guam,37,5,1,0,,,,219.21599999999998,5.925,0.0,,
2020-03-27,Guam,49,12,1,0,,,,290.314,5.925,0.0,,
2020-03-28,Guam,51,2,1,0,,,,302.163,5.925,0.0,,
2020-03-29,Guam,55,4,1,0,,,,325.862,5.925,0.0,,
2020-03-30,Guam,56,1,1,0,,,,331.787,5.925,0.0,,
2020-03-31,Guam,60,4,1,0,,,,355.486,5.925,0.0,,
2020-04-01,Guam,69,9,3,2,,,,408.809,17.774,11.85,,
2020-04-02,Guam,77,8,3,0,,,,456.207,17.774,0.0,,
2020-04-03,Guam,82,5,3,0,,,,485.83099999999996,17.774,0.0,,
2020-04-04,Guam,87,5,4,1,,,,515.455,23.699,5.925,,
2020-04-05,Guam,93,6,4,0,,,,551.003,23.699,0.0,,
2020-04-06,Guam,110,17,4,0,,,,651.724,23.699,0.0,,
2020-04-07,Guam,112,2,4,0,,,,663.574,23.699,0.0,,
2020-04-08,Guam,121,9,4,0,,,,716.8969999999999,23.699,0.0,,
2020-04-09,Guam,125,4,4,0,,,,740.596,23.699,0.0,,
2020-04-10,Guam,128,3,4,0,,,,758.37,23.699,0.0,,
2020-04-11,Guam,130,2,4,0,,,,770.22,23.699,0.0,,
2020-04-12,Guam,133,3,5,1,,,,787.9939999999999,29.624000000000002,5.925,,
2020-04-13,Guam,133,0,5,0,,,,787.9939999999999,29.624000000000002,0.0,,
2020-04-14,Guam,134,1,5,0,,,,793.919,29.624000000000002,0.0,,
2020-04-15,Guam,135,1,5,0,,,,799.8439999999999,29.624000000000002,0.0,,
2020-04-16,Guam,135,0,5,0,,,,799.8439999999999,29.624000000000002,0.0,,
2020-04-17,Guam,135,0,5,0,,,,799.8439999999999,29.624000000000002,0.0,,
2020-04-18,Guam,136,1,5,0,,,,805.768,29.624000000000002,0.0,,
2020-04-19,Guam,136,0,5,0,,,,805.768,29.624000000000002,0.0,,
2020-04-20,Guam,136,0,5,0,,,,805.768,29.624000000000002,0.0,,
2020-04-21,Guam,136,0,5,0,,,,805.768,29.624000000000002,0.0,,
