Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-27,2,2,0,0,,,,1.016,0.0,0.0,
2020-03-28,2,0,0,0,,,,1.016,0.0,0.0,
2020-03-29,2,0,0,0,,,,1.016,0.0,0.0,
2020-03-30,2,0,0,0,,,,1.016,0.0,0.0,
2020-03-31,2,0,0,0,,,,1.016,0.0,0.0,
2020-04-01,8,6,0,0,,,,4.065,0.0,0.0,
2020-04-02,9,1,0,0,,,,4.573,0.0,0.0,
2020-04-03,9,0,0,0,,,,4.573,0.0,0.0,
2020-04-04,15,6,0,0,,,,7.622000000000001,0.0,0.0,
2020-04-05,18,3,0,0,,,,9.146,0.0,0.0,
2020-04-06,18,0,0,0,,,,9.146,0.0,0.0,
2020-04-07,33,15,0,0,,,,16.768,0.0,0.0,
2020-04-08,33,0,0,0,,,,16.768,0.0,0.0,
2020-04-09,33,0,0,0,,,,16.768,0.0,0.0,
2020-04-10,35,2,0,0,,,,17.785,0.0,0.0,
2020-04-11,35,0,0,0,,,,17.785,0.0,0.0,
2020-04-12,38,3,0,0,,,,19.309,0.0,0.0,
2020-04-13,39,1,0,0,,,,19.817,0.0,0.0,
2020-04-14,39,0,0,0,,,,19.817,0.0,0.0,
2020-04-15,40,1,0,0,,,,20.325,0.0,0.0,
2020-04-16,43,3,0,0,,,,21.85,0.0,0.0,
2020-04-17,46,3,0,0,,,,23.374000000000002,0.0,0.0,
2020-04-18,50,4,0,0,,,,25.406999999999996,0.0,0.0,
2020-04-19,50,0,0,0,,,,25.406999999999996,0.0,0.0,
2020-04-20,50,0,0,0,,,,25.406999999999996,0.0,0.0,
2020-04-21,50,0,0,0,,,,25.406999999999996,0.0,0.0,
2020-04-22,50,0,0,0,,,,25.406999999999996,0.0,0.0,
2020-04-23,50,0,0,0,,,,25.406999999999996,0.0,0.0,
2020-04-24,52,2,0,0,,,,26.423000000000002,0.0,0.0,
2020-04-25,52,0,0,0,,,,26.423000000000002,0.0,0.0,
2020-04-26,52,0,0,0,,,,26.423000000000002,0.0,0.0,
2020-04-27,53,1,1,1,,,,26.930999999999997,0.508,0.508,
2020-04-28,73,20,1,0,,,,37.094,0.508,0.0,
2020-04-29,73,0,1,0,,,,37.094,0.508,0.0,
