Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-27,Guinea-Bissau,2,2,0,0,,,,1.016,0.0,0.0,,
2020-03-28,Guinea-Bissau,2,0,0,0,,,,1.016,0.0,0.0,,
2020-03-29,Guinea-Bissau,2,0,0,0,,,,1.016,0.0,0.0,,
2020-03-30,Guinea-Bissau,2,0,0,0,,,,1.016,0.0,0.0,,
2020-03-31,Guinea-Bissau,2,0,0,0,,,,1.016,0.0,0.0,,
2020-04-01,Guinea-Bissau,8,6,0,0,,,,4.065,0.0,0.0,,
2020-04-02,Guinea-Bissau,9,1,0,0,,,,4.573,0.0,0.0,,
2020-04-03,Guinea-Bissau,9,0,0,0,,,,4.573,0.0,0.0,,
2020-04-04,Guinea-Bissau,15,6,0,0,,,,7.622000000000001,0.0,0.0,,
2020-04-05,Guinea-Bissau,18,3,0,0,,,,9.146,0.0,0.0,,
2020-04-06,Guinea-Bissau,18,0,0,0,,,,9.146,0.0,0.0,,
2020-04-07,Guinea-Bissau,33,15,0,0,,,,16.768,0.0,0.0,,
2020-04-08,Guinea-Bissau,33,0,0,0,,,,16.768,0.0,0.0,,
2020-04-09,Guinea-Bissau,33,0,0,0,,,,16.768,0.0,0.0,,
2020-04-10,Guinea-Bissau,35,2,0,0,,,,17.785,0.0,0.0,,
2020-04-11,Guinea-Bissau,35,0,0,0,,,,17.785,0.0,0.0,,
2020-04-12,Guinea-Bissau,38,3,0,0,,,,19.309,0.0,0.0,,
2020-04-13,Guinea-Bissau,39,1,0,0,,,,19.817,0.0,0.0,,
2020-04-14,Guinea-Bissau,39,0,0,0,,,,19.817,0.0,0.0,,
2020-04-15,Guinea-Bissau,40,1,0,0,,,,20.325,0.0,0.0,,
2020-04-16,Guinea-Bissau,43,3,0,0,,,,21.85,0.0,0.0,,
2020-04-17,Guinea-Bissau,46,3,0,0,,,,23.374000000000002,0.0,0.0,,
2020-04-18,Guinea-Bissau,50,4,0,0,,,,25.406999999999996,0.0,0.0,,
2020-04-19,Guinea-Bissau,50,0,0,0,,,,25.406999999999996,0.0,0.0,,
2020-04-20,Guinea-Bissau,50,0,0,0,,,,25.406999999999996,0.0,0.0,,
2020-04-21,Guinea-Bissau,50,0,0,0,,,,25.406999999999996,0.0,0.0,,
