Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-14,1,1,0,0,,,,0.076,0.0,0.0,
2020-03-15,1,0,0,0,,,,0.076,0.0,0.0,
2020-03-17,1,0,0,0,,,,0.076,0.0,0.0,
2020-03-18,1,0,0,0,,,,0.076,0.0,0.0,
2020-03-19,1,0,0,0,,,,0.076,0.0,0.0,
2020-03-20,1,0,0,0,,,,0.076,0.0,0.0,
2020-03-21,2,1,0,0,,,,0.152,0.0,0.0,
2020-03-22,2,0,0,0,,,,0.152,0.0,0.0,
2020-03-23,2,0,0,0,,,,0.152,0.0,0.0,
2020-03-24,2,0,0,0,,,,0.152,0.0,0.0,
2020-03-25,4,2,0,0,,,,0.305,0.0,0.0,
2020-03-26,4,0,0,0,,,,0.305,0.0,0.0,
2020-03-27,5,1,0,0,,,,0.381,0.0,0.0,
2020-03-28,5,0,0,0,,,,0.381,0.0,0.0,
2020-03-29,8,3,0,0,,,,0.609,0.0,0.0,
2020-03-30,8,0,0,0,,,,0.609,0.0,0.0,
2020-03-31,16,8,0,0,,,,1.218,0.0,0.0,
2020-04-01,16,0,0,0,,,,1.218,0.0,0.0,
2020-04-02,30,14,0,0,,,,2.2840000000000003,0.0,0.0,
2020-04-03,52,22,0,0,,,,3.96,0.0,0.0,
2020-04-04,52,0,0,0,,,,3.96,0.0,0.0,
2020-04-05,111,59,0,0,,,,8.452,0.0,0.0,
2020-04-06,121,10,0,0,,,,9.214,0.0,0.0,
2020-04-07,128,7,0,0,,,,9.747,0.0,0.0,
2020-04-08,144,16,0,0,,,,10.965,0.0,0.0,
2020-04-09,164,20,0,0,,,,12.488,0.0,0.0,
2020-04-10,194,30,0,0,,,,14.772,0.0,0.0,
2020-04-11,212,18,0,0,,,,16.143,0.0,0.0,
2020-04-12,250,38,0,0,,,,19.035999999999998,0.0,0.0,
2020-04-13,250,0,0,0,,,,19.035999999999998,0.0,0.0,
2020-04-14,319,69,0,0,,,,24.29,0.0,0.0,
2020-04-15,363,44,0,0,,,,27.641,0.0,0.0,
2020-04-16,404,41,1,1,,,,30.763,0.076,0.076,
2020-04-17,438,34,1,0,,,,33.352,0.076,0.0,
2020-04-18,477,39,3,2,,,,36.321,0.228,0.152,
2020-04-19,477,0,3,0,,,,36.321,0.228,0.0,
2020-04-20,579,102,5,2,,,,44.088,0.381,0.152,
2020-04-21,622,43,5,0,,,,47.361999999999995,0.381,0.0,
2020-04-22,688,66,6,1,,,,52.388000000000005,0.457,0.076,
2020-04-23,761,73,6,0,,,,57.946999999999996,0.457,0.0,
2020-04-24,862,101,6,0,,,,65.637,0.457,0.0,
2020-04-25,954,92,6,0,,,,72.643,0.457,0.0,
2020-04-26,996,42,7,1,,,,75.84100000000001,0.5329999999999999,0.076,
2020-04-27,1094,98,7,0,,,,83.303,0.5329999999999999,0.0,
2020-04-28,1163,69,7,0,,,,88.557,0.5329999999999999,0.0,
2020-04-29,1240,77,7,0,,,,94.42,0.5329999999999999,0.0,
