Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-14,Guinea,1,1,0,0,,,,0.076,0.0,0.0,,
2020-03-15,Guinea,1,0,0,0,,,,0.076,0.0,0.0,,
2020-03-17,Guinea,1,0,0,0,,,,0.076,0.0,0.0,,
2020-03-18,Guinea,1,0,0,0,,,,0.076,0.0,0.0,,
2020-03-19,Guinea,1,0,0,0,,,,0.076,0.0,0.0,,
2020-03-20,Guinea,1,0,0,0,,,,0.076,0.0,0.0,,
2020-03-21,Guinea,2,1,0,0,,,,0.152,0.0,0.0,,
2020-03-22,Guinea,2,0,0,0,,,,0.152,0.0,0.0,,
2020-03-23,Guinea,2,0,0,0,,,,0.152,0.0,0.0,,
2020-03-24,Guinea,2,0,0,0,,,,0.152,0.0,0.0,,
2020-03-25,Guinea,4,2,0,0,,,,0.305,0.0,0.0,,
2020-03-26,Guinea,4,0,0,0,,,,0.305,0.0,0.0,,
2020-03-27,Guinea,5,1,0,0,,,,0.381,0.0,0.0,,
2020-03-28,Guinea,5,0,0,0,,,,0.381,0.0,0.0,,
2020-03-29,Guinea,8,3,0,0,,,,0.609,0.0,0.0,,
2020-03-30,Guinea,8,0,0,0,,,,0.609,0.0,0.0,,
2020-03-31,Guinea,16,8,0,0,,,,1.218,0.0,0.0,,
2020-04-01,Guinea,16,0,0,0,,,,1.218,0.0,0.0,,
2020-04-02,Guinea,30,14,0,0,,,,2.2840000000000003,0.0,0.0,,
2020-04-03,Guinea,52,22,0,0,,,,3.96,0.0,0.0,,
2020-04-04,Guinea,52,0,0,0,,,,3.96,0.0,0.0,,
2020-04-05,Guinea,111,59,0,0,,,,8.452,0.0,0.0,,
2020-04-06,Guinea,121,10,0,0,,,,9.214,0.0,0.0,,
2020-04-07,Guinea,128,7,0,0,,,,9.747,0.0,0.0,,
2020-04-08,Guinea,144,16,0,0,,,,10.965,0.0,0.0,,
2020-04-09,Guinea,164,20,0,0,,,,12.488,0.0,0.0,,
2020-04-10,Guinea,194,30,0,0,,,,14.772,0.0,0.0,,
2020-04-11,Guinea,212,18,0,0,,,,16.143,0.0,0.0,,
2020-04-12,Guinea,250,38,0,0,,,,19.035999999999998,0.0,0.0,,
2020-04-13,Guinea,250,0,0,0,,,,19.035999999999998,0.0,0.0,,
2020-04-14,Guinea,319,69,0,0,,,,24.29,0.0,0.0,,
2020-04-15,Guinea,363,44,0,0,,,,27.641,0.0,0.0,,
2020-04-16,Guinea,404,41,1,1,,,,30.763,0.076,0.076,,
2020-04-17,Guinea,438,34,1,0,,,,33.352,0.076,0.0,,
2020-04-18,Guinea,477,39,3,2,,,,36.321,0.228,0.152,,
2020-04-19,Guinea,477,0,3,0,,,,36.321,0.228,0.0,,
2020-04-20,Guinea,579,102,5,2,,,,44.088,0.381,0.152,,
2020-04-21,Guinea,622,43,5,0,,,,47.361999999999995,0.381,0.0,,
