Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-13,1,1,1,1,,,,1.271,1.271,1.271,
2020-03-16,4,3,1,0,,,,5.085,1.271,0.0,
2020-03-17,4,0,1,0,,,,5.085,1.271,0.0,
2020-03-18,4,0,1,0,,,,5.085,1.271,0.0,
2020-03-19,5,1,1,0,,,,6.357,1.271,0.0,
2020-03-20,5,0,1,0,,,,6.357,1.271,0.0,
2020-03-21,5,0,1,0,,,,6.357,1.271,0.0,
2020-03-22,5,0,1,0,,,,6.357,1.271,0.0,
2020-03-23,5,0,1,0,,,,6.357,1.271,0.0,
2020-03-24,5,0,1,0,,,,6.357,1.271,0.0,
2020-03-25,5,0,1,0,,,,6.357,1.271,0.0,
2020-03-26,5,0,1,0,,,,6.357,1.271,0.0,
2020-03-27,5,0,1,0,,,,6.357,1.271,0.0,
2020-03-28,5,0,1,0,,,,6.357,1.271,0.0,
2020-03-29,8,3,1,0,,,,10.171,1.271,0.0,
2020-03-30,8,0,1,0,,,,10.171,1.271,0.0,
2020-03-31,8,0,1,0,,,,10.171,1.271,0.0,
2020-04-01,12,4,2,1,,,,15.255999999999998,2.543,1.271,
2020-04-02,19,7,4,2,,,,24.156,5.085,2.543,
2020-04-03,19,0,4,0,,,,24.156,5.085,0.0,
2020-04-04,23,4,4,0,,,,29.241,5.085,0.0,
2020-04-05,24,1,4,0,,,,30.513,5.085,0.0,
2020-04-06,29,5,4,0,,,,36.869,5.085,0.0,
2020-04-07,31,2,5,1,,,,39.412,6.357,1.271,
2020-04-08,33,2,5,0,,,,41.955,6.357,0.0,
2020-04-09,37,4,6,1,,,,47.04,7.627999999999999,1.271,
2020-04-10,37,0,6,0,,,,47.04,7.627999999999999,0.0,
2020-04-11,40,3,6,0,,,,50.854,7.627999999999999,0.0,
2020-04-12,45,5,6,0,,,,57.211000000000006,7.627999999999999,0.0,
2020-04-13,45,0,6,0,,,,57.211000000000006,7.627999999999999,0.0,
2020-04-14,47,2,6,0,,,,59.754,7.627999999999999,0.0,
2020-04-15,48,1,6,0,,,,61.025,7.627999999999999,0.0,
2020-04-16,55,7,6,0,,,,69.925,7.627999999999999,0.0,
2020-04-17,57,2,6,0,,,,72.468,7.627999999999999,0.0,
2020-04-18,63,6,6,0,,,,80.096,7.627999999999999,0.0,
2020-04-19,63,0,7,1,,,,80.096,8.9,1.271,
2020-04-20,65,2,7,0,,,,82.63799999999999,8.9,0.0,
2020-04-21,66,1,7,0,,,,83.91,8.9,0.0,
2020-04-22,67,1,7,0,,,,85.181,8.9,0.0,
2020-04-23,67,0,7,0,,,,85.181,8.9,0.0,
2020-04-24,70,3,7,0,,,,88.995,8.9,0.0,
2020-04-25,73,3,8,1,,,,92.809,10.171,1.271,
2020-04-26,74,1,8,0,,,,94.081,10.171,0.0,
2020-04-27,74,0,8,0,,,,94.081,10.171,0.0,
2020-04-28,74,0,8,0,,,,94.081,10.171,0.0,
2020-04-29,75,1,8,0,,,,95.352,10.171,0.0,
