Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-13,Guyana,1,1,1,1,,,,1.271,1.271,1.271,,
2020-03-16,Guyana,4,3,1,0,,,,5.085,1.271,0.0,,
2020-03-17,Guyana,4,0,1,0,,,,5.085,1.271,0.0,,
2020-03-18,Guyana,4,0,1,0,,,,5.085,1.271,0.0,,
2020-03-19,Guyana,5,1,1,0,,,,6.357,1.271,0.0,,
2020-03-20,Guyana,5,0,1,0,,,,6.357,1.271,0.0,,
2020-03-21,Guyana,5,0,1,0,,,,6.357,1.271,0.0,,
2020-03-22,Guyana,5,0,1,0,,,,6.357,1.271,0.0,,
2020-03-23,Guyana,5,0,1,0,,,,6.357,1.271,0.0,,
2020-03-24,Guyana,5,0,1,0,,,,6.357,1.271,0.0,,
2020-03-25,Guyana,5,0,1,0,,,,6.357,1.271,0.0,,
2020-03-26,Guyana,5,0,1,0,,,,6.357,1.271,0.0,,
2020-03-27,Guyana,5,0,1,0,,,,6.357,1.271,0.0,,
2020-03-28,Guyana,5,0,1,0,,,,6.357,1.271,0.0,,
2020-03-29,Guyana,8,3,1,0,,,,10.171,1.271,0.0,,
2020-03-30,Guyana,8,0,1,0,,,,10.171,1.271,0.0,,
2020-03-31,Guyana,8,0,1,0,,,,10.171,1.271,0.0,,
2020-04-01,Guyana,12,4,2,1,,,,15.255999999999998,2.543,1.271,,
2020-04-02,Guyana,19,7,4,2,,,,24.156,5.085,2.543,,
2020-04-03,Guyana,19,0,4,0,,,,24.156,5.085,0.0,,
2020-04-04,Guyana,23,4,4,0,,,,29.241,5.085,0.0,,
2020-04-05,Guyana,24,1,4,0,,,,30.513,5.085,0.0,,
2020-04-06,Guyana,29,5,4,0,,,,36.869,5.085,0.0,,
2020-04-07,Guyana,31,2,5,1,,,,39.412,6.357,1.271,,
2020-04-08,Guyana,33,2,5,0,,,,41.955,6.357,0.0,,
2020-04-09,Guyana,37,4,6,1,,,,47.04,7.627999999999999,1.271,,
2020-04-10,Guyana,37,0,6,0,,,,47.04,7.627999999999999,0.0,,
2020-04-11,Guyana,40,3,6,0,,,,50.854,7.627999999999999,0.0,,
2020-04-12,Guyana,45,5,6,0,,,,57.211000000000006,7.627999999999999,0.0,,
2020-04-13,Guyana,45,0,6,0,,,,57.211000000000006,7.627999999999999,0.0,,
2020-04-14,Guyana,47,2,6,0,,,,59.754,7.627999999999999,0.0,,
2020-04-15,Guyana,48,1,6,0,,,,61.025,7.627999999999999,0.0,,
2020-04-16,Guyana,55,7,6,0,,,,69.925,7.627999999999999,0.0,,
2020-04-17,Guyana,57,2,6,0,,,,72.468,7.627999999999999,0.0,,
2020-04-18,Guyana,63,6,6,0,,,,80.096,7.627999999999999,0.0,,
2020-04-19,Guyana,63,0,7,1,,,,80.096,8.9,1.271,,
2020-04-20,Guyana,65,2,7,0,,,,82.63799999999999,8.9,0.0,,
2020-04-21,Guyana,66,1,7,0,,,,83.91,8.9,0.0,,
