Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-20,2,2,0,0,,,,0.175,0.0,0.0,
2020-03-21,2,0,0,0,,,,0.175,0.0,0.0,
2020-03-22,2,0,0,0,,,,0.175,0.0,0.0,
2020-03-23,2,0,0,0,,,,0.175,0.0,0.0,
2020-03-24,5,3,0,0,,,,0.43799999999999994,0.0,0.0,
2020-03-25,7,2,0,0,,,,0.614,0.0,0.0,
2020-03-26,8,1,0,0,,,,0.7020000000000001,0.0,0.0,
2020-03-27,8,0,0,0,,,,0.7020000000000001,0.0,0.0,
2020-03-28,8,0,0,0,,,,0.7020000000000001,0.0,0.0,
2020-03-29,8,0,0,0,,,,0.7020000000000001,0.0,0.0,
2020-03-30,15,7,0,0,,,,1.315,0.0,0.0,
2020-03-31,15,0,0,0,,,,1.315,0.0,0.0,
2020-04-01,15,0,0,0,,,,1.315,0.0,0.0,
2020-04-02,16,1,0,0,,,,1.403,0.0,0.0,
2020-04-03,18,2,0,0,,,,1.579,0.0,0.0,
2020-04-04,18,0,0,0,,,,1.579,0.0,0.0,
2020-04-05,21,3,0,0,,,,1.8419999999999999,0.0,0.0,
2020-04-06,21,0,0,0,,,,1.8419999999999999,0.0,0.0,
2020-04-07,24,3,1,1,,,,2.105,0.08800000000000001,0.08800000000000001,
2020-04-08,25,1,1,0,,,,2.1919999999999997,0.08800000000000001,0.0,
2020-04-09,27,2,1,0,,,,2.3680000000000003,0.08800000000000001,0.0,
2020-04-10,30,3,2,1,,,,2.6310000000000002,0.175,0.08800000000000001,
2020-04-11,31,1,2,0,,,,2.719,0.175,0.0,
2020-04-12,33,2,2,0,,,,2.8939999999999997,0.175,0.0,
2020-04-13,33,0,3,1,,,,2.8939999999999997,0.263,0.08800000000000001,
2020-04-14,40,7,3,0,,,,3.508,0.263,0.0,
2020-04-15,40,0,3,0,,,,3.508,0.263,0.0,
2020-04-16,41,1,3,0,,,,3.596,0.263,0.0,
2020-04-17,43,2,3,0,,,,3.7710000000000004,0.263,0.0,
2020-04-18,44,1,3,0,,,,3.859,0.263,0.0,
2020-04-19,44,0,3,0,,,,3.859,0.263,0.0,
2020-04-20,47,3,3,0,,,,4.122,0.263,0.0,
2020-04-21,57,10,3,0,,,,4.999,0.263,0.0,
2020-04-22,58,1,4,1,,,,5.087,0.35100000000000003,0.08800000000000001,
2020-04-23,62,4,4,0,,,,5.437,0.35100000000000003,0.0,
2020-04-24,72,10,5,1,,,,6.314,0.43799999999999994,0.08800000000000001,
2020-04-25,72,0,5,0,,,,6.314,0.43799999999999994,0.0,
2020-04-26,72,0,6,1,,,,6.314,0.526,0.08800000000000001,
2020-04-27,72,0,6,0,,,,6.314,0.526,0.0,
2020-04-28,76,4,6,0,,,,6.665,0.526,0.0,
2020-04-29,76,0,6,0,,,,6.665,0.526,0.0,
