Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-20,Haiti,2,2,0,0,,,,0.175,0.0,0.0,,
2020-03-21,Haiti,2,0,0,0,,,,0.175,0.0,0.0,,
2020-03-22,Haiti,2,0,0,0,,,,0.175,0.0,0.0,,
2020-03-23,Haiti,2,0,0,0,,,,0.175,0.0,0.0,,
2020-03-24,Haiti,5,3,0,0,,,,0.43799999999999994,0.0,0.0,,
2020-03-25,Haiti,7,2,0,0,,,,0.614,0.0,0.0,,
2020-03-26,Haiti,8,1,0,0,,,,0.7020000000000001,0.0,0.0,,
2020-03-27,Haiti,8,0,0,0,,,,0.7020000000000001,0.0,0.0,,
2020-03-28,Haiti,8,0,0,0,,,,0.7020000000000001,0.0,0.0,,
2020-03-29,Haiti,8,0,0,0,,,,0.7020000000000001,0.0,0.0,,
2020-03-30,Haiti,15,7,0,0,,,,1.315,0.0,0.0,,
2020-03-31,Haiti,15,0,0,0,,,,1.315,0.0,0.0,,
2020-04-01,Haiti,15,0,0,0,,,,1.315,0.0,0.0,,
2020-04-02,Haiti,16,1,0,0,,,,1.403,0.0,0.0,,
2020-04-03,Haiti,18,2,0,0,,,,1.579,0.0,0.0,,
2020-04-04,Haiti,18,0,0,0,,,,1.579,0.0,0.0,,
2020-04-05,Haiti,21,3,0,0,,,,1.8419999999999999,0.0,0.0,,
2020-04-06,Haiti,21,0,0,0,,,,1.8419999999999999,0.0,0.0,,
2020-04-07,Haiti,24,3,1,1,,,,2.105,0.08800000000000001,0.08800000000000001,,
2020-04-08,Haiti,25,1,1,0,,,,2.1919999999999997,0.08800000000000001,0.0,,
2020-04-09,Haiti,27,2,1,0,,,,2.3680000000000003,0.08800000000000001,0.0,,
2020-04-10,Haiti,30,3,2,1,,,,2.6310000000000002,0.175,0.08800000000000001,,
2020-04-11,Haiti,31,1,2,0,,,,2.719,0.175,0.0,,
2020-04-12,Haiti,33,2,2,0,,,,2.8939999999999997,0.175,0.0,,
2020-04-13,Haiti,33,0,3,1,,,,2.8939999999999997,0.263,0.08800000000000001,,
2020-04-14,Haiti,40,7,3,0,,,,3.508,0.263,0.0,,
2020-04-15,Haiti,40,0,3,0,,,,3.508,0.263,0.0,,
2020-04-16,Haiti,41,1,3,0,,,,3.596,0.263,0.0,,
2020-04-17,Haiti,43,2,3,0,,,,3.7710000000000004,0.263,0.0,,
2020-04-18,Haiti,44,1,3,0,,,,3.859,0.263,0.0,,
2020-04-19,Haiti,44,0,3,0,,,,3.859,0.263,0.0,,
2020-04-20,Haiti,47,3,3,0,,,,4.122,0.263,0.0,,
2020-04-21,Haiti,57,10,3,0,,,,4.999,0.263,0.0,,
