Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-12,2,2,0,0,,,,0.20199999999999999,0.0,0.0,
2020-03-14,3,1,0,0,,,,0.303,0.0,0.0,
2020-03-16,6,3,0,0,,,,0.606,0.0,0.0,
2020-03-17,8,2,0,0,,,,0.8079999999999999,0.0,0.0,
2020-03-18,9,1,0,0,,,,0.909,0.0,0.0,
2020-03-19,12,3,0,0,,,,1.212,0.0,0.0,
2020-03-20,24,12,0,0,,,,2.423,0.0,0.0,
2020-03-21,24,0,0,0,,,,2.423,0.0,0.0,
2020-03-22,26,2,0,0,,,,2.625,0.0,0.0,
2020-03-23,27,1,0,0,,,,2.7260000000000004,0.0,0.0,
2020-03-24,30,3,0,0,,,,3.029,0.0,0.0,
2020-03-25,36,6,0,0,,,,3.635,0.0,0.0,
2020-03-26,52,16,0,0,,,,5.25,0.0,0.0,
2020-03-27,67,15,1,1,,,,6.765,0.10099999999999999,0.10099999999999999,
2020-03-28,95,28,1,0,,,,9.591000000000001,0.10099999999999999,0.0,
2020-03-29,110,15,2,1,,,,11.106,0.20199999999999999,0.10099999999999999,
2020-03-30,139,29,3,1,,,,14.034,0.303,0.10099999999999999,
2020-03-31,141,2,7,4,,,,14.235999999999999,0.7070000000000001,0.40399999999999997,
2020-04-01,172,31,10,3,,,,17.366,1.01,0.303,
2020-04-02,219,47,14,4,,,,22.111,1.413,0.40399999999999997,
2020-04-03,222,3,15,1,,,,22.414,1.514,0.10099999999999999,
2020-04-04,264,42,15,0,,,,26.654,1.514,0.0,
2020-04-05,268,4,22,7,,,,27.058000000000003,2.221,0.7070000000000001,
2020-04-06,298,30,22,0,,,,30.087,2.221,0.0,
2020-04-07,305,7,22,0,,,,30.794,2.221,0.0,
2020-04-08,312,7,22,0,,,,31.5,2.221,0.0,
2020-04-09,343,31,23,1,,,,34.63,2.322,0.10099999999999999,
2020-04-10,382,39,23,0,,,,38.568000000000005,2.322,0.0,
2020-04-11,392,10,24,1,,,,39.578,2.423,0.10099999999999999,
2020-04-12,393,1,25,1,,,,39.679,2.524,0.10099999999999999,
2020-04-13,397,4,25,0,,,,40.082,2.524,0.0,
2020-04-14,407,10,26,1,,,,41.092,2.625,0.10099999999999999,
2020-04-15,419,12,31,5,,,,42.303999999999995,3.13,0.505,
2020-04-16,426,7,35,4,,,,43.01,3.534,0.40399999999999997,
2020-04-17,442,16,41,6,,,,44.626000000000005,4.138999999999999,0.606,
2020-04-18,457,15,46,5,,,,46.14,4.644,0.505,
2020-04-19,472,15,46,0,,,,47.655,4.644,0.0,
2020-04-20,477,5,46,0,,,,48.159,4.644,0.0,
2020-04-21,494,17,46,0,,,,49.876000000000005,4.644,0.0,
2020-04-22,510,16,46,0,,,,51.49100000000001,4.644,0.0,
2020-04-23,519,9,47,1,,,,52.4,4.745,0.10099999999999999,
2020-04-24,519,0,47,0,,,,52.4,4.745,0.0,
2020-04-25,591,72,47,0,,,,59.669,4.745,0.0,
2020-04-26,627,36,59,12,,,,63.303999999999995,5.957000000000001,1.212,
2020-04-27,661,34,61,2,,,,66.737,6.159,0.20199999999999999,
2020-04-28,693,32,61,0,,,,69.967,6.159,0.0,
2020-04-29,738,45,66,5,,,,74.51100000000001,6.664,0.505,
