Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-12,Honduras,2,2,0,0,,,,0.20199999999999999,0.0,0.0,,
2020-03-14,Honduras,3,1,0,0,,,,0.303,0.0,0.0,,
2020-03-16,Honduras,6,3,0,0,,,,0.606,0.0,0.0,,
2020-03-17,Honduras,8,2,0,0,,,,0.8079999999999999,0.0,0.0,,
2020-03-18,Honduras,9,1,0,0,,,,0.909,0.0,0.0,,
2020-03-19,Honduras,12,3,0,0,,,,1.212,0.0,0.0,,
2020-03-20,Honduras,24,12,0,0,,,,2.423,0.0,0.0,,
2020-03-21,Honduras,24,0,0,0,,,,2.423,0.0,0.0,,
2020-03-22,Honduras,26,2,0,0,,,,2.625,0.0,0.0,,
2020-03-23,Honduras,27,1,0,0,,,,2.7260000000000004,0.0,0.0,,
2020-03-24,Honduras,30,3,0,0,,,,3.029,0.0,0.0,,
2020-03-25,Honduras,36,6,0,0,,,,3.635,0.0,0.0,,
2020-03-26,Honduras,52,16,0,0,,,,5.25,0.0,0.0,,
2020-03-27,Honduras,67,15,1,1,,,,6.765,0.10099999999999999,0.10099999999999999,,
2020-03-28,Honduras,95,28,1,0,,,,9.591000000000001,0.10099999999999999,0.0,,
2020-03-29,Honduras,110,15,2,1,,,,11.106,0.20199999999999999,0.10099999999999999,,
2020-03-30,Honduras,139,29,3,1,,,,14.034,0.303,0.10099999999999999,,
2020-03-31,Honduras,141,2,7,4,,,,14.235999999999999,0.7070000000000001,0.40399999999999997,,
2020-04-01,Honduras,172,31,10,3,,,,17.366,1.01,0.303,,
2020-04-02,Honduras,219,47,14,4,,,,22.111,1.413,0.40399999999999997,,
2020-04-03,Honduras,222,3,15,1,,,,22.414,1.514,0.10099999999999999,,
2020-04-04,Honduras,264,42,15,0,,,,26.654,1.514,0.0,,
2020-04-05,Honduras,268,4,22,7,,,,27.058000000000003,2.221,0.7070000000000001,,
2020-04-06,Honduras,298,30,22,0,,,,30.087,2.221,0.0,,
2020-04-07,Honduras,305,7,22,0,,,,30.794,2.221,0.0,,
2020-04-08,Honduras,312,7,22,0,,,,31.5,2.221,0.0,,
2020-04-09,Honduras,343,31,23,1,,,,34.63,2.322,0.10099999999999999,,
2020-04-10,Honduras,382,39,23,0,,,,38.568000000000005,2.322,0.0,,
2020-04-11,Honduras,392,10,24,1,,,,39.578,2.423,0.10099999999999999,,
2020-04-12,Honduras,393,1,25,1,,,,39.679,2.524,0.10099999999999999,,
2020-04-13,Honduras,397,4,25,0,,,,40.082,2.524,0.0,,
2020-04-14,Honduras,407,10,26,1,,,,41.092,2.625,0.10099999999999999,,
2020-04-15,Honduras,419,12,31,5,,,,42.303999999999995,3.13,0.505,,
2020-04-16,Honduras,426,7,35,4,,,,43.01,3.534,0.40399999999999997,,
2020-04-17,Honduras,442,16,41,6,,,,44.626000000000005,4.138999999999999,0.606,,
2020-04-18,Honduras,457,15,46,5,,,,46.14,4.644,0.505,,
2020-04-19,Honduras,472,15,46,0,,,,47.655,4.644,0.0,,
2020-04-20,Honduras,477,5,46,0,,,,48.159,4.644,0.0,,
2020-04-21,Honduras,494,17,46,0,,,,49.876000000000005,4.644,0.0,,
