Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-04,0,0,0,0,,,,,,,230.0
2020-03-05,2,2,0,0,,,,0.207,0.0,0.0,
2020-03-06,0,0,0,0,,,,,,,269.0
2020-03-07,4,2,0,0,,,,0.414,0.0,0.0,319.0
2020-03-08,7,3,0,0,,,,0.725,0.0,0.0,362.0
2020-03-09,8,1,0,0,,,,0.828,0.0,0.0,
2020-03-10,9,1,0,0,,,,0.932,0.0,0.0,531.0
2020-03-11,12,3,0,0,,,,1.242,0.0,0.0,609.0
2020-03-12,13,1,0,0,,,,1.3459999999999999,0.0,0.0,730.0
2020-03-13,16,3,0,0,,,,1.656,0.0,0.0,858.0
2020-03-14,25,9,0,0,,,,2.588,0.0,0.0,1014.0
2020-03-15,31,6,0,0,,,,3.2089999999999996,0.0,0.0,1236.0
2020-03-16,39,8,1,1,,,,4.037,0.10400000000000001,0.10400000000000001,1470.0
2020-03-17,50,11,1,0,,,,5.176,0.10400000000000001,0.0,1587.0
2020-03-18,50,0,1,0,,,,5.176,0.10400000000000001,0.0,1803.0
2020-03-19,73,23,1,0,,,,7.557,0.10400000000000001,0.0,2322.0
2020-03-20,85,12,1,0,,,,8.799,0.10400000000000001,0.0,3007.0
2020-03-21,103,18,4,3,,,,10.662,0.414,0.311,3477.0
2020-03-22,131,28,4,0,,,,13.561,0.414,0.0,4443.0
2020-03-23,167,36,7,3,,,,17.287,0.725,0.311,5515.0
2020-03-24,187,20,8,1,,,,19.357,0.828,0.10400000000000001,6113.0
2020-03-25,226,39,10,2,,,,23.395,1.035,0.207,6817.0
2020-03-26,261,35,10,0,,,,27.018,1.035,0.0,8005.0
2020-03-27,300,39,10,0,,,,31.055,1.035,0.0,9275.0
2020-03-28,343,43,11,1,,,,35.506,1.139,0.10400000000000001,10303.0
2020-03-29,408,65,13,2,,,,42.233999999999995,1.3459999999999999,0.207,12148.0
2020-03-30,447,39,15,2,,,,46.272,1.5530000000000002,0.207,13301.0
2020-03-31,492,45,16,1,,,,50.93,1.656,0.10400000000000001,14146.0
2020-04-01,525,33,20,4,,,,54.346000000000004,2.07,0.414,15208.0
2020-04-02,585,60,21,1,,,,60.556999999999995,2.174,0.10400000000000001,16401.0
2020-04-03,623,38,26,5,,,,64.49,2.6910000000000003,0.518,17769.0
2020-04-04,678,55,32,6,,,,70.184,3.313,0.621,19424.0
2020-04-05,733,55,34,2,,,,75.877,3.52,0.207,21250.0
2020-04-06,744,11,38,4,,,,77.016,3.9339999999999997,0.414,22282.0
2020-04-07,817,73,47,9,,,,84.573,4.865,0.932,23746.0
2020-04-08,895,78,58,11,,,,92.647,6.004,1.139,25748.0
2020-04-09,980,85,66,8,,,,101.446,6.832000000000001,0.828,27826.0
2020-04-10,1190,210,77,11,,,,123.184,7.971,1.139,29948.0
2020-04-11,1310,120,85,8,,,,135.606,8.799,0.828,31961.0
2020-04-12,1410,100,99,14,,,,145.957,10.248,1.449,33532.0
2020-04-13,1458,48,109,10,,,,150.92600000000002,11.283,1.035,34819.0
2020-04-14,1512,54,122,13,,,,156.516,12.629000000000001,1.3459999999999999,35825.0
2020-04-15,1579,67,134,12,,,,163.452,13.870999999999999,1.242,37326.0
2020-04-16,1652,73,142,8,,,,171.00799999999998,14.699000000000002,0.828,38489.0
2020-04-17,1763,111,156,14,,,,182.49900000000002,16.148,1.449,41590.0
2020-04-18,1834,71,172,16,,,,189.84799999999998,17.805,1.656,43901.0
2020-04-19,1916,82,189,17,,,,198.33599999999998,19.565,1.76,46353.0
2020-04-20,1984,68,199,10,,,,205.37599999999998,20.6,1.035,48057.0
2020-04-21,2098,114,213,14,,,,217.176,22.049,1.449,50052.0
2020-04-22,2168,70,225,12,,,,224.423,23.291,1.242,52702.0
2020-04-23,2284,116,225,0,,,,236.43,23.291,0.0,55390.0
2020-04-24,2383,99,250,25,,,,246.678,25.879,2.588,58251.0
2020-04-25,2443,60,262,12,,,,252.889,27.121,1.242,60801.0
2020-04-26,2500,57,272,10,,,,258.79,28.156,1.035,63505.0
2020-04-27,2583,83,280,8,,,,267.382,28.984,0.828,65625.0
2020-04-28,2649,66,291,11,,,,274.214,30.123,1.139,67172.0
2020-04-29,2727,78,300,9,,,,282.288,31.055,0.932,70300.0
