Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-04,Hungary,0,0,0,0,,,,,,,230.0,
2020-03-05,Hungary,2,2,0,0,,,,0.207,0.0,0.0,,
2020-03-06,Hungary,0,0,0,0,,,,,,,269.0,
2020-03-07,Hungary,4,2,0,0,,,,0.414,0.0,0.0,319.0,
2020-03-08,Hungary,7,3,0,0,,,,0.725,0.0,0.0,362.0,
2020-03-09,Hungary,8,1,0,0,,,,0.828,0.0,0.0,,
2020-03-10,Hungary,9,1,0,0,,,,0.932,0.0,0.0,531.0,
2020-03-11,Hungary,12,3,0,0,,,,1.242,0.0,0.0,609.0,
2020-03-12,Hungary,13,1,0,0,,,,1.3459999999999999,0.0,0.0,730.0,
2020-03-13,Hungary,16,3,0,0,,,,1.656,0.0,0.0,858.0,
2020-03-14,Hungary,25,9,0,0,,,,2.588,0.0,0.0,1014.0,
2020-03-15,Hungary,31,6,0,0,,,,3.2089999999999996,0.0,0.0,1236.0,
2020-03-16,Hungary,39,8,1,1,,,,4.037,0.10400000000000001,0.10400000000000001,1470.0,
2020-03-17,Hungary,50,11,1,0,,,,5.176,0.10400000000000001,0.0,1587.0,
2020-03-18,Hungary,50,0,1,0,,,,5.176,0.10400000000000001,0.0,1803.0,
2020-03-19,Hungary,73,23,1,0,,,,7.557,0.10400000000000001,0.0,2322.0,
2020-03-20,Hungary,85,12,1,0,,,,8.799,0.10400000000000001,0.0,3007.0,
2020-03-21,Hungary,103,18,4,3,,,,10.662,0.414,0.311,3477.0,
2020-03-22,Hungary,131,28,4,0,,,,13.561,0.414,0.0,4443.0,
2020-03-23,Hungary,167,36,7,3,,,,17.287,0.725,0.311,5515.0,
2020-03-24,Hungary,187,20,8,1,,,,19.357,0.828,0.10400000000000001,6113.0,
2020-03-25,Hungary,226,39,10,2,,,,23.395,1.035,0.207,6817.0,
2020-03-26,Hungary,261,35,10,0,,,,27.018,1.035,0.0,8005.0,
2020-03-27,Hungary,300,39,10,0,,,,31.055,1.035,0.0,9275.0,
2020-03-28,Hungary,343,43,11,1,,,,35.506,1.139,0.10400000000000001,10303.0,
2020-03-29,Hungary,408,65,13,2,,,,42.233999999999995,1.3459999999999999,0.207,12148.0,
2020-03-30,Hungary,447,39,15,2,,,,46.272,1.5530000000000002,0.207,13301.0,
2020-03-31,Hungary,492,45,16,1,,,,50.93,1.656,0.10400000000000001,14146.0,
2020-04-01,Hungary,525,33,20,4,,,,54.346000000000004,2.07,0.414,15208.0,
2020-04-02,Hungary,585,60,21,1,,,,60.556999999999995,2.174,0.10400000000000001,16401.0,
2020-04-03,Hungary,623,38,26,5,,,,64.49,2.6910000000000003,0.518,17769.0,
2020-04-04,Hungary,678,55,32,6,,,,70.184,3.313,0.621,19424.0,
2020-04-05,Hungary,733,55,34,2,,,,75.877,3.52,0.207,21250.0,
2020-04-06,Hungary,744,11,38,4,,,,77.016,3.9339999999999997,0.414,22282.0,
2020-04-07,Hungary,817,73,47,9,,,,84.573,4.865,0.932,23746.0,
2020-04-08,Hungary,895,78,58,11,,,,92.647,6.004,1.139,25748.0,
2020-04-09,Hungary,980,85,66,8,,,,101.446,6.832000000000001,0.828,27826.0,
2020-04-10,Hungary,1190,210,77,11,,,,123.184,7.971,1.139,29948.0,
2020-04-11,Hungary,1310,120,85,8,,,,135.606,8.799,0.828,31961.0,
2020-04-12,Hungary,1410,100,99,14,,,,145.957,10.248,1.449,33532.0,
2020-04-13,Hungary,1458,48,109,10,,,,150.92600000000002,11.283,1.035,34819.0,
2020-04-14,Hungary,1512,54,122,13,,,,156.516,12.629000000000001,1.3459999999999999,35825.0,
2020-04-15,Hungary,1579,67,134,12,,,,163.452,13.870999999999999,1.242,37326.0,
2020-04-16,Hungary,1652,73,142,8,,,,171.00799999999998,14.699000000000002,0.828,38489.0,
2020-04-17,Hungary,1763,111,156,14,,,,182.49900000000002,16.148,1.449,41590.0,
2020-04-18,Hungary,1834,71,172,16,,,,189.84799999999998,17.805,1.656,43901.0,
2020-04-19,Hungary,1916,82,189,17,,,,198.33599999999998,19.565,1.76,46353.0,
2020-04-20,Hungary,1984,68,199,10,,,,205.37599999999998,20.6,1.035,48057.0,
2020-04-21,Hungary,2098,114,213,14,,,,217.176,22.049,1.449,50052.0,
