Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,1,1,0,0,,,,0.001,0.0,0.0,
2020-01-31,1,0,0,0,,,,0.001,0.0,0.0,
2020-02-01,1,0,0,0,,,,0.001,0.0,0.0,
2020-02-02,2,1,0,0,,,,0.001,0.0,0.0,
2020-02-03,2,0,0,0,,,,0.001,0.0,0.0,
2020-02-04,3,1,0,0,,,,0.002,0.0,0.0,
2020-02-05,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-06,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-07,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-08,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-09,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-10,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-11,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-12,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-13,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-14,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-15,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-16,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-17,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-18,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-19,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-20,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-21,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-22,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-23,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-24,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-25,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-26,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-27,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-28,3,0,0,0,,,,0.002,0.0,0.0,
2020-02-29,3,0,0,0,,,,0.002,0.0,0.0,
2020-03-01,3,0,0,0,,,,0.002,0.0,0.0,
2020-03-02,3,0,0,0,,,,0.002,0.0,0.0,
2020-03-03,5,2,0,0,,,,0.004,0.0,0.0,
2020-03-04,6,1,0,0,,,,0.004,0.0,0.0,
2020-03-05,28,22,0,0,,,,0.02,0.0,0.0,
2020-03-06,29,1,0,0,,,,0.021,0.0,0.0,
2020-03-07,31,2,0,0,,,,0.022000000000000002,0.0,0.0,
2020-03-08,34,3,0,0,,,,0.025,0.0,0.0,
2020-03-10,44,10,0,0,,,,0.032,0.0,0.0,
2020-03-11,50,6,0,0,,,,0.036000000000000004,0.0,0.0,
2020-03-12,73,23,0,0,,,,0.053,0.0,0.0,
2020-03-13,75,2,1,1,,,,0.054000000000000006,0.001,0.001,6500.0
2020-03-14,83,8,2,1,,,,0.06,0.001,0.001,
2020-03-15,90,7,2,0,,,,0.065,0.001,0.0,
2020-03-16,93,3,2,0,,,,0.067,0.001,0.0,
2020-03-17,125,32,3,1,,,,0.091,0.002,0.001,
2020-03-18,137,12,3,0,,,,0.099,0.002,0.0,13125.0
2020-03-19,165,28,3,0,,,,0.12,0.002,0.0,13316.0
2020-03-20,191,26,4,1,,,,0.138,0.003,0.001,14376.0
2020-03-21,231,40,4,0,,,,0.16699999999999998,0.003,0.0,15701.0
2020-03-22,320,89,4,0,,,,0.23199999999999998,0.003,0.0,16999.0
2020-03-23,439,119,7,3,,,,0.318,0.005,0.002,20707.0
2020-03-24,492,53,9,2,,,,0.35700000000000004,0.006999999999999999,0.001,20864.0
2020-03-25,562,70,9,0,,,,0.40700000000000003,0.006999999999999999,0.0,25144.0
2020-03-26,649,87,13,4,,,,0.47,0.009000000000000001,0.003,
2020-03-27,724,75,17,4,,,,0.525,0.012,0.003,27688.0
2020-03-28,873,149,19,2,,,,0.633,0.013999999999999999,0.001,
2020-03-29,979,106,25,6,,,,0.7090000000000001,0.018000000000000002,0.004,
