Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-03-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-03-02,2,2,0,0,,,,0.006999999999999999,0.0,0.0,
2020-03-07,4,2,0,0,,,,0.015,0.0,0.0,
2020-03-09,6,2,0,0,,,,0.022000000000000002,0.0,0.0,
2020-03-11,19,13,0,0,,,,0.069,0.0,0.0,
2020-03-12,34,15,1,1,,,,0.124,0.004,0.004,
2020-03-14,69,35,4,3,,,,0.252,0.015,0.011000000000000001,
2020-03-15,96,27,4,0,,,,0.35100000000000003,0.015,0.0,
2020-03-16,117,21,5,1,,,,0.428,0.018000000000000002,0.004,1230.0
2020-03-17,134,17,5,0,,,,0.49,0.018000000000000002,0.0,1255.0
2020-03-18,172,38,5,0,,,,0.629,0.018000000000000002,0.0,
2020-03-19,172,0,5,0,,,,0.629,0.018000000000000002,0.0,1651.0
2020-03-20,227,55,19,14,,,,0.83,0.069,0.051,1898.0
2020-03-21,309,82,25,6,,,,1.13,0.091,0.022000000000000002,
2020-03-22,450,141,38,13,,,,1.645,0.139,0.048,2409.0
2020-03-23,514,64,48,10,,,,1.879,0.175,0.037000000000000005,2483.0
2020-03-24,579,65,49,1,,,,2.117,0.179,0.004,2863.0
2020-03-25,686,107,55,6,,,,2.508,0.201,0.022000000000000002,
2020-03-26,790,104,58,3,,,,2.888,0.212,0.011000000000000001,
2020-03-27,893,103,78,20,,,,3.265,0.285,0.073,4489.0
2020-03-28,1046,153,87,9,,,,3.824,0.318,0.033,5775.0
2020-03-29,1155,109,102,15,,,,4.223,0.373,0.055,6266.0
2020-03-30,1285,130,114,12,,,,4.698,0.41700000000000004,0.044000000000000004,6534.0
2020-03-31,1414,129,122,8,,,,5.17,0.446,0.028999999999999998,6663.0
2020-04-01,1528,114,136,14,,,,5.586,0.49700000000000005,0.051,6777.0
2020-04-02,1677,149,157,21,,,,6.131,0.574,0.077,7193.0
