Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,2,2,2,2,,,,0.024,0.024,0.024,
2020-02-21,5,3,2,0,,,,0.06,0.024,0.0,
2020-02-22,18,13,4,2,,,,0.214,0.048,0.024,
2020-02-23,28,10,5,1,,,,0.33299999999999996,0.06,0.012,
2020-02-24,43,15,8,3,,,,0.512,0.095,0.036000000000000004,
2020-02-25,61,18,12,4,,,,0.726,0.14300000000000002,0.048,
2020-02-26,95,34,15,3,,,,1.131,0.179,0.036000000000000004,
2020-02-27,139,44,19,4,,,,1.655,0.226,0.048,
2020-02-28,245,106,26,7,,,,2.917,0.31,0.083,
2020-02-29,388,143,34,8,,,,4.619,0.405,0.095,
2020-03-01,593,205,43,9,,,,7.06,0.512,0.107,
2020-03-02,978,385,54,11,,,,11.644,0.643,0.131,
2020-03-03,1501,523,66,12,,,,17.871,0.7859999999999999,0.14300000000000002,
2020-03-04,2336,835,77,11,,,,27.811999999999998,0.917,0.131,
2020-03-05,2922,586,92,15,,,,34.789,1.095,0.179,
2020-03-06,3513,591,107,15,,,,41.825,1.274,0.179,
2020-03-07,4747,1234,124,17,,,,56.516999999999996,1.476,0.20199999999999999,
2020-03-08,5823,1076,145,21,,,,69.327,1.726,0.25,
2020-03-09,6566,743,194,49,,,,78.173,2.31,0.583,
2020-03-10,7161,595,237,43,,,,85.257,2.822,0.512,
2020-03-11,8042,881,291,54,,,,95.74600000000001,3.465,0.643,
2020-03-12,9000,958,354,63,,,,107.152,4.215,0.75,
2020-03-13,10075,1075,429,75,,,,119.95100000000001,5.1080000000000005,0.893,
2020-03-14,11364,1289,514,85,,,,135.297,6.12,1.012,
2020-03-15,12729,1365,611,97,,,,151.548,7.274,1.155,
2020-03-16,13938,1209,724,113,,,,165.942,8.62,1.345,
2020-03-17,14991,1053,853,129,,,,178.479,10.156,1.536,
2020-03-18,16169,1178,988,135,,,,192.50400000000002,11.763,1.607,
2020-03-19,17361,1192,1135,147,,,,206.696,13.513,1.75,
2020-03-20,18407,1046,1284,149,,,,219.149,15.287,1.774,
2020-03-21,19644,1237,1433,149,,,,233.877,17.061,1.774,
2020-03-22,20610,966,1556,123,,,,245.378,18.525,1.464,
2020-03-23,21638,1028,1685,129,,,,257.617,20.061,1.536,
2020-03-24,23049,1411,1812,127,,,,274.416,21.573,1.5119999999999998,
2020-03-25,24811,1762,1934,122,,,,295.394,23.026,1.453,
2020-03-26,27017,2206,2077,143,,,,321.658,24.728,1.703,
2020-03-27,29406,2389,2234,157,,,,350.101,26.596999999999998,1.869,
