Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Iran,0,0,0,0,,,,0.0,0.0,0.0,,
