Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-25,1,1,0,0,,,,0.025,0.0,0.0,
2020-02-26,5,4,0,0,,,,0.124,0.0,0.0,
2020-02-27,5,0,0,0,,,,0.124,0.0,0.0,
2020-02-28,6,1,0,0,,,,0.149,0.0,0.0,
2020-02-29,7,1,0,0,,,,0.174,0.0,0.0,
2020-03-01,13,6,0,0,,,,0.32299999999999995,0.0,0.0,
2020-03-02,19,6,0,0,,,,0.47200000000000003,0.0,0.0,
2020-03-03,21,2,0,0,,,,0.522,0.0,0.0,
2020-03-04,26,5,0,0,,,,0.6459999999999999,0.0,0.0,
2020-03-05,31,5,0,0,,,,0.7709999999999999,0.0,0.0,
2020-03-06,38,7,2,2,,,,0.945,0.05,0.05,
2020-03-08,54,16,2,0,,,,1.3430000000000002,0.05,0.0,
2020-03-09,61,7,6,4,,,,1.517,0.149,0.099,
2020-03-11,61,0,6,0,,,,1.517,0.149,0.0,
2020-03-12,70,9,8,2,,,,1.74,0.19899999999999998,0.05,
2020-03-13,74,4,8,0,,,,1.84,0.19899999999999998,0.0,
2020-03-14,85,11,9,1,,,,2.113,0.22399999999999998,0.025,
2020-03-15,85,0,9,0,,,,2.113,0.22399999999999998,0.0,
2020-03-16,124,39,9,0,,,,3.083,0.22399999999999998,0.0,
2020-03-17,124,0,9,0,,,,3.083,0.22399999999999998,0.0,
2020-03-18,154,30,11,2,,,,3.8289999999999997,0.273,0.05,
2020-03-19,164,10,12,1,,,,4.077,0.298,0.025,
2020-03-20,177,13,12,0,,,,4.401,0.298,0.0,
2020-03-21,193,16,14,2,,,,4.798,0.348,0.05,
2020-03-22,214,21,17,3,,,,5.32,0.423,0.075,
2020-03-23,233,19,20,3,,,,5.792999999999999,0.49700000000000005,0.075,
2020-03-24,266,33,23,3,,,,6.6129999999999995,0.5720000000000001,0.075,
2020-03-25,316,50,27,4,,,,7.856,0.6709999999999999,0.099,
2020-03-26,346,30,29,2,,,,8.602,0.721,0.05,
2020-03-27,382,36,36,7,,,,9.497,0.895,0.174,
2020-03-28,458,76,40,4,,,,11.387,0.9940000000000001,0.099,
2020-03-29,506,48,42,2,,,,12.58,1.044,0.05,
2020-03-30,547,41,42,0,,,,13.599,1.044,0.0,
