Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-03-01,1,1,0,0,,,,0.203,0.0,0.0,
2020-03-02,1,0,0,0,,,,0.203,0.0,0.0,
2020-03-04,2,1,0,0,,,,0.405,0.0,0.0,
2020-03-05,6,4,0,0,,,,1.215,0.0,0.0,
2020-03-06,13,7,0,0,,,,2.633,0.0,0.0,
2020-03-07,18,5,0,0,,,,3.645,0.0,0.0,
2020-03-08,19,1,0,0,,,,3.8480000000000003,0.0,0.0,
2020-03-09,21,2,0,0,,,,4.253,0.0,0.0,1784.0
2020-03-11,35,14,0,0,,,,7.087999999999999,0.0,0.0,
2020-03-12,43,8,1,1,,,,8.708,0.203,0.203,
2020-03-13,70,27,1,0,,,,14.175999999999998,0.203,0.0,
2020-03-14,91,21,1,0,,,,18.429000000000002,0.203,0.0,
2020-03-15,129,38,2,1,,,,26.125,0.405,0.203,
2020-03-16,169,40,2,0,,,,34.226,0.405,0.0,
2020-03-17,223,54,2,0,,,,45.162,0.405,0.0,6636.0
2020-03-18,292,69,2,0,,,,59.136,0.405,0.0,
2020-03-19,366,74,2,0,,,,74.122,0.405,0.0,
2020-03-20,557,191,3,1,,,,112.803,0.608,0.203,
2020-03-21,683,126,3,0,,,,138.321,0.608,0.0,
2020-03-22,785,102,3,0,,,,158.97799999999998,0.608,0.0,
2020-03-23,906,121,4,1,,,,183.483,0.81,0.203,17992.0
2020-03-24,1125,219,6,2,,,,227.834,1.215,0.405,
2020-03-25,1329,204,7,1,,,,269.14799999999997,1.4180000000000001,0.203,
2020-03-26,1564,235,9,2,,,,316.741,1.8230000000000002,0.405,
2020-03-27,1819,255,19,10,,,,368.38300000000004,3.8480000000000003,2.025,
2020-03-28,2121,302,22,3,,,,429.54400000000004,4.455,0.608,
2020-03-29,2415,294,36,14,,,,489.085,7.291,2.835,
2020-03-30,2615,200,46,10,,,,529.589,9.316,2.025,
2020-03-31,2910,295,54,8,,,,589.332,10.936,1.62,30213.0
