Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-21,1,1,0,0,,,,11.76,0.0,0.0,
2020-03-22,2,1,0,0,,,,23.521,0.0,0.0,
2020-03-23,2,0,0,0,,,,23.521,0.0,0.0,
2020-03-24,13,11,0,0,,,,152.884,0.0,0.0,
2020-03-25,23,10,0,0,,,,270.486,0.0,0.0,
2020-03-26,23,0,0,0,,,,270.486,0.0,0.0,
2020-03-27,26,3,0,0,,,,305.767,0.0,0.0,
2020-03-28,29,3,0,0,,,,341.048,0.0,0.0,
2020-03-29,32,3,0,0,,,,376.329,0.0,0.0,
2020-03-30,42,10,0,0,,,,493.93199999999996,0.0,0.0,
2020-03-31,42,0,0,0,,,,493.93199999999996,0.0,0.0,
2020-04-01,52,10,0,0,,,,611.534,0.0,0.0,
2020-04-02,65,13,0,0,,,,764.418,0.0,0.0,
2020-04-03,71,6,1,1,,,,834.98,11.76,11.76,
2020-04-04,114,43,1,0,,,,1340.672,11.76,0.0,
2020-04-05,126,12,1,0,,,,1481.795,11.76,0.0,
2020-04-06,127,1,1,0,,,,1493.555,11.76,0.0,
2020-04-07,139,12,1,0,,,,1634.6789999999999,11.76,0.0,
2020-04-08,150,11,1,0,,,,1764.0420000000001,11.76,0.0,
2020-04-09,158,8,1,0,,,,1858.124,11.76,0.0,
2020-04-10,190,32,1,0,,,,2234.453,11.76,0.0,
2020-04-11,201,11,1,0,,,,2363.8160000000003,11.76,0.0,
2020-04-12,226,25,1,0,,,,2657.823,11.76,0.0,
2020-04-13,228,2,2,1,,,,2681.343,23.521,11.76,
2020-04-14,242,14,2,0,,,,2845.987,23.521,0.0,
2020-04-15,242,0,2,0,,,,2845.987,23.521,0.0,
2020-04-16,254,12,2,0,,,,2987.111,23.521,0.0,
2020-04-17,284,30,4,2,,,,3339.9190000000003,47.041000000000004,23.521,
2020-04-18,289,5,4,0,,,,3398.72,47.041000000000004,0.0,
2020-04-19,297,8,6,2,,,,3492.803,70.562,23.521,
2020-04-20,298,1,6,0,,,,3504.563,70.562,0.0,
2020-04-21,300,2,9,3,,,,3528.0840000000003,105.84299999999999,35.281,
2020-04-22,307,7,10,1,,,,3610.405,117.603,11.76,
2020-04-23,307,0,15,5,,,,3610.405,176.40400000000002,58.801,
2020-04-24,307,0,16,1,,,,3610.405,188.16400000000002,11.76,
2020-04-25,308,1,18,2,,,,3622.1659999999997,211.685,23.521,
2020-04-26,308,0,18,0,,,,3622.1659999999997,211.685,0.0,
2020-04-27,308,0,18,0,,,,3622.1659999999997,211.685,0.0,
2020-04-28,308,0,18,0,,,,3622.1659999999997,211.685,0.0,
2020-04-29,309,1,21,3,,,,3633.926,246.96599999999998,35.281,
