Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-21,Isle of Man,1,1,0,0,,,,11.76,0.0,0.0,,
2020-03-22,Isle of Man,2,1,0,0,,,,23.521,0.0,0.0,,
2020-03-23,Isle of Man,2,0,0,0,,,,23.521,0.0,0.0,,
2020-03-24,Isle of Man,13,11,0,0,,,,152.884,0.0,0.0,,
2020-03-25,Isle of Man,23,10,0,0,,,,270.486,0.0,0.0,,
2020-03-26,Isle of Man,23,0,0,0,,,,270.486,0.0,0.0,,
2020-03-27,Isle of Man,26,3,0,0,,,,305.767,0.0,0.0,,
2020-03-28,Isle of Man,29,3,0,0,,,,341.048,0.0,0.0,,
2020-03-29,Isle of Man,32,3,0,0,,,,376.329,0.0,0.0,,
2020-03-30,Isle of Man,42,10,0,0,,,,493.93199999999996,0.0,0.0,,
2020-03-31,Isle of Man,42,0,0,0,,,,493.93199999999996,0.0,0.0,,
2020-04-01,Isle of Man,52,10,0,0,,,,611.534,0.0,0.0,,
2020-04-02,Isle of Man,65,13,0,0,,,,764.418,0.0,0.0,,
2020-04-03,Isle of Man,71,6,1,1,,,,834.98,11.76,11.76,,
2020-04-04,Isle of Man,114,43,1,0,,,,1340.672,11.76,0.0,,
2020-04-05,Isle of Man,126,12,1,0,,,,1481.795,11.76,0.0,,
2020-04-06,Isle of Man,127,1,1,0,,,,1493.555,11.76,0.0,,
2020-04-07,Isle of Man,139,12,1,0,,,,1634.6789999999999,11.76,0.0,,
2020-04-08,Isle of Man,150,11,1,0,,,,1764.0420000000001,11.76,0.0,,
2020-04-09,Isle of Man,158,8,1,0,,,,1858.124,11.76,0.0,,
2020-04-10,Isle of Man,190,32,1,0,,,,2234.453,11.76,0.0,,
2020-04-11,Isle of Man,201,11,1,0,,,,2363.8160000000003,11.76,0.0,,
2020-04-12,Isle of Man,226,25,1,0,,,,2657.823,11.76,0.0,,
2020-04-13,Isle of Man,228,2,2,1,,,,2681.343,23.521,11.76,,
2020-04-14,Isle of Man,242,14,2,0,,,,2845.987,23.521,0.0,,
2020-04-15,Isle of Man,242,0,2,0,,,,2845.987,23.521,0.0,,
2020-04-16,Isle of Man,254,12,2,0,,,,2987.111,23.521,0.0,,
2020-04-17,Isle of Man,284,30,4,2,,,,3339.9190000000003,47.041000000000004,23.521,,
2020-04-18,Isle of Man,289,5,4,0,,,,3398.72,47.041000000000004,0.0,,
2020-04-19,Isle of Man,297,8,6,2,,,,3492.803,70.562,23.521,,
2020-04-20,Isle of Man,298,1,6,0,,,,3504.563,70.562,0.0,,
2020-04-21,Isle of Man,300,2,9,3,,,,3528.0840000000003,105.84299999999999,35.281,,
